"","Sample","ACAR","ANT","ARAN","ARCH","AUCH","BEE","COCC","COLE","DERM","DIPT","HETE","HYME","ISOP","LEPI","MIRID","NEUR","ORTH","PSCO","PSOC","STER","THYS","WASP","totalarth","species","treat","arth_abun","WT_multiplier","WT_sample","WT_plant"
"1","ARCA11",NA,NA,4,NA,18,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,29,"ARCA","T",26,10,113,1130
"2","ARCA11.2",NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,14,NA,NA,NA,NA,NA,NA
"3","ARCA14",1,NA,4,NA,8,NA,NA,4,NA,NA,1,13,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34,NA,NA,NA,NA,NA,NA
"4","ARCA2",NA,NA,NA,NA,5,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"ARCA","T",20,6,113,678
"5","ARCA4",NA,NA,3,NA,8,NA,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,17,"ARCA","T",18,7,113,791
"6","ARCA5",NA,1,NA,NA,2,NA,NA,3,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,18,"ARCA","C",19,5,113,565
"7","ARCA6",NA,NA,3,NA,17,NA,NA,7,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,31,"ARCA","T",32,8,113,904
"8","ARCA7",NA,1,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"ARCA","T",10,9,113,1017
"9","ARCA9",NA,NA,NA,NA,8,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,14,"ARCA","T",5,7,113,791
"10","ARCAC2",NA,NA,1,NA,6,NA,NA,NA,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,17,NA,NA,NA,NA,NA,NA
"11","ARDO1",NA,NA,3,NA,11,2,NA,9,NA,4,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,31,"ARDO","T",32,4,69.78,279.12
"12","ARDO10",NA,NA,1,NA,17,3,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,26,"ARDO","C",24,6,69.78,418.68
"13","ARDO11",NA,NA,2,NA,11,1,NA,5,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,22,"ARDO","C",25,5,69.78,348.9
"14","ARDO13",NA,1,NA,NA,1,NA,NA,8,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,16,"ARDO","C",16,4,69.78,279.12
"15","ARDO3",NA,NA,4,NA,13,1,NA,10,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,36,"ARDO","T",31,7,69.78,488.46
"16","ARDO6",NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,8,"ARDO","T",9,7,69.78,488.46
"17","ARDO7",1,NA,NA,NA,6,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,14,"ARDO","T",8,6,69.78,418.68
"18","ARDO8",NA,NA,1,NA,18,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"ARDO","C",13,9,69.78,628.02
"19","ENCA1",NA,4,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,"ENCA","T",8,5,43.98,219.9
"20","ENCA10",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,"ENCA","C",8,16,43.98,703.68
"21","ENCA11",NA,1,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"ENCA","C",7,12,43.98,527.76
"22","ENCA12",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"ENCA","T",7,6,43.98,263.88
"23","ENCA3",NA,1,NA,NA,4,NA,3,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"ENCA","T",14,14,43.98,615.72
"24","ENCA4",2,NA,NA,NA,19,NA,NA,13,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,40,"ENCA","C",32,14,43.98,615.72
"25","ENCA5",NA,NA,4,NA,6,3,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,25,"ENCA","C",26,10,43.98,439.8
"26","ENCA6",NA,2,1,1,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,15,"ENCA","T",11,12,43.98,527.76
"27","ENCA7",NA,NA,NA,NA,2,2,1,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,21,"ENCA","C",16,15,43.98,659.7
"28","ENCA8",NA,4,3,NA,1,NA,NA,12,NA,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,29,"ENCA","T",36,18,43.98,791.64
"29","ENCA9",NA,4,2,NA,7,NA,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,29,"ENCA","T",36,18,43.98,791.64
"30","ENCAx",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"31","ENCAX",NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"32","ERFA10",2,NA,4,NA,3,3,NA,1,NA,NA,1,NA,NA,NA,10,NA,NA,NA,NA,NA,6,NA,30,"ERFA","T",36,11,43.43,477.73
"33","ERFA11",NA,1,2,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,15,1,1,NA,NA,NA,1,NA,31,"ERFA","T",55,15,43.43,651.45
"34","ERFA12",4,NA,2,NA,6,NA,NA,8,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,26,"ERFA","T",23,15,43.43,651.45
"35","ERFA13",NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,8,1,20,"ERFA","T",16,7,43.43,304.01
"36","ERFA2",NA,6,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,46,"ERFA","T",43,14,43.43,608.02
"37","ERFA3",NA,NA,NA,NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,"ERFA","T",48,11,43.43,477.73
"38","ERFA4",3,NA,2,NA,8,NA,NA,2,NA,NA,5,6,NA,NA,3,NA,NA,NA,NA,1,1,NA,31,"ERFA","C",25,10,43.43,434.3
"39","ERFA5",NA,5,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,25,"ERFA","C",22,11,43.43,477.73
"40","ERFA6",NA,2,4,NA,6,NA,NA,3,NA,NA,10,NA,1,1,NA,NA,NA,NA,NA,6,3,NA,36,"ERFA","T",45,9,43.43,390.87
"41","ERFA7",NA,NA,4,NA,2,NA,NA,10,NA,2,2,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,30,"ERFA","C",36,22,43.43,955.46
"42","ERFA9",NA,2,6,NA,1,1,NA,7,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA,NA,30,"ERFA","C",23,19,43.43,825.17
"43","ERPA1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,6,"ERPA","T",10,16,33.89,542.24
"44","ERPA10",NA,1,NA,NA,10,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"ERPA","C",17,25,33.89,847.25
"45","ERPA11",1,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,11,"ERPA","T",16,15,33.89,508.35
"46","ERPA12",NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,6,14,"ERPA","T",14,19,33.89,643.91
"47","ERPA3",NA,3,1,NA,3,NA,1,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,"ERPA","T",16,16,33.89,542.24
"48","ERPA3.1",NA,10,3,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,23,NA,NA,NA,NA,NA,NA
"49","ERPA4",NA,NA,3,NA,9,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,22,"ERPA","C",19,25,33.89,847.25
"50","ERPA7",NA,NA,4,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,2,5,25,"ERPA","T",29,34,33.89,1152.26
"51","ERPA8",NA,NA,1,NA,10,1,NA,17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,39,"ERPA","C",18,29,33.89,982.81
"52","ISME1",NA,NA,1,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"ISME","T",12,7,97.44,682.08
"53","ISME10",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"ISME","C",16,10,97.44,974.4
"54","ISME11",NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,26,"ISME","C",15,10,97.44,974.4
"55","ISME12",NA,NA,NA,NA,4,NA,NA,20,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,26,"ISME","C",26,14,97.44,1364.16
"56","ISME13",NA,NA,NA,NA,1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"ISME","C",15,13,97.44,1266.72
"57","ISME3",NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,9,"ISME","T",7,9,97.44,876.96
"58","ISME4",NA,NA,1,NA,2,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"ISME","T",16,11,97.44,1071.84
"59","ISME5",NA,NA,1,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,9,"ISME","T",14,9,97.44,876.96
"60","ISME6",NA,NA,NA,NA,7,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,37,"ISME","T",13,6,97.44,584.64
"61","ISME7",NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,"ISME","T",5,10,97.44,974.4
