inits,Sample,SP,PLANT,Well,Order,abundance,size,OTHER,feed,ID,,,
,ARDO11,ARDO,11,B1,LEPI,1,S,ADULT,herb,LEPI,,,
,ERFA9,ERFA,9,B3,LEPI,2,L,ADULT,herb,LEPI,,,"create ID column for order,trophic group, subgorup"
CN,LUAL12,LUAL,12,,LEPI,1,L,ADULT,herb,LEPI,,,merge totals with trait df
CN,SAAP12,SAAP,12,,LEPI,1,L,ADULT,herb,LEPI,,,make in multivariate format
CN,SAAP2,SAAP,2,,LEPI,1,L,ADULT,herb,LEPI,,,
CN,SAAP5,SAAP,5,,LEPI,1,L,ADULT,herb,LEPI,,,
CN,ARDO1,ARDO,1,,LEPID,1,L,ADULT,herb,LEPI,,,
CN,ARDO3,ARDO,3,,LEPID,2,L,ADULT,herb,LEPI,,,
CN,SAAP11,SAAP,11,,LEPID,1,L,ADULT,herb,LEPI,,,
,ARCA5,ARCA,5,A1,HYME,1,L,ANT,pred,ANT,,,
,ARCA7,ARCA,7,A3,HYME,1,L,ANT,pred,ANT,,,"sample, ID, sum#"
CN,ARDO13,ARDO,13,,HYME,1,S,ANT,pred,ANT,,,
CN,ENCA1,ENCA,1,,HYME,1,L,ANT,pred,ANT,,,
CN,ENCA1,ENCA,1,,HYME,3,S,ANT,pred,ANT,,,
AW,ENCA11,ENCA,11,C4,HYME,1,S,ANT,pred,ANT,,,
CN,ENCA3,ENCA,3,,HYME,1,L,ANT,pred,ANT,,,
,ENCA6,ENCA,6,B1,HYME,1,L,ANT,pred,ANT,,,
,ENCA6,ENCA,6,B3,HYME,1,S,ANT,pred,ANT,,,
CN,ENCA8,ENCA,8,,HYME,2,L,ANT,pred,ANT,,,
CN,ENCA8,ENCA,8,,HYME,2,S,ANT,pred,ANT,,,
EA,ENCA9,ENCA,9,B1,HYME,4,S,ANT,pred,ANT,,,
,ERFA11,ERFA,11,B6,HYME,1,L,ANT,pred,ANT,,,
AW,ERFA13,ERFA,13,A3,HYME,2,S,ANT,pred,ANT,,,
,ERFA2,ERFA,2,C1,HYME,6,S,ANT,pred,ANT,,,
,ERFA5,ERFA,5,B4,HYME,5,S,ANT,pred,ANT,,,
AW,ERFA6,ERFA,6,C1,HYME,2,L,ANT,pred,ANT,,,
,ERFA9,ERFA,9,B2,HYME,1,L,ANT,pred,ANT,,,
,ERFA9,ERFA,9,A2,HYME,1,S,ANT,pred,ANT,,,
AW,ERPA10,ERPA,10,A6,HYME,1,S,ANT,pred,ANT,,,
CN,ERPA3,ERPA,3,,HYME,3,S,ANT,pred,ANT,,,
,ERPA3.1,ERPA,3.1,C4,HYME,1,L,ANT,pred,ANT,,,
,ERPA3.1,ERPA,3.1,C2,HYME,9,S,ANT,pred,ANT,,,
AG,ISME7,ISME,7,D5,HYME,1,S,ANT,pred,ANT,,,
CN,ISME8,ISME,8,,HYME,2,S,ANT,pred,ANT,,,
CN,LUAL11,LUAL,11,,HYME,1,S,ANT,pred,ANT,,,
,LUAL2,LUAL,2,B3,HYME,1,S,ANT,pred,ANT,,,
,LUAL6.2,LUAL,6.2,D2,HYME,1,L,ANT,pred,ANT,,,
CN,SAAP1,SAAP,1,,HYME,1,S,ANT,pred,ANT,,,
CN,SAAP10,SAAP,10,,HYME,1,S,ANT,pred,ANT,,,
CN,SAAP11,SAAP,11,,HYME,1,S,ANT,pred,ANT,,,
CN,SAAP15,SAAP,15,,HYME,6,S,ANT,pred,ANT,,,
CN,SAAP3,SAAP,3,,HYME,14,S,ANT,pred,ANT,,,
CN,SAAP6,SAAP,6,,HYME,1,S,ANT,pred,ANT,,,
CN,SAAP7,SAAP,7,,HYME,1,S,ANT,pred,ANT,,,
,SAME10,SAME,10,B6,HYME,3,L,ANT,pred,ANT,,,
,SAME4,SAME,4,C4,HYME,5,L,ANT,pred,ANT,,,
CN,SAME7,SAME,7,,HYME,1,S,ANT,pred,ANT,,,
CN,ARCA11,ARCA,11,,HEMI,8,L,AUCH,herb,AUCH,,,
CN,ARCA11,ARCA,11,,HEMI,10,S,AUCH,herb,AUCH,,,
AG,ARCA14,ARCA,14,C4,HEMI,5,L,AUCH,herb,AUCH,,,
,ARCA14,ARCA,14,D5,HEMI,1,L,AUCH,herb,AUCH,,,
