Plant ID,Species,Family,hpq,hpq_se,Complex_N,HPQ_N,woody?,comp,comp_se,comp2,comp_se2
BASA,Baccharis salicifolia,Asteraceae,1.57,0.409,4,3,y,1.313034188,0.379493136,1.313034188,0.379493136
MANZ,Manzanita,Ericaceae,0.84,0.44,4,3,,3.883019758,1.334037353,3.883019758,1.334037353
MAPS,Maple-ish leaves,,2.222,0.82,4,3,,4.12706044,1.353206492,4.12706044,1.353206492
ARDO,Artemisia douglasiana,Asteraceae,4.352,1.094219356,,3,,4.27,2.195035721,4.27,2.195035721
PERO,Penstemon Red/Orange,Plantaginaceae,1.09,0.64,4,3,,4.444113757,2.267568173,4.444113757,2.267568173
CEAN,Ceanothus sp.,Rhamnaceae,1.11,0.38,4,3,,5.373041311,1.754573241,5.373041311,1.754573241
SAME,Salvia mellifera,Lamiaceae,0,0.14888889,,3,y,5.58,1.505042031,5.58,1.505042031
LUAL,Lupinus albifrons,Fabaceae,0.547777778,0.337100874,,3,,6.69,2.926448797,6.69,2.926448797
ERYX,Eriogonum-looking yellow plant,Asteraceae,0.457,0.21,4,3,,6.729573667,2.867869901,6.729573667,2.867869901
HASQ,Hazardia squarrosa,Asteraceae,0.54,0.19,4,3,y,6.748677249,2.00014172,6.748677249,2.00014172
ISAR,Isomeris arborea,Capparaceae,0.03,0.08,4,3,y,7.248513564,0.479258826,7.248513564,0.479258826
ENCA,Encelia californica,Asteraceae,0.338888889,0.137391933,,3,y,8.75,3.137022329,8.75,3.137022329
ACRA,Artemisia californica,Asteraceae,0,0.14888889,,3,y,9.08,2.234373344,9.08,2.234373344
SAAP,Salvia apiana,Lamiaceae,0.70125,0.540289274,,3,y,10.58,3.342789617,10.58,3.342789617
ISME,Isocoma menziesii,Asteraceae,0.551111111,0.122877034,,3,y,16.3,4.81983083,11.34,4.81983083
ERFA,Eriogonum fasciculatum,Polygonaceae,0.682857143,0.271777971,,3,y,20.8,6.568182826,10.87,4.568182826
ERPA,Ericamera palmerii,Asteraceae,0.653333333,0.12,,3,y,27,19.93322185,12,5.93322185
