Sample,ACAR,ANT,ARAN,ARCH,AUCH,BEE,COCC,COLE,DERM,DIPT,HETE,HYME,ISOP,LEPI,MIRID,NEUR,ORTH,PSOC,STER,THYS,WASP,species,treat,WT_multiplier,WT_sample
ARCA5,NA,1,NA,NA,2,NA,NA,3,NA,NA,1,10,NA,NA,NA,NA,NA,NA,1,NA,NA,ARCA,C,5,113
ARCA1,NA,NA,1,NA,6,NA,NA,NA,1,5,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,ARCA,C,7,113
ARCA8,NA,NA,NA,NA,3,NA,NA,2,NA,2,NA,5,1,1,4,NA,2,7,NA,NA,NA,ARCA,C,7,113
ARCA10,1,NA,NA,5,NA,NA,NA,6,NA,NA,2,2,NA,NA,NA,NA,NA,4,22,NA,NA,ARCA,C,10,113
ARCA14,1,NA,4,NA,8,NA,NA,4,NA,NA,1,13,NA,NA,NA,NA,NA,NA,3,NA,NA,ARCA,C,5,113
ARCA11,NA,NA,4,NA,18,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,17,NA,NA,ARCA,T,10,113
ARCA2,NA,NA,NA,NA,5,NA,NA,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,ARCA,T,6,113
ARCA4,NA,NA,3,NA,8,NA,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,ARCA,T,7,113
ARCA6,NA,NA,3,NA,17,NA,NA,7,NA,NA,NA,NA,NA,1,NA,1,1,3,1,NA,NA,ARCA,T,8,113
ARCA7,NA,1,1,NA,13,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,ARCA,T,9,113
ARCA9,NA,NA,2,NA,8,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,NA,ARCA,T,7,113
ARCA3,NA,1,NA,3,19,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,17,NA,NA,ARCA,T,6,113
ARDO10,NA,NA,1,NA,17,3,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,ARDO,C,6,69.78
ARDO11,NA,NA,2,NA,11,1,NA,5,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,ARDO,C,5,69.78
ARDO13,NA,1,NA,NA,4,NA,NA,8,NA,NA,5,2,NA,1,NA,NA,NA,NA,NA,NA,NA,ARDO,C,4,69.78
ARDO8,NA,NA,1,NA,18,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARDO,C,9,69.78
ARDO9,NA,2,2,NA,7,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,9,1,1,ARDO,C,9,69.78
ARDO1,NA,NA,3,NA,11,2,NA,9,NA,4,NA,NA,NA,1,NA,NA,NA,1,21,NA,NA,ARDO,T,6,69.78
ARDO3,NA,NA,4,NA,13,1,NA,10,NA,6,NA,NA,NA,2,NA,NA,NA,NA,11,NA,NA,ARDO,T,6,69.78
ARDO6,NA,1,2,NA,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,NA,2,ARDO,T,7,69.78
ARDO7,1,NA,3,NA,6,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,ARDO,T,6,69.78
ARDO5,NA,NA,NA,1,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,ARDO,T,5,69.78
ARDO4,,,3,,12,,,11,,1,,,,1,1,,,,20,,,ARDO,T,8,69.78
ARDO12,NA,NA,NA,NA,30,NA,8,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARDO,T,4,69.78
ENCA10,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,ENCA,C,16,43.98
ENCA11,NA,1,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENCA,C,12,43.98
ENCA4,2,NA,NA,NA,19,NA,NA,13,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ENCA,T,14,43.98
ENCA5,NA,NA,4,NA,6,3,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,ENCA,C,10,43.98
ENCA7,NA,NA,NA,NA,2,2,1,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ENCA,C,15,43.98
