"species","Sample","treat","Order","feed","Order.y","size_mm","bm_name","a","b","biomass"
"ARDO","ARDO13","C","COLE","herb","COLEOPTERA",0.5,"COLE",0.041,2.64,0.00657755772500988
"ARDO","ARDO13","C","COLE","herb","COLEOPTERA",0.5,"COLE",0.041,2.64,0.00657755772500988
"ARDO","ARDO4","T","COLE","herb","COLEOPTERA",0.5,"COLE",0.041,2.64,0.00657755772500988
"ARDO","ARDO5","T","DIPT","herb","DIPTERA",0.5,"DIPT",0.0312,2.392,0.0059441648383251
"ARDO","ARDO9","C","AUCH","herb","AUCHENORRHYNCHA",0.5,"AUCH",0.0548,2.354,0.0107190414097902
"ERFA","ERFA10","T","THYS","herb","THYSANURA",0.5,"THYS",0.0071,2.537,0.00122333457326587
"ERFA","ERFA11","T","COLE","herb","COLEOPTERA",0.5,"COLE",0.041,2.64,0.00657755772500988
"ERFA","ERFA12","T","COLE","herb","COLEOPTERA",0.5,"COLE",0.041,2.64,0.00657755772500988
"ERFA","ERFA12","T","STER","herb","STERNORRHYNCHA",0.5,"STER",0.0598,1.724,0.0181019546050608
"ERFA","ERFA4","C","THYS","herb","THYSANURA",0.5,"THYS",0.0071,2.537,0.00122333457326587
"ERFA","ERFA6","T","THYS","herb","THYSANURA",0.5,"THYS",0.0071,2.537,0.00122333457326587
"ERFA","ERFA7","C","COLE","herb","COLEOPTERA",0.5,"COLE",0.041,2.64,0.00657755772500988
"ERPA","ERPA10","C","AUCH","herb","AUCHENORRHYNCHA",0.5,"AUCH",0.0548,2.354,0.0107190414097902
"ERPA","ERPA11","T","THYS","herb","THYSANURA",0.5,"THYS",0.0071,2.537,0.00122333457326587
"ISME","ISME10","C","COLE","herb","COLEOPTERA",0.5,"COLE",0.041,2.64,0.00657755772500988
"ISME","ISME9","C","STER","herb","STERNORRHYNCHA",0.5,"STER",0.0598,1.724,0.0181019546050608
"LUAL","LUAL1","T","COLE","herb","COLEOPTERA",0.5,"COLE",0.041,2.64,0.00657755772500988
"LUAL","LUAL3","C","DIPT","herb","DIPTERA",0.5,"DIPT",0.0312,2.392,0.0059441648383251
"LUAL","LUAL9","C","COLE","herb","COLEOPTERA",0.5,"COLE",0.041,2.64,0.00657755772500988
"SAAP","SAAP10","T","AUCH","herb","AUCHENORRHYNCHA",0.5,"AUCH",0.0548,2.354,0.0107190414097902
"SAME","SAME12","T","DIPT","herb","DIPTERA",0.5,"DIPT",0.0312,2.392,0.0059441648383251
"ARCA","ARCA10","C","PSOC","herb","PSOCOPTERA",1,"PSOC",0.0425,1.637,0.0425
"ARCA","ARCA10","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA10","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA11","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA11","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA11","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA11","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA11","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA11","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA11","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA11","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA11","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA11","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA11","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA2","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA2","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA2","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA2","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA3","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA3","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA3","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA4","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA5","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA5","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA5","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ARCA","ARCA5","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA5","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA5","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA5","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA6","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARCA","ARCA8","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ARCA","ARCA8","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA8","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA8","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARCA","ARCA9","T","PSOC","herb","PSOCOPTERA",1,"PSOC",0.0425,1.637,0.0425
"ARDO","ARDO1","T","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ARDO","ARDO1","T","PSOC","herb","PSOCOPTERA",1,"PSOC",0.0425,1.637,0.0425
"ARDO","ARDO1","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO1","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO10","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO10","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO10","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO10","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO10","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO11","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO11","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ARDO","ARDO12","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO12","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO12","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO12","T","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ARDO","ARDO13","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO4","T","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ARDO","ARDO4","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO4","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO4","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO4","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO5","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO5","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO6","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO7","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ARDO","ARDO8","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO8","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO8","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ARDO","ARDO9","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ARDO","ARDO9","C","DIPT","herb","DIPTERA",1,"DIPT",0.0312,2.392,0.0312
"ENCA","ENCA1","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ENCA","ENCA1","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ENCA","ENCA1","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ENCA","ENCA10","C","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ENCA","ENCA11","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ENCA","ENCA11","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ENCA","ENCA11","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ENCA","ENCA11","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ENCA","ENCA11","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ENCA","ENCA11","C","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ENCA","ENCA14","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ENCA","ENCA14","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ENCA","ENCA2","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ENCA","ENCA2","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ENCA","ENCA2","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ENCA","ENCA3","T","COLE","herb","COLEOPTERA",1,"COLE",0.041,2.64,0.041
"ENCA","ENCA3","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ENCA","ENCA3","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ENCA","ENCA3","T","STER","herb","STERNORRHYNCHA",1,"STER",0.0598,1.724,0.0598
"ENCA","ENCA4","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ENCA","ENCA4","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCH",0.0548,2.354,0.0548
"ENCA","ENCA4","C","THYS","herb","THYSANURA",1,"THYS",0.0071,2.537,0.0071
