"species","Sample","treat","pred_abun","pred_mg","herb_abun","herb_mg","omni_abun","omni_mg","total_abun","total_mg","plant","sample_g","plant_wt","vaccum","abun","vac_sec","vac_min"
"ARCA","ARCA1","C",0.00138889037758295,0.00280874798836674,0.00324266669717008,0.00182888788382214,3,3.77039252946035,0.00365407301883207,0.00352418063268436,1,7.827,791,"2:28",7,148,2.46666666666667
"ARCA","ARCA10","C",0.00153351146141581,0.00139348354687953,0.00402387849527255,0.00249844461895861,2,0.10670319602532,0.00416061959700615,0.00276714077364245,10,4.444,904,"3:30",12,210,3.5
"ARCA","ARCA11","T",0.00122680916913265,0.00214107943746704,0.00312067303063377,0.00240723097699165,0,0,0.00319550257756126,0.00286338490692412,11,6.899,1130,"3:58",29,238,3.96666666666667
"ARCA","ARCA14","C",0.00467089792852258,0.00466985843337252,0.00601981837462328,0.00395067342993855,1,5.22234407085637,0.00669768076799692,0.00586799156072589,14,8,565,"1:32",34,92,1.53333333333333
"ARCA","ARCA2","T",0,0,0.00441848417928317,0.00492482925608218,0,0,0.00441848417928317,0.00492482925608218,2,4.998,678,"3:47",20,227,3.78333333333333
"ARCA","ARCA3","T",0.00102234097427721,0.00175142067005611,0.00544082515356038,0.00395352475008825,3,0.422570249283479,0.00558140063999744,0.00420403287655362,3,4.544,678,"3:03",30,183,3.05
"ARCA","ARCA4","T",0.00175258452733235,0.00304581433598558,0.00358181206581064,0.00331671406636353,1,0.653516130647452,0.00384895377714718,0.00404709043516228,4,5.932,791,"3:49",18,229,3.81666666666667
"ARCA","ARCA5","C",0.00368042750739794,0.00400100102572851,0.00511570222636489,0.00367887152628252,1,0.400329065064269,0.00576654254517076,0.00501264205414466,5,8.675,565,"3:36",19,216,3.6
"ARCA","ARCA6","T",0.00121527908038508,0.00189250044441002,0.00364583724115523,0.00282413374072528,0,0,0.00372488476768415,0.00315849535077946,6,9.91,904,"3:33",32,213,3.55
"ARCA","ARCA7","T",0.00191338264410552,0.0027913823919691,0.00266278289193924,0.002460767981824,0,0,0.00299363071555892,0.0032873330814214,7,7.983,1017,"3:23",10,203,3.38333333333333
"ARCA","ARCA8","C",0.00226518264124912,0.00264480743234867,0.0039077654277602,0.00282202067938381,0,0,0.00416667113274884,0.00353807819129088,8,6.868,791,"3:45",14,225,3.75
"ARCA","ARCA9","T",0.00203468762633894,0.00118115996172498,0.00365407301883207,0.00327061628341811,0,0,0.0039077654277602,0.00340968235288864,9,3.209,791,"2:42",21,162,2.7
"ARDO","ARDO1","T",0.00641931595452871,0.00850585787153282,0.0138693071471335,0.0130275770261616,0,0,0.0142243189794788,0.013846204326427,1,8.113,279.12,"1:58",32,118,1.96666666666667
"ARDO","ARDO10","C",0.00384407641261608,0.00406556268607866,0.00727171691440581,0.00683290732611179,2,0.439494053196198,0.0078719711139876,0.00742595643789562,10,1.098,418.68,"2:01",24,121,2.01666666666667
"ARDO","ARDO11","C",0.0046128916951393,0.0041656325732261,0.00885939367543226,0.00775845702573313,0,0,0.00933819586707218,0.00832545942233667,11,3.533,348.9,"2:21",25,141,2.35
"ARDO","ARDO12","T",0,0,0.0131253999932991,0.0107070038175679,4,0.941234729603157,0.0134752082104241,0.0108729264488664,12,NA,279.12,"2:57",42,177,2.95
"ARDO","ARDO13","C",0.00496666079506983,0.00425923131644414,0.00945492021214982,0.00828938108244851,5,3.64799873586804,0.0110742420942903,0.00994301559194954,13,2.379,279.12,"2:40",16,160,2.66666666666667
"ARDO","ARDO3","T",0.00366818054544498,0.00351977115062335,0.00770011897738518,0.00718768546961405,0,0,0.00792531836979055,0.00745021122843344,3,8,488.46,"2:05",31,125,2.08333333333333
"ARDO","ARDO4","T",0.00248333039753491,0.00440069920340438,0.00689693967058981,0.00551101907436877,0,0,0.00700777981769158,0.00622766745696719,4,NA,558.24,"2:12",49,132,2.2
"ARDO","ARDO5","T",0,0,0.0101505207224714,0.00710125392719228,0,0,0.0101505207224714,0.00710125392719228,5,1.611,279.12,"2:19",7,139,2.31666666666667
"ARDO","ARDO6","T",0.00398376560835138,0.00374917232233269,0.00554405724338167,0.00338020191826457,0,0,0.00623290021234783,0.00480502264915393,6,2.023,488.46,"1:56",9,116,1.93333333333333
"ARDO","ARDO7","T",0.00331110719671322,0.00612115406824411,0.00572727446450361,0.00396095098254475,1,1.94352269347208,0.00646806678394528,0.00705350139006069,7,1.766,418.68,"2:14",8,134,2.23333333333333
"ARDO","ARDO8","C",0.00110370239890441,0.000374122569526754,0.00512543521682144,0.00447169406153069,1,0.0341,0.0052479807426584,0.00450014585483263,8,3.522,628.02,"2:30",13,150,2.5
"ARDO","ARDO9","C",0.00256271760841072,0.00408487005799798,0.00512543521682144,0.0032925280561389,0,0,0.00536176527815432,0.00476316466693347,9,NA,628.02,"2:51",29,171,2.85
