"species","Sample","treat","pred_abun","pred_mg","herb_abun","herb_mg","omni_abun","omni_mg","total_abun","total_mg","sample_g","plant_g","vaccum","vac_sec","vac_min","flower","diameter","height","complexity"
"ARCA","ARCA1","C",2,8.22317795530077,12,3.24885831933242,3,3.77039252946035,17,15.2424288040935,7.827,791,"2:28",148,2.46666666666667,"N",0.87,1.01,11
"ARCA","ARCA10","C",3,2.52439618437615,37,8.56962419418452,2,0.10670319602532,42,11.200723574586,4.444,904,"3:30",210,3.5,"N",0.9,1.2,7
"ARCA","ARCA11","T",3,10.2393359589796,33,14.1829183627546,0,0,36,24.4222543217342,6.899,1130,"3:58",238,3.96666666666667,"N",0.99,1.04,12
"ARCA","ARCA14","C",13,12.9917800074608,29,8.31970045272357,1,5.22234407085637,43,26.5338245310407,8,565,"1:32",92,1.53333333333333,"N",0.6,0.73,6
"ARCA","ARCA2","T",0,0,19,27.1918868338727,0,0,19,27.1918868338727,4.998,678,"3:47",227,3.78333333333333,"N",0.91,1.37,9
"ARCA","ARCA3","T",1,2.27875315448393,39,13.5922385406986,3,0.422570249283479,43,16.293561944466,4.544,678,"3:03",183,3.05,"N",1.29,1.45,8
"ARCA","ARCA4","T",3,10.1254929787215,16,12.7841699201084,1,0.653516130647452,20,23.5631790294773,5.932,791,"3:49",229,3.81666666666667,"N",0.7,1.31,7
"ARCA","ARCA5","C",7,8.58851069890388,17,6.99297005592607,1,0.400329065064269,25,15.9818098198942,8.675,565,"3:36",216,3.6,"N",0.78,0.92,10
"ARCA","ARCA6","T",2,4.53349930844509,26,11.8457998965911,0,0,28,16.3792992050362,9.91,904,"3:33",213,3.55,"N",0.64,0.95,10
"ARCA","ARCA7","T",6,16.0958525410664,14,11.214222329973,0,0,20,27.3100748710394,7.983,1017,"3:23",203,3.38333333333333,"N",0.75,0.9,12
"ARCA","ARCA8","C",5,7.10144692942565,21,8.32051940591107,0,0,26,15.4219663353367,6.868,791,"3:45",225,3.75,"N",0.73,1.06,11
"ARCA","ARCA9","T",4,1.54542474433204,17,12.2906061369464,0,0,21,13.8360308812785,3.209,791,"2:42",162,2.7,"N",1,1.25,6
"ARDO","ARDO1","T",5,9.7419329445523,47,36.9495368496632,0,0,52,46.6914697942155,8.113,279.12,"1:58",118,1.96666666666667,"N",0.6,1.11,3
"ARDO","ARDO10","C",4,4.48583757780997,20,16.4755303948603,2,0.439494053196198,26,21.4008620258664,1.098,418.68,"2:01",121,2.01666666666667,"N",0.72,0.83,3
"ARDO","ARDO11","C",4,3.27758759560338,21,13.9831413085949,0,0,25,17.2607289041983,3.533,348.9,"2:21",141,2.35,"N",0.55,0.74,6
"ARDO","ARDO12","T",0,0,38,18.8566488470452,4,0.941234729603157,42,19.7978835766484,NA,279.12,"2:57",177,2.95,"N",0.48,0.78,8
"ARDO","ARDO13","C",3,2.28325938867284,13,9.11209313527095,5,3.64799873586804,21,15.0433512598118,2.379,279.12,"2:40",160,2.66666666666667,"N",0.54,0.73,5
"ARDO","ARDO3","T",5,4.5804388275631,42,32.4782791342748,0,0,47,37.0587179618379,8,488.46,"2:05",125,2.08333333333333,"N",0.51,1,8
"ARDO","ARDO4","T",3,10.6656231356892,46,20.6817585687297,0,0,49,31.3473817044188,NA,558.24,"2:12",132,2.2,"N",0.74,0.82,2
"ARDO","ARDO5","T",0,0,16,6.25798321492932,0,0,16,6.25798321492932,1.611,279.12,"2:19",139,2.31666666666667,"N",0.56,0.84,3
"ARDO","ARDO6","T",6,5.24212527019499,14,4.21267640373537,0,0,20,9.45480167393036,2.023,488.46,"1:56",116,1.93333333333333,"N",0.74,0.87,3
"ARDO","ARDO7","T",3,11.9721504351764,10,4.2507501776253,1,1.94352269347208,14,18.1664233062738,1.766,418.68,"2:14",134,2.23333333333333,"N",0.6,0.68,2
"ARDO","ARDO8","C",1,0.264853690889069,24,15.5819259586911,1,0.0341,26,15.8808796495802,3.522,628.02,"2:30",150,2.5,"N",0.75,0.79,3
"ARDO","ARDO9","C",4,12.0056007788536,24,6.90719788881107,0,0,28,18.9127986676647,NA,628.02,"2:51",171,2.85,"Y",0.81,0.77,4
"ENCA","ENCA1","T",4,7.74462284053024,17,8.42361428011232,0,0,21,16.1682371206426,NA,219.9,"2:58",178,2.96666666666667,"Y",0.6,0.98,6
"ENCA","ENCA10","C",0,0,6,1.14733509148598,0,0,6,1.14733509148598,22.222,703.68,"3:42",222,3.7,"Y",1.35,0.85,12
"ENCA","ENCA11","C",1,0.610576789661687,16,6.04514941402347,0,0,17,6.65572620368515,11.491,527.76,"4:26",266,4.43333333333333,"N",1.19,1.54,6
