species,Sample,treat,Order,feed,abundance,orig.x,S,L,L_S
ARCA,ARCA1,C,AUCH,herb,6,arth,6,0,6
ARCA,ARCA1,C,DIPT,herb,5,arth,5,0,5
ARCA,ARCA1,C,STER,herb,1,arth,1,0,1
ARCA,ARCA1,C,DERM,omni,1,arth,1,0,1
ARCA,ARCA1,C,ARAN,pred,1,arth,0,1,1
ARCA,ARCA1,C,HETE,pred,2,arth,1,1,2
ARCA,ARCA1,C,HYME,pred,1,arth,0,1,1
ARCA,ARCA10,C,ARCH,herb,5,arth,5,0,5
ARCA,ARCA10,C,COLE,herb,6,arth,4,2,6
ARCA,ARCA10,C,PSOC,herb,4,arth,4,0,4
ARCA,ARCA10,C,STER,herb,22,arth,18,4,22
ARCA,ARCA10,C,ACAR,pred,1,arth,1,0,1
ARCA,ARCA10,C,HETE,pred,2,arth,2,0,2
ARCA,ARCA10,C,HYME,pred,2,arth,0,2,2
ARCA,ARCA14,C,AUCH,herb,8,arth,7,1,8
ARCA,ARCA14,C,COLE,herb,4,arth,2,2,4
ARCA,ARCA14,C,STER,herb,3,arth,3,0,3
ARCA,ARCA14,C,ACAR,pred,1,arth,1,0,1
ARCA,ARCA14,C,ARAN,pred,4,arth,3,1,4
ARCA,ARCA14,C,HETE,pred,1,arth,0,1,1
ARCA,ARCA14,C,HYME,pred,13,arth,3,10,13
ARCA,ARCA5,C,AUCH,herb,2,arth,1,1,2
ARCA,ARCA5,C,COLE,herb,3,arth,1,2,3
ARCA,ARCA5,C,STER,herb,1,arth,1,0,1
ARCA,ARCA5,C,HETE,pred,1,arth,0,1,1
ARCA,ARCA5,C,HYME,pred,11,arth,1,10,11
ARCA,ARCA8,C,AUCH,herb,3,arth,2,0,2
ARCA,ARCA8,C,COLE,herb,2,arth,1,1,2
ARCA,ARCA8,C,DIPT,herb,2,arth,2,0,2
ARCA,ARCA8,C,ISOP,herb,1,arth,1,0,1
ARCA,ARCA8,C,LEPI,herb,1,arth,0,1,1
ARCA,ARCA8,C,ORTH,herb,2,arth,0,2,2
ARCA,ARCA8,C,PSOC,herb,7,arth,5,2,7
ARCA,ARCA8,C,MIRID,omni,4,arth,0,4,4
ARCA,ARCA8,C,HYME,pred,5,arth,3,2,5
ARCA,ARCA11,T,AUCH,herb,18,arth,14,4,18
ARCA,ARCA11,T,COLE,herb,3,arth,0,3,3
ARCA,ARCA11,T,STER,herb,17,arth,12,5,17
ARCA,ARCA11,T,ARAN,pred,4,arth,0,4,4
ARCA,ARCA11,T,NEUR,pred,1,arth,0,1,1
ARCA,ARCA2,T,AUCH,herb,5,arth,5,0,5
ARCA,ARCA2,T,COLE,herb,8,arth,0,8,8
ARCA,ARCA2,T,LEPI,herb,2,arth,0,2,2
ARCA,ARCA3,T,ARCH,herb,3,arth,3,0,3
ARCA,ARCA3,T,AUCH,herb,19,arth,13,6,19
ARCA,ARCA3,T,PSOC,herb,2,arth,2,0,2
ARCA,ARCA3,T,STER,herb,17,arth,15,0,15
ARCA,ARCA3,T,HETE,pred,3,arth,3,0,3
ARCA,ARCA3,T,HYME,pred,1,arth,1,0,1
ARCA,ARCA4,T,AUCH,herb,8,arth,8,0,8
ARCA,ARCA4,T,COLE,herb,4,arth,0,4,4
ARCA,ARCA4,T,DIPT,herb,1,arth,1,0,1
ARCA,ARCA4,T,PSOC,herb,3,arth,3,0,3
ARCA,ARCA4,T,MIRID,omni,1,arth,0,1,1
ARCA,ARCA4,T,ARAN,pred,3,arth,1,2,3
ARCA,ARCA6,T,AUCH,herb,17,arth,13,4,17
ARCA,ARCA6,T,COLE,herb,7,arth,1,6,7
ARCA,ARCA6,T,LEPI,herb,1,arth,1,0,1
ARCA,ARCA6,T,ORTH,herb,1,arth,0,1,1
ARCA,ARCA6,T,PSOC,herb,3,arth,3,0,3
ARCA,ARCA6,T,STER,herb,1,arth,1,0,1
ARCA,ARCA6,T,ARAN,pred,3,arth,0,3,3
ARCA,ARCA6,T,NEUR,pred,1,arth,1,0,1
ARCA,ARCA7,T,AUCH,herb,13,arth,10,3,13
