"species","Sample","treat","Order","feed","abundance","S","L","bm_name","a","b","S_bm","L_bm","total_bm"
"ARCA","ARCA14","C","ACAR","pred",1,1,0,"ACAR",0.053,2.494,0.053,0,0.053
"ARCA","ARCA10","C","ACAR","pred",1,1,0,"ACAR",0.053,2.494,0.053,0,0.053
"ARCA","ARCA14","C","ARAN","pred",4,3,1,"ARAN",0.1044,2.296,0.3132,2.51785223292632,2.83105223292632
"ARCA","ARCA1","C","ARAN","pred",1,0,1,"ARAN",0.1044,2.296,0,2.51785223292632,2.51785223292632
"ARCA","ARCA10","C","ARCH","herb",5,5,0,"THYS",0.0071,2.537,0.0355,0,0.0355
"ARCA","ARCA1","C","AUCH","herb",6,6,0,"AUCH",0.0548,2.354,0.3288,0,0.3288
"ARCA","ARCA14","C","AUCH","herb",8,7,1,"AUCH",0.0548,2.354,0.3836,1.43228610281054,1.81588610281054
"ARCA","ARCA5","C","AUCH","herb",2,1,1,"AUCH",0.0548,2.354,0.0548,1.43228610281054,1.48708610281054
"ARCA","ARCA8","C","AUCH","herb",3,2,0,"AUCH",0.0548,2.354,0.1096,0,0.1096
"ARCA","ARCA14","C","COLE","herb",4,2,2,"COLE",0.041,2.64,0.082,3.1860473766526,3.2680473766526
"ARCA","ARCA5","C","COLE","herb",3,1,2,"COLE",0.041,2.64,0.041,3.1860473766526,3.2270473766526
"ARCA","ARCA10","C","COLE","herb",6,4,2,"COLE",0.041,2.64,0.164,3.1860473766526,3.3500473766526
"ARCA","ARCA8","C","COLE","herb",2,1,1,"COLE",0.041,2.64,0.041,1.5930236883263,1.6340236883263
"ARCA","ARCA1","C","DERM","omni",1,1,0,"DERM",0.0015,3.497,0.0015,0,0.0015
"ARCA","ARCA1","C","DIPT","herb",5,5,0,"DIPT",0.0312,2.392,0.156,0,0.156
"ARCA","ARCA8","C","DIPT","herb",2,2,0,"DIPT",0.0312,2.392,0.0624,0,0.0624
"ARCA","ARCA1","C","HETE","pred",2,1,1,"HETE",0.0341,2.688,0.0341,1.41609254248404,1.45019254248404
"ARCA","ARCA10","C","HETE","pred",2,2,0,"HETE",0.0341,2.688,0.0682,0,0.0682
"ARCA","ARCA14","C","HETE","pred",1,0,1,"HETE",0.0341,2.688,0,1.41609254248404,1.41609254248404
"ARCA","ARCA5","C","HETE","pred",1,0,1,"HETE",0.0341,2.688,0,1.41609254248404,1.41609254248404
"ARCA","ARCA14","C","HYME","pred",13,3,10,"HYME",0.1636,1.9,0.4908,22.7875315448393,23.2783315448393
"ARCA","ARCA5","C","HYME","pred",11,1,10,"HYME",0.1636,1.9,0.1636,22.7875315448393,22.9511315448393
"ARCA","ARCA1","C","HYME","pred",1,0,1,"HYME",0.1636,1.9,0,2.27875315448393,2.27875315448393
"ARCA","ARCA10","C","HYME","pred",2,0,2,"HYME",0.1636,1.9,0,4.55750630896787,4.55750630896787
"ARCA","ARCA8","C","HYME","pred",5,3,2,"HYME",0.1636,1.9,0.4908,4.55750630896787,5.04830630896787
"ARCA","ARCA8","C","ISOP","herb",1,1,0,"ISOP",0.0101,2.844,0.0101,0,0.0101
"ARCA","ARCA8","C","LEPI","herb",1,0,1,"LEPI",0.011,2.571,0,0.38840867649477,0.38840867649477
"ARCA","ARCA8","C","MIRID","omni",4,0,4,"HETE",0.0341,2.688,0,5.66437016993615,5.66437016993615
"ARCA","ARCA8","C","ORTH","herb",2,0,2,"ORTH",0.0255,2.637,0,1.97334206296005,1.97334206296005
"ARCA","ARCA10","C","PSOC","herb",4,4,0,"PSOC",0.0425,1.637,0.17,0,0.17
"ARCA","ARCA8","C","PSOC","herb",7,5,2,"PSOC",0.0425,1.637,0.2125,0.822225859566686,1.03472585956669
"ARCA","ARCA1","C","STER","herb",1,1,0,"STER",0.0598,1.724,0.0598,0,0.0598
"ARCA","ARCA10","C","STER","herb",22,18,4,"STER",0.0598,1.724,1.0764,2.61043329682513,3.68683329682513
"ARCA","ARCA14","C","STER","herb",3,3,0,"STER",0.0598,1.724,0.1794,0,0.1794
"ARCA","ARCA5","C","STER","herb",1,1,0,"STER",0.0598,1.724,0.0598,0,0.0598
"ARCA","ARCA11","T","ARAN","pred",4,0,4,"ARAN",0.1044,2.296,0,10.0714089317053,10.0714089317053
"ARCA","ARCA4","T","ARAN","pred",3,1,2,"ARAN",0.1044,2.296,0.1044,5.03570446585264,5.14010446585264
"ARCA","ARCA6","T","ARAN","pred",3,0,3,"ARAN",0.1044,2.296,0,7.55355669877896,7.55355669877896
"ARCA","ARCA7","T","ARAN","pred",1,0,1,"ARAN",0.1044,2.296,0,2.51785223292632,2.51785223292632
"ARCA","ARCA9","T","ARAN","pred",2,2,0,"ARAN",0.1044,2.296,0.2088,0,0.2088
"ARCA","ARCA3","T","ARCH","herb",3,3,0,"THYS",0.0071,2.537,0.0213,0,0.0213
"ARCA","ARCA11","T","AUCH","herb",18,14,4,"AUCH",0.0548,2.354,0.7672,5.72914441124215,6.49634441124214
"ARCA","ARCA2","T","AUCH","herb",5,5,0,"AUCH",0.0548,2.354,0.274,0,0.274
"ARCA","ARCA3","T","AUCH","herb",19,13,6,"AUCH",0.0548,2.354,0.7124,8.59371661686322,9.30611661686322
"ARCA","ARCA4","T","AUCH","herb",8,8,0,"AUCH",0.0548,2.354,0.4384,0,0.4384
"ARCA","ARCA6","T","AUCH","herb",17,13,4,"AUCH",0.0548,2.354,0.7124,5.72914441124215,6.44154441124214
"ARCA","ARCA7","T","AUCH","herb",13,10,3,"AUCH",0.0548,2.354,0.548,4.29685830843161,4.84485830843161
"ARCA","ARCA9","T","AUCH","herb",8,8,0,"AUCH",0.0548,2.354,0.4384,0,0.4384
"ARCA","ARCA11","T","COLE","herb",3,0,3,"COLE",0.041,2.64,0,4.7790710649789,4.7790710649789
"ARCA","ARCA2","T","COLE","herb",8,0,8,"COLE",0.041,2.64,0,12.7441895066104,12.7441895066104
"ARCA","ARCA4","T","COLE","herb",4,0,4,"COLE",0.041,2.64,0,6.37209475330521,6.37209475330521
"ARCA","ARCA6","T","COLE","herb",7,1,6,"COLE",0.041,2.64,0.041,9.55814212995781,9.59914212995781
"ARCA","ARCA7","T","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"ARCA","ARCA9","T","COLE","herb",4,0,4,"COLE",0.041,2.64,0,6.37209475330521,6.37209475330521
"ARCA","ARCA4","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"ARCA","ARCA3","T","HETE","pred",3,3,0,"HETE",0.0341,2.688,0.1023,0,0.1023
"ARCA","ARCA7","T","HYME","pred",2,1,1,"HYME",0.1636,1.9,0.1636,2.27875315448393,2.44235315448393
"ARCA","ARCA3","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"ARCA","ARCA2","T","LEPI","herb",2,0,2,"LEPI",0.011,2.571,0,0.776817352989539,0.776817352989539
"ARCA","ARCA6","T","LEPI","herb",1,1,0,"LEPI",0.011,2.571,0.011,0,0.011
"ARCA","ARCA4","T","MIRID","omni",1,0,1,"HETE",0.0341,2.688,0,1.41609254248404,1.41609254248404
"ARCA","ARCA6","T","NEUR","pred",1,1,0,"NEUR",0.0814,1.53,0.0814,0,0.0814
"ARCA","ARCA11","T","NEUR","pred",1,0,1,"NEUR",0.0814,1.53,0,0.678853703459738,0.678853703459738
"ARCA","ARCA7","T","NEUR","pred",3,1,2,"NEUR",0.0814,1.53,0.0814,1.35770740691948,1.43910740691948
"ARCA","ARCA9","T","NEUR","pred",2,2,0,"NEUR",0.0814,1.53,0.1628,0,0.1628
"ARCA","ARCA6","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"ARCA","ARCA3","T","PSOC","herb",2,2,0,"PSOC",0.0425,1.637,0.085,0,0.085
"ARCA","ARCA4","T","PSOC","herb",3,3,0,"PSOC",0.0425,1.637,0.1275,0,0.1275
"ARCA","ARCA6","T","PSOC","herb",3,3,0,"PSOC",0.0425,1.637,0.1275,0,0.1275
"ARCA","ARCA9","T","PSOC","herb",3,1,2,"PSOC",0.0425,1.637,0.0425,0.822225859566686,0.864725859566686
