Order,size,mean,sd,ord
ACARINA,L,5.6,4.026302412,ACAR
ACARINA,S,0.929327522,0.55809821,ACAR
ARANEAE,L,5.855603448,2.274233752,ARAN
ARANEAE,S,1.833180147,0.65954683,ARAN
ARCHAEOGNATHA,L,6.840236686,2.794218511,ARCH
ARCHAEOGNATHA,S,2.479166667,0.598533837,ARCH
AUCHENORRHYNCHA,L,4.279051988,1.546913616,AUCH
AUCHENORRHYNCHA,S,2.024955437,0.638876724,AUCH
CHILOPODA,L,8.833333333,5.795112884,CHIL
CHILOPODA,S,3,NA,CHIL
COLEOPTERA,L,8.225352113,5.459663036,COLE
COLEOPTERA,S,1.985040984,0.771088264,COLE
DERMAPTERA,L,10.04310345,5.554581231,DERM
DERMAPTERA,S,2.45,0.68516016,DERM
DIPTERA,L,6.13125,4.014809263,DIPT
DIPTERA,S,1.748963516,0.663550868,DIPT
EMHEMEROPTERA,L,6,NA,EMHE
ENTOMOBRYOMORPHA,L,4.416666667,0.801040989,ENTO
ENTOMOBRYOMORPHA,S,1.181818182,0.581663752,ENTO
HETEROPTERA,L,5.679515419,2.98168988,HETE
HETEROPTERA,S,1.501701967,0.660863147,HETE
HYMENOPTERA,L,5.808510638,3.178013085,HYME
HYMENOPTERA,S,2.35477598,0.634409668,HYME
ISOPODA,L,9.757302405,2.758273403,ISOP
ISOPODA,S,1.778571429,0.649491856,ISOP
LEPIDOPTERA,L,14.32865169,10.28204619,LEPI
LEPIDOPTERA,S,2.590277778,0.423222239,LEPI
MANTODEA,L,5.5,NA,MANT
NEUROPTERA,L,8.380952381,3.587843231,NEUR
NEUROPTERA,S,2.4,0.821583836,NEUR
OPILIONES,L,9.3125,7.986316422,OPIL
OPILIONES,S,2.205882353,0.751224491,OPIL
ORTHOPTERA,L,10.72916667,9.538811165,ORTH
ORTHOPTERA,S,2.192307692,0.722797273,ORTH
PSEUDOSCORPIONIDA,S,2.5,NA,PSEU
PSOCOPTERA,L,3.5,NA,PSOC
PSOCOPTERA,S,1.415283843,0.502238439,PSOC
RAPHIDIOPTERA,L,9.107142857,2.558384191,RAPH
SIPHONOPTERA,S,1.642857143,0.475594866,SIPH
STERNORRHYNCHA,L,9.916666667,5.642842074,STER
STERNORRHYNCHA,S,1.394372624,0.315503419,STER
THYSANOPTERA,L,11.75,4.291464397,THYSA
THYSANOPTERA,S,1.19488189,0.545465967,THYSA
THYSANURA,L,9,3.049590136,THYS
THYSANURA,S,1.4375,0.8634441,THYS
UNKNOWN,L,12.26041667,11.31838615,
UNKNOWN,S,2.045454545,0.269679945,
