"species","Sample","treat","ID","value","feed","size"
"ARDO","ARDO11","C","LEPI",1,"herb","S"
"ERFA","ERFA9","C","LEPI",2,"herb","L"
"LUAL","LUAL12","T","LEPI",1,"herb","L"
"SAAP","SAAP12","C","LEPI",1,"herb","L"
"SAAP","SAAP2","C","LEPI",1,"herb","L"
"SAAP","SAAP5","T","LEPI",1,"herb","L"
"ARDO","ARDO1","T","LEPID",1,"herb","L"
"ARDO","ARDO3","T","LEPID",2,"herb","L"
"SAAP","SAAP11","T","LEPID",1,"herb","L"
"ARCA","ARCA5","C","HYME",1,"pred","L"
"ARCA","ARCA7","T","HYME",1,"pred","L"
"ARDO","ARDO13","C","HYME",1,"pred","S"
"ENCA","ENCA1","T","HYME",1,"pred","L"
"ENCA","ENCA1","T","HYME",3,"pred","S"
"ENCA","ENCA11","C","HYME",1,"pred","S"
"ENCA","ENCA3","T","HYME",1,"pred","L"
"ENCA","ENCA6","T","HYME",1,"pred","L"
"ENCA","ENCA6","T","HYME",1,"pred","S"
"ENCA","ENCA8","T","HYME",2,"pred","L"
"ENCA","ENCA8","T","HYME",2,"pred","S"
"ENCA","ENCA9","T","HYME",4,"pred","S"
"ERFA","ERFA11","T","HYME",1,"pred","L"
"ERFA","ERFA13","T","HYME",2,"pred","S"
"ERFA","ERFA2","T","HYME",6,"pred","S"
"ERFA","ERFA5","C","HYME",5,"pred","S"
"ERFA","ERFA6","T","HYME",2,"pred","L"
"ERFA","ERFA9","C","HYME",1,"pred","L"
"ERFA","ERFA9","C","HYME",1,"pred","S"
"ERPA","ERPA10","C","HYME",1,"pred","S"
"ERPA","ERPA3","T","HYME",3,"pred","S"
"ERPA","ERPA3.1",NA,"HYME",1,"pred","L"
"ERPA","ERPA3.1",NA,"HYME",9,"pred","S"
"ISME","ISME7","T","HYME",1,"pred","S"
"ISME","ISME8","T","HYME",2,"pred","S"
"LUAL","LUAL11","T","HYME",1,"pred","S"
"LUAL","LUAL2","C","HYME",1,"pred","S"
"LUAL","LUAL6.2",NA,"HYME",1,"pred","L"
"SAAP","SAAP1","T","HYME",1,"pred","S"
"SAAP","SAAP10","T","HYME",1,"pred","S"
"SAAP","SAAP11","T","HYME",1,"pred","S"
"SAAP","SAAP15","T","HYME",6,"pred","S"
"SAAP","SAAP3","T","HYME",14,"pred","S"
"SAAP","SAAP6","C","HYME",1,"pred","S"
"SAAP","SAAP7","T","HYME",1,"pred","S"
"SAME","SAME10","T","HYME",3,"pred","L"
"SAME","SAME4","T","HYME",5,"pred","L"
"SAME","SAME7","T","HYME",1,"pred","S"
"ARCA","ARCA11","T","HEMI",8,"herb","L"
"ARCA","ARCA11","T","HEMI",10,"herb","S"
"ARCA","ARCA14","C","HEMI",5,"herb","L"
"ARCA","ARCA14","C","HEMI",1,"herb","L"
"ARCA","ARCA14","C","HEMI",2,"herb","S"
"ARCA","ARCA2","T","HEMI",4,"herb","L"
"ARCA","ARCA2","T","HEMI",1,"herb","S"
"ARCA","ARCA4","T","HEMI",1,"herb","L"
"ARCA","ARCA4","T","HEMI",7,"herb","S"
"ARCA","ARCA5","C","HEMI",1,"herb","L"
"ARCA","ARCA5","C","HEMI",1,"herb","S"
"ARCA","ARCA6","T","HEMI",7,"herb","L"
"ARCA","ARCA6","T","HEMI",10,"herb","S"
"ARCA","ARCA7","T","HEMI",3,"herb","L"
"ARCA","ARCA9","T","HEMI",8,"herb","L"
"ARCA","ARCAC2",NA,"HEMI",5,"herb","L"
"ARCA","ARCAC2",NA,"HEMI",1,"herb","S"
"ARDO","ARDO1","T","HEMI",4,"herb","L"
"ARDO","ARDO1","T","HEMI",7,"herb","S"
"ARDO","ARDO10","C","HEMI",17,"herb","S"
"ARDO","ARDO11","C","HEMI",4,"herb","L"
"ARDO","ARDO11","C","HEMI",7,"herb","S"
