Sample,sp,plant,treat,sample_g,plant_wt,vaccum,abun
ARCA1,ARCA,1,C,7.827,791,2:28,7
ARCA2,ARCA,2,T,4.998,678,3:47,20
ARCA3,ARCA,3,T,4.544,678,3:03,30
ARCA4,ARCA,4,T,5.932,791,3:49,18
ARCA5,ARCA,5,C,8.675,565,3:36,19
ARCA6,ARCA,6,T,9.91,904,3:33,32
ARCA7,ARCA,7,T,7.983,1017,3:23,10
ARCA8,ARCA,8,C,6.868,791,3:45,14
ARCA9,ARCA,9,T,3.209,791,2:42,21
ARCA10,ARCA,10,C,4.444,904,3:30,12
ARCA11,ARCA,11,T,6.899,1130,3:58,29
ARCA14,ARCA,14,C,8,565,1:32,34
ARDO1,ARDO,1,T,8.113,279.12,1:58,32
ARDO3,ARDO,3,T,8,488.46,2:05,31
ARDO4,ARDO,4,T,,558.24,2:12,49
ARDO5,ARDO,5,T,1.611,279.12,2:19,7
ARDO6,ARDO,6,T,2.023,488.46,1:56,9
ARDO7,ARDO,7,T,1.766,418.68,2:14,8
ARDO8,ARDO,8,C,3.522,628.02,2:30,13
ARDO9,ARDO,9,C,,628.02,2:51,29
ARDO10,ARDO,10,C,1.098,418.68,2:01,24
ARDO11,ARDO,11,C,3.533,348.9,2:21,25
ARDO12,ARDO,12,T,NA,279.12,2:57,42
ARDO13,ARDO,13,C,2.379,279.12,2:40,16
ENCA1,ENCA,1,T,NA,219.9,2:58,8
ENCA2,ENCA,2,C,6.545,703.68,4:28,10
ENCA3,ENCA,3,T,NA,615.72,4:00,14
ENCA4,ENCA,4,C,11.47,615.72,3:38,32
ENCA5,ENCA,5,C,4.747,439.8,2:58,26
ENCA6,ENCA,6,T,17.766,527.76,4:45,11
ENCA7,ENCA,7,C,17.998,659.7,3:15,16
ENCA8,ENCA,8,T,NA,791.64,4:44,36
ENCA9,ENCA,9,T,NA,791.64,4:44,36
ENCA10,ENCA,10,C,22.222,703.68,3:42,8
ENCA11,ENCA,11,C,11.491,527.76,4:26,7
ENCA12,ENCA,12,T,5.308,263.88,2:30,7
ENCA14,ENCA,14,T,9.761,175.92,2:40,7
ERFA1,ERFA,1,C,23.456,564.59,3:26,30
ERFA2,ERFA,2,T,22.282,608.02,3:38,43
ERFA3,ERFA,3,T,20.992,477.73,2:30,17
ERFA4,ERFA,4,C,17.533,434.3,2:00,25
ERFA5,ERFA,5,T,10.943,477.73,4:05,22
ERFA6,ERFA,6,C,27.674,390.87,4:09,45
ERFA7,ERFA,7,C,10.366,955.46,4:25,36
ERFA8,ERFA,8,T,14.982,1042.32,3:30,18
ERFA9,ERFA,9,C,25.013,825.17,4:55,23
ERFA10,ERFA,10,T,4.186,477.73,2:43,36
ERFA11,ERFA,11,T,18.28,651.45,2:51,26
ERFA12,ERFA,12,T,10.856,651.45,2:44,23
ERFA13,ERFA,13,T,5.252,304.01,2:13,16
ERPA1,ERPA,1,T,9.669,542.24,2:58,10
ERPA2,ERPA,2,C,NA,610.02,3:52,6
ERPA3,ERPA,3,T,9.576,542.24,2:28,16
ERPA4,ERPA,4,C,23.779,847.25,3:29,19
ERPA5,ERPA,5,T,36.256,813.36,2:30,11
ERPA6,ERPA,6,C,NA,305.01,1:20,12
ERPA7,ERPA,7,T,13.662,1152.26,4:25,29
ERPA8,ERPA,8,C,9.854,982.81,2:12,18
ERPA9,ERPA,9,T,16.545,610.02,2:55,3
ERPA10,ERPA,10,C,12.456,847.25,3:17,17
ERPA11,ERPA,11,T,6.26,508.35,2:39,16
ERPA12,ERPA,12,T,9.333,643.91,2:40,14
ERPA13,ERPA,13,T,10.743,948.92,4:02,28
ISME1,ISME,1,T,6.356,876.96,3:44,12
ISME2,ISME,2,T,NA,779.52,3:40,18
