Sample,sp,plant,treat,flower,diameter,height,complexity,sample_g,vaccum,vac_sec,vac_min,abun_comp,plant_g,vac_g_min,dens_g_min
ARCA1,ARCA,1,C,N,0.87,1.01,11,7.827,2:28,148,2.466666667,17,791,320.6756757,0.053013064
ARCA2,ARCA,2,T,N,0.91,1.37,9,4.998,3:47,227,3.783333333,15,678,179.2070485,0.083702065
ARCA3,ARCA,3,T,N,1.29,1.45,8,4.544,3:03,183,3.05,45,678,222.295082,0.202433628
ARCA4,ARCA,4,T,N,0.7,1.31,7,5.932,3:49,229,3.816666667,20,791,207.2489083,0.096502318
ARCA5,ARCA,5,C,N,0.78,0.92,10,8.675,3:36,216,3.6,18,565,156.9444444,0.114690265
ARCA6,ARCA,6,T,N,0.64,0.95,10,9.91,3:33,213,3.55,34,904,254.6478873,0.133517699
ARCA7,ARCA,7,T,N,0.75,0.9,12,7.983,3:23,203,3.383333333,20,1017,300.591133,0.066535562
ARCA8,ARCA,8,C,N,0.73,1.06,11,6.868,3:45,225,3.75,27,791,210.9333333,0.128002528
ARCA9,ARCA,9,T,N,1,1.25,6,3.209,2:42,162,2.7,21,791,292.962963,0.071681416
ARCA10,ARCA,10,C,N,0.9,1.2,7,4.444,3:30,210,3.5,42,1130,322.8571429,0.130088496
ARCA11,ARCA,11,T,N,0.99,1.04,12,6.899,3:58,238,3.966666667,43,1130,284.8739496,0.150943953
ARCA14,ARCA,14,C,N,0.6,0.73,6,8,1:32,92,1.533333333,34,565,368.4782609,0.092271386
ARDO1,ARDO,1,T,N,0.6,1.11,3,8.113,1:58,118,1.966666667,52,418.68,212.8881356,0.244259737
ARDO3,ARDO,3,T,N,0.51,1,8,8,2:05,125,2.083333333,47,418.68,200.9664,0.23386994
ARDO4,ARDO,4,T,N,0.74,0.82,2,NA,2:12,132,2.2,49,558.24,253.7454545,0.193106907
ARDO5,ARDO,5,T,N,0.56,0.84,3,1.611,2:19,139,2.316666667,19,348.9,150.6043165,0.126158403
ARDO6,ARDO,6,T,N,0.74,0.87,3,2.023,1:56,116,1.933333333,20,488.46,252.6517241,0.079160354
ARDO7,ARDO,7,T,N,0.6,0.68,2,1.766,1:58,134,2.233333333,17,418.68,187.4686567,0.090681825
