"Sample","sp","Order","value","feed","ID","size"
"ARDO11","ARDO","LEPI",1,"herb","14","S"
"ERFA9","ERFA","LEPI",2,"herb","14","L"
"LUAL12","LUAL","LEPI",1,"herb","14","L"
"SAAP12","SAAP","LEPI",1,"herb","14","L"
"SAAP2","SAAP","LEPI",1,"herb","14","L"
"SAAP5","SAAP","LEPI",1,"herb","14","L"
"ARDO1","ARDO","LEPID",1,"herb","14","L"
"ARDO3","ARDO","LEPID",2,"herb","14","L"
"SAAP11","SAAP","LEPID",1,"herb","14","L"
"ARCA5","ARCA","HYME",1,"pred","2","L"
"ARCA7","ARCA","HYME",1,"pred","2","L"
"ARDO13","ARDO","HYME",1,"pred","2","S"
"ENCA1","ENCA","HYME",1,"pred","2","L"
"ENCA1","ENCA","HYME",3,"pred","2","S"
"ENCA11","ENCA","HYME",1,"pred","2","S"
"ENCA3","ENCA","HYME",1,"pred","2","L"
"ENCA6","ENCA","HYME",1,"pred","2","L"
"ENCA6","ENCA","HYME",1,"pred","2","S"
"ENCA8","ENCA","HYME",2,"pred","2","L"
"ENCA8","ENCA","HYME",2,"pred","2","S"
"ENCA9","ENCA","HYME",4,"pred","2","S"
"ERFA11","ERFA","HYME",1,"pred","2","L"
"ERFA13","ERFA","HYME",2,"pred","2","S"
"ERFA2","ERFA","HYME",6,"pred","2","S"
"ERFA5","ERFA","HYME",5,"pred","2","S"
"ERFA6","ERFA","HYME",2,"pred","2","L"
"ERFA9","ERFA","HYME",1,"pred","2","L"
"ERFA9","ERFA","HYME",1,"pred","2","S"
"ERPA10","ERPA","HYME",1,"pred","2","S"
"ERPA3","ERPA","HYME",3,"pred","2","S"
"ERPA3.1","ERPA","HYME",1,"pred","2","L"
"ERPA3.1","ERPA","HYME",9,"pred","2","S"
"ISME7","ISME","HYME",1,"pred","2","S"
"ISME8","ISME","HYME",2,"pred","2","S"
"LUAL11","LUAL","HYME",1,"pred","2","S"
"LUAL2","LUAL","HYME",1,"pred","2","S"
"LUAL6.2","LUAL","HYME",1,"pred","2","L"
"SAAP1","SAAP","HYME",1,"pred","2","S"
"SAAP10","SAAP","HYME",1,"pred","2","S"
"SAAP11","SAAP","HYME",1,"pred","2","S"
"SAAP15","SAAP","HYME",6,"pred","2","S"
"SAAP3","SAAP","HYME",14,"pred","2","S"
"SAAP6","SAAP","HYME",1,"pred","2","S"
"SAAP7","SAAP","HYME",1,"pred","2","S"
"SAME10","SAME","HYME",3,"pred","2","L"
"SAME4","SAME","HYME",5,"pred","2","L"
"SAME7","SAME","HYME",1,"pred","2","S"
"ARCA11","ARCA","HEMI",8,"herb","5","L"
"ARCA11","ARCA","HEMI",10,"herb","5","S"
"ARCA14","ARCA","HEMI",5,"herb","5","L"
"ARCA14","ARCA","HEMI",1,"herb","5","L"
"ARCA14","ARCA","HEMI",2,"herb","5","S"
"ARCA2","ARCA","HEMI",4,"herb","5","L"
"ARCA2","ARCA","HEMI",1,"herb","5","S"
"ARCA4","ARCA","HEMI",1,"herb","5","L"
"ARCA4","ARCA","HEMI",7,"herb","5","S"
"ARCA5","ARCA","HEMI",1,"herb","5","L"
"ARCA5","ARCA","HEMI",1,"herb","5","S"
"ARCA6","ARCA","HEMI",7,"herb","5","L"
"ARCA6","ARCA","HEMI",10,"herb","5","S"
"ARCA7","ARCA","HEMI",3,"herb","5","L"
"ARCA9","ARCA","HEMI",8,"herb","5","L"
"ARCAC2","ARCA","HEMI",5,"herb","5","L"
"ARCAC2","ARCA","HEMI",1,"herb","5","S"
"ARDO1","ARDO","HEMI",4,"herb","5","L"
"ARDO1","ARDO","HEMI",7,"herb","5","S"
"ARDO10","ARDO","HEMI",17,"herb","5","S"
"ARDO11","ARDO","HEMI",4,"herb","5","L"
"ARDO11","ARDO","HEMI",7,"herb","5","S"
"ARDO13","ARDO","HEMI",1,"herb","5","L"
"ARDO3","ARDO","HEMI",6,"herb","5","L"
"ARDO3","ARDO","HEMI",7,"herb","5","S"
"ARDO6","ARDO","HEMI",1,"herb","5","L"
"ARDO6","ARDO","HEMI",3,"herb","5","S"
"ARDO7","ARDO","HEMI",2,"herb","5","L"
"ARDO7","ARDO","HEMI",4,"herb","5","S"
"ARDO8","ARDO","HEMI",8,"herb","5","L"
"ARDO8","ARDO","HEMI",10,"herb","5","S"
"ENCA1","ENCA","HEMI",1,"herb","5","L"
"ENCA1","ENCA","HEMI",1,"herb","5","S"
"ENCA3","ENCA","HEMI",4,"herb","5","S"
"ENCA4","ENCA","HEMI",19,"herb","5","S"
"ENCA5","ENCA","HEMI",6,"herb","5","S"
"ENCA6","ENCA","HEMI",7,"herb","5","L"
"ENCA6","ENCA","HEMI",1,"herb","5","S"
"ENCA7","ENCA","HEMI",2,"herb","5","S"
"ENCA8","ENCA","HEMI",1,"herb","5","S"
"ENCA9","ENCA","HEMI",7,"herb","5","S"
"ENCAX","ENCA","HEMI",1,"herb","5","S"
"ERFA10","ERFA","HEMI",1,"herb","5","L"
"ERFA10","ERFA","HEMI",2,"herb","5","S"
"ERFA11","ERFA","HEMI",3,"herb","5","L"
"ERFA11","ERFA","HEMI",2,"herb","5","S"
"ERFA12","ERFA","HEMI",6,"herb","5","L"
"ERFA13","ERFA","HEMI",1,"herb","5","L"
"ERFA3","ERFA","HEMI",1,"herb","5","S"
"ERFA4","ERFA","HEMI",8,"herb","5","S"
"ERFA5","ERFA","HEMI",2,"herb","5","S"
"ERFA6","ERFA","HEMI",1,"herb","5","L"
"ERFA6","ERFA","HEMI",5,"herb","5","S"
"ERFA7","ERFA","HEMI",2,"herb","5","S"
"ERFA9","ERFA","HEMI",1,"herb","5","L"
"ERPA1","ERPA","HEMI",1,"herb","5","L"
"ERPA10","ERPA","HEMI",8,"herb","5","L"
