"name","rank","id","sps"
"Fabales","order","72025","Lupinus albifrons"
"Fabaceae","family","3803","Lupinus albifrons"
"Papilionoideae","subfamily","3814","Lupinus albifrons"
"Genisteae","tribe","163729","Lupinus albifrons"
"Lupinus","genus","3869","Lupinus albifrons"
"Lupinus albifrons","species","49830","Lupinus albifrons"
"Asterales","order","4209","Isocoma menziesii"
"Asteraceae","family","4210","Isocoma menziesii"
"Asteroideae","subfamily","102804","Isocoma menziesii"
"Astereae","tribe","102809","Isocoma menziesii"
"Isocoma","genus","71058","Isocoma menziesii"
"Isocoma menziesii","species","147781","Isocoma menziesii"
"Asterales","order","4209","Ericameria palmeri"
"Asteraceae","family","4210","Ericameria palmeri"
"Asteroideae","subfamily","102804","Ericameria palmeri"
"Astereae","tribe","102809","Ericameria palmeri"
"Ericameria","genus","71042","Ericameria palmeri"
"Ericameria palmeri","species","217972","Ericameria palmeri"
"Lamiales","order","4143","Salvia mellifera"
"Lamiaceae","family","4136","Salvia mellifera"
"Nepetoideae","subfamily","216706","Salvia mellifera"
"Mentheae","tribe","216718","Salvia mellifera"
"Salvia","genus","21880","Salvia mellifera"
"Salvia mellifera","species","392671","Salvia mellifera"
"Lamiales","order","4143","Salvia apiana"
"Lamiaceae","family","4136","Salvia apiana"
"Nepetoideae","subfamily","216706","Salvia apiana"
"Mentheae","tribe","216718","Salvia apiana"
"Salvia","genus","21880","Salvia apiana"
"Salvia apiana","species","392646","Salvia apiana"
"Caryophyllales","order","3524","Eriogonum fasciculatum"
"Polygonaceae","family","3615","Eriogonum fasciculatum"
"Eriogonoideae","subfamily","1110379","Eriogonum fasciculatum"
"Eriogoneae","tribe","1861780","Eriogonum fasciculatum"
"Eriogonum","genus","63080","Eriogonum fasciculatum"
"Eriogonum fasciculatum","species","429205","Eriogonum fasciculatum"
"Asterales","order","4209","Encelia californica"
"Asteraceae","family","4210","Encelia californica"
"Asteroideae","subfamily","102804","Encelia californica"
"Heliantheae","tribe","102814","Encelia californica"
"Encelia","genus","183025","Encelia californica"
"Encelia californica","species","183026","Encelia californica"
"Asterales","order","4209","Artemisia douglasiana"
"Asteraceae","family","4210","Artemisia douglasiana"
"Asteroideae","subfamily","102804","Artemisia douglasiana"
"Anthemideae","tribe","102810","Artemisia douglasiana"
"Artemisia","genus","4219","Artemisia douglasiana"
"Artemisia douglasiana","species","1227621","Artemisia douglasiana"
"Asterales","order","4209","Artemisia californica"
"Asteraceae","family","4210","Artemisia californica"
"Asteroideae","subfamily","102804","Artemisia californica"
"Anthemideae","tribe","102810","Artemisia californica"
"Artemisia","genus","4219","Artemisia californica"
"Artemisia californica","species","86309","Artemisia californica"
