Sample,sp,plant,treat,treatw,herb,omni,pred,herb_om,flower,diameter,height,complexity,sample_g,vaccum,total_abun,plant_g,plant_kg,plant_vol,arth_mg,vac_min,kg_min,mean_kg_min,kg_vac,abun_kg,mg_kg
ARCA1,ARCA,1,C,C,0.5446,0.0015,6.24679793,0.5461,N,0.87,1.01,11,7.827,2:44,17,791,0.791,0.600412549,6.79289793,2.733333333,0.289390244,0.24768664,0.677010148,25.11040646,10.03367224
ARCA10,ARCA,10,C,C,7.242380673,0,4.678706309,7.242380673,N,0.9,1.2,7,4.444,3:30,42,1130,1.13,0.763407015,11.88558698,3.5,0.322857143,0.24768664,0.866903238,48.44831365,13.71039633
ARCA11,ARCA,11,T,T,15.2560571,0,10.75026264,15.2560571,N,0.99,1.04,12,6.899,3:58,43,1130,1.13,0.80055949,26.00631973,3.966666667,0.28487395,0.24768664,0.982490337,43.76633376,26.46979696
ARCA14,ARCA,14,C,C,5.263333479,0,27.57847632,5.263333479,N,0.6,0.73,6,8,3:55,34,791,0.791,0.206402637,32.8418098,3.2,0.1765625,0.24768664,0.792597247,42.89694437,41.43568495
ARCA2,ARCA,2,T,T,13.79500686,0,0,13.79500686,N,0.91,1.37,9,4.998,3:24,15,678,0.678,0.89103186,13.79500686,3.4,0.199411765,0.24768664,0.842134575,17.81188002,16.38100047
ARCA3,ARCA,3,T,T,10.30941662,0,0.2659,10.30941662,N,1.29,1.45,8,4.544,3:03,45,678,0.678,1.895122571,10.55401662,3.05,0.222295082,0.24768664,0.755444251,59.56759875,13.97060949
ARCA4,ARCA,4,T,T,6.969194753,1.416092542,5.140104466,8.385287296,N,0.7,1.31,7,5.932,3:02,20,791,0.791,0.504147081,13.52539176,3.033333333,0.260769231,0.24768664,0.75131614,26.61995255,18.00226435
ARCA5,ARCA,5,C,C,4.773933479,0,24.36722409,4.773933479,N,0.78,0.92,10,8.675,3:45,18,791,0.791,0.439609343,29.14115757,3.6,0.156944444,0.24768664,0.891671902,20.18679735,32.68148014
ARCA6,ARCA,6,T,T,17.22565757,0,7.634956699,17.22565757,N,0.64,0.95,10,9.91,3:33,34,904,0.904,0.305614133,24.86061427,3.55,0.254647887,0.24768664,0.87928757,38.66766817,28.27358774
ARCA7,ARCA,7,T,T,6.437881997,0,6.399312794,6.437881997,N,0.75,0.9,12,7.983,3:23,20,1017,1.017,0.39760782,12.83719479,3.383333333,0.300591133,0.24768664,0.838006464,23.86616436,15.31873004
ARCA8,ARCA,8,C,C,5.212600287,5.66437017,5.048306309,10.87697046,N,0.73,1.06,11,6.868,3:45,27,791,0.791,0.443651002,15.92527677,3.75,0.210933333,0.24768664,0.928824898,29.06898819,17.14561786
ARCA9,ARCA,9,T,T,7.794820613,0,0.3716,7.794820613,N,1,1.25,6,3.209,2:42,21,791,0.791,0.981747704,8.166420613,2.7,0.292962963,0.24768664,0.668753927,31.40168477,12.21139837
ARDO1,ARDO,1,T,T,15.47592359,0,5.169005387,15.47592359,N,0.6,1.11,3,8.113,2:21,52,418.68,0.41868,0.313845106,20.64492898,1.966666667,0.212888136,0.199642747,0.392630735,132.439963,52.58103133
ARDO10,ARDO,10,C,C,10.39872523,1.416092542,5.192005387,11.81481778,N,0.72,0.83,3,1.098,2:40,26,418.68,0.41868,0.337934839,17.00682316,2.016666667,0.207609917,0.199642747,0.402612872,64.57816375,42.24113119
ARDO11,ARDO,11,C,C,3.964096394,0,5.064605387,3.964096394,N,0.55,0.74,6,3.533,2:35,25,348.9,0.3489,0.175811379,9.028701781,2.35,0.148468085,0.199642747,0.469160455,53.28667358,19.24437939
ARDO12,ARDO,12,T,T,7.153944411,0,8.224518442,7.153944411,N,0.48,0.78,8,NA,2:31,42,279.12,0.27912,0.141145475,20.03453392,2.216666667,0.125918797,0.199642747,0.442541422,94.90637021,45.27154508
ARDO13,ARDO,13,C,C,3.662247377,0,4.807277627,3.662247377,N,0.54,0.73,5,2.379,3:02,21,348.9,0.3489,0.167186136,18.3447966,2.566666667,0.108748052,0.199642747,0.512416383,40.98229623,35.80056612
ARDO3,ARDO,3,T,T,11.43459529,0,2.994652233,11.43459529,N,0.51,1,8,8,2:33,47,418.68,0.41868,0.204282062,32.18084385,2.083333333,0.2009664,0.199642747,0.415922389,113.0018515,77.3722327
ARDO4,ARDO,4,T,T,15.89512784,0.0341,5.140104466,15.92922784,N,0.74,0.82,2,NA,2:45,49,558.24,0.55824,0.352668908,21.0693323,2.2,0.253745455,0.199642747,0.439214043,111.5629175,47.97053431
ARDO5,ARDO,5,T,T,0.868357798,0,6.372094753,0.868357798,N,0.56,0.84,3,1.611,2:03,19,348.9,0.3489,0.206892726,7.001294753,1.9,0.183631579,0.199642747,0.379321219,50.08947317,18.45742977
ARDO6,ARDO,6,T,T,3.536040337,0,7.506958542,3.536040337,N,0.74,0.87,3,2.023,2:18,20,418.68,0.41868,0.37417311,11.04299888,1.933333333,0.252651724,0.199642747,0.385975977,51.81669638,28.610586
ARDO7,ARDO,7,T,T,2.096243901,0,8.922050163,2.096243901,N,0.6,0.68,2,1.766,1:55,17,418.68,0.41868,0.19226547,11.01829406,1.966666667,0.212888136,0.199642747,0.392630735,43.2976802,28.06273956
ARDO8,ARDO,8,C,C,15.3563362,0,1.520492542,15.3563362,N,0.75,0.79,3,3.522,2:56,26,628.02,0.62802,0.349011309,18.42885243,2.5,0.251208,0.199642747,0.499106867,52.09305209,36.92366037
ARDO9,ARDO,9,C,C,2.150483658,0,6.940659463,2.150483658,Y,0.81,0.77,4,NA,2:55,29,628.02,0.62802,0.396780796,9.091143121,2.65,0.236988679,0.199642747,0.529053279,54.81489516,17.18379507
ENCA1,ENCA,1,T,T,0.1408,1.416092542,4.362576843,1.556892542,Y,0.6,0.98,6,NA,2:45,9,219.9,0.2199,0.277088472,5.919469385,2.75,0.079963636,0.166850364,0.458838502,19.61474453,12.90098664
ENCA10,ENCA,10,C,C,0.2065,1.416092542,0,1.622592542,Y,1.35,0.85,12,22.222,3:42,6,703.68,0.70368,1.21667993,1.622592542,3.7,0.190183784,0.166850364,0.617346348,9.719017558,2.628334234
ENCA11,ENCA,11,C,C,0.656,0,0.1636,0.656,N,1.19,1.54,6,11.491,3:56,17,527.76,0.52776,1.712791602,0.8196,3.933333333,0.134176271,0.166850364,0.6562781,25.90365273,1.24886081
ENCA12,ENCA,12,T,T,2.925450739,0,4.960205387,2.925450739,N,0.91,1.37,4,5.308,2:30,16,263.88,0.26388,0.89103186,7.885656127,2.5,0.105552,0.166850364,0.417125911,38.35772263,18.90473815
ENCA14,ENCA,14,T,T,0.4036,0,0,0.4036,N,1.03,1.52,5,9.761,1:33,7,175.92,0.17592,1.266507946,0.4036,1.55,0.113496774,0.166850364,0.258618065,27.06694137,1.560602505
ENCA2,ENCA,2,C,C,0.0548,0,8.939350163,0.0548,N,1.64,1.12,8,6.545,3:28,7,703.68,0.70368,2.365895728,8.994150163,3.466666667,0.202984615,0.166850364,0.578414597,12.1020459,15.54965973
ENCA3,ENCA,3,T,T,6.796294753,2.900385085,7.091924219,9.696679838,Y,1.24,0.95,10,NA,4:00,22,615.72,0.61572,1.147246805,16.78860406,4,0.15393,0.166850364,0.667401458,32.96366789,25.15518039
ENCA4,ENCA,4,C,C,20.83518244,0,2.384753154,20.83518244,Y,1.2,0.94,12,11.47,3:38,40,615.72,0.61572,1.063114954,23.21993559,3.633333333,0.16946422,0.166850364,0.606222991,65.98232104,38.30263112
ENCA5,ENCA,5,C,C,11.66276582,1.416092542,3.321852233,13.07885836,N,0.81,1,15,4.747,2:58,25,439.8,0.4398,0.515299735,16.40071059,2.966666667,0.148247191,0.166850364,0.494989415,50.50613057,33.13345722
ENCA6,ENCA,6,C,T,0.819357798,0.0682,4.960205387,0.887557798,N,1.19,1.21,8,17.766,3:57,17,527.76,0.52776,1.34576483,5.608605387,3.95,0.133610127,0.166850364,0.65905894,25.79435462,8.510020956
ENCA7,ENCA,7,T,C,8.698589533,0,1.920223688,8.698589533,N,1.24,0.91,7,17.998,3:15,21,659.7,0.6597,1.098941677,10.61881322,3.25,0.202984615,0.166850364,0.542263684,38.72654689,19.58237943
ENCA8,ENCA,8,T,T,20.41869519,1.450192542,18.20493318,21.86888773,Y,1.23,0.9,7,NA,3:14,33,791.64,0.79164,1.069405993,40.07382091,3.233333333,0.244837113,0.166850364,0.539482845,61.16969298,74.28191884
ENCA9,ENCA,9,T,T,15.79172413,0,11.84590014,15.79172413,Y,1.3,0.81,10,NA,2:44,29,791.64,0.79164,1.075131546,27.63762427,2.733333333,0.28962439,0.166850364,0.456057663,63.58845025,60.60116192
ERFA1,ERFA,1,C,C,3.680795358,1.450192542,5.274538239,5.1309879,Y,1.43,0.9,14,23.456,3:26,30,564.59,0.56459,1.445454634,10.40552614,3.433333333,0.164443689,0.187846158,0.644938476,46.51606491,16.13413765
