"Sample","sp","plant","treat","treatw","herb","omni","pred","herb_om","flower","diameter","height","complexity","sample_g","vaccum","total_abun","plant_g","plant_kg","plant_vol","arth_mg","vac_min","kg_min","mean_kg_min","kg_vac","abun_kg","mg_kg","herb_kg","ho_kg","pred_kg","po_kg"
"ARCA1","ARCA",1,"C","C",0.5446,0.0015,6.24679793,0.5461,"N",0.87,1.01,11,7.827,"2:44",17,791,0.791,0.600412549,6.79289793,2.73333333333333,0.289390243902439,0.254301959212396,0.695092021847215,24.4571933868875,9.14196137269671,0.732929040723953,0.734947758243391,8.40701361445332,8.40903233197276
"ARCA10","ARCA",10,"C","C",7.242380673,0,4.678706309,7.242380673,"N",0.9,1.2,7,4.444,"3:30",42,1130,1.13,0.763407015,11.88558698,3.5,0.322857142857143,0.254301959212396,0.890056857243385,47.1879966523477,11.767576677242,7.17047210530808,7.17047210530808,4.63225209946285,4.63225209946285
"ARCA11","ARCA",11,"T","T",15.2560571,0,10.75026264,15.2560571,"N",0.99,1.04,12,6.899,"3:58",43,1130,1.13,0.80055949,26.00631973,3.96666666666667,0.284873949579832,0.254301959212396,1.00873110487584,42.6278121019107,24.3193916904386,14.2664564659106,14.2664564659106,10.0529352338793,10.0529352338793
"ARCA14","ARCA",14,"C","C",5.263333479,0,27.57847632,5.263333479,"N",0.6,0.73,6,8,"3:55",34,791,0.791,0.206402637,32.8418098,3.91666666666667,0.201957446808511,0.254301959212396,0.996016006915217,34.1359975782941,36.7560331557323,5.89063943314718,5.89063943314718,30.8653937214659,30.8653937214659
"ARCA2","ARCA",2,"T","T",13.79500686,0,0,13.79500686,"N",0.91,1.37,9,4.998,"3:24",15,678,0.678,0.89103186,13.79500686,3.4,0.199411764705882,0.254301959212396,0.864626661322146,17.3485281810102,17.8850880849896,17.8850880849896,17.8850880849896,0,0
"ARCA3","ARCA",3,"T","T",10.30941662,0,0.2659,10.30941662,"N",1.29,1.45,8,4.544,"3:03",45,678,0.678,1.895122571,10.55401662,3.05,0.222295081967213,0.254301959212396,0.775620975597807,58.0180286709193,14.5210021005092,14.1844632033604,14.1844632033604,0.36584502351536,0.36584502351536
"ARCA4","ARCA",4,"T","T",6.969194753,1.416092542,5.140104466,8.385287296,"N",0.7,1.31,7,5.932,"3:02",20,791,0.791,0.504147081,13.52539176,3.03333333333333,0.260769230769231,0.254301959212396,0.771382609610934,25.9274706881031,17.3138022361477,8.92123953521919,10.7339741807394,6.57982805796846,8.39256270220856
"ARCA5","ARCA",5,"C","C",4.773933479,0,24.36722409,4.773933479,"N",0.78,0.92,10,8.675,"3:45",18,791,0.791,0.439609343,29.14115757,3.75,0.210933333333333,0.254301959212396,0.953632347046484,18.8751986609391,33.406645955331,5.47271003782759,5.47271003782759,27.933935916357,27.933935916357
"ARCA6","ARCA",6,"T","T",17.22565757,0,7.634956699,17.22565757,"N",0.64,0.95,10,9.91,"3:33",34,904,0.904,0.305614133,24.86061427,3.55,0.254647887323944,0.254301959212396,0.902771955204005,37.6617813657235,27.5193714385421,19.0678823859152,19.0678823859152,8.45148905151998,8.45148905151998
"ARCA7","ARCA",7,"T","T",6.437881997,0,6.399312794,6.437881997,"N",0.75,0.9,12,7.983,"3:23",20,1017,1.017,0.39760782,12.83719479,3.38333333333333,0.300591133004926,0.254301959212396,0.860388295335273,23.2453185479545,13.675588392552,6.85833827024078,6.85833827024078,6.81725012337651,6.81725012337651
