"Sample","sp","plant","treat","flower","diameter","height","complexity","sample_g","vaccum","total_abun","plant_g","plant_kg","plant_vol","arth_mg","vac_min","kg_min","mean_kg_min","kg_vac","abun_kg","mg_kg","group"
"ARCA6","ARCA",6,"T","N",0.64,0.95,10,9.91,"3:33",34,904,0.904,0.305614133,24.86061427,3.55,0.254647887323944,0.256181852113033,0.909445575001269,37.3854147346339,27.4180980258893,"DD"
"ARCA2","ARCA",2,"T","N",0.91,1.37,9,4.998,"3:24",15,678,0.678,0.89103186,13.79500686,3.4,0.199411764705882,0.256181852113033,0.871018297184314,17.2212226178136,17.8112897505155,"DD"
"ARCA3","ARCA",3,"T","N",1.29,1.45,8,4.544,"3:03",45,678,0.678,1.895122571,10.55401662,3.05,0.222295081967213,0.256181852113033,0.781354648944752,57.5922854759668,14.4639503874285,"DD"
"ARCA7","ARCA",7,"T","N",0.75,0.9,12,7.983,"3:23",20,1017,1.017,0.39760782,12.83719479,3.38333333333333,0.300591133004926,0.256181852113033,0.866748599649096,23.0747416356911,13.6294140230722,"DD"
"ARDO5","ARDO",5,"T","N",0.56,0.84,3,1.611,"1:45",19,348.9,0.3489,0.206892726,7.001294753,1.75,0.199371428571429,0.201351418716065,0.352364982753114,53.9213625926967,19.9676154526166,"DD"
"ARDO6","ARDO",6,"T","N",0.74,0.87,3,2.023,"1:56",20,418.68,0.41868,0.37417311,11.04299888,1.93333333333333,0.216558620689655,0.201351418716065,0.389279409517726,51.3769788768889,27.3355288642324,"DD"
"ARDO1","ARDO",1,"T","N",0.6,1.11,3,8.113,"1:58",52,418.68,0.41868,0.313845106,20.64492898,1.96666666666667,0.21288813559322,0.201351418716065,0.395991123474928,131.316074824319,50.6828544307311,"DD"
"ARDO4","ARDO",4,"T","N",0.74,0.82,2,NA,"2:12",49,558.24,0.55824,0.352668908,21.0693323,2.2,0.253745454545454,0.201351418716065,0.442973121175344,110.61619240009,42.0876072324468,"DD"
"ENCA8","ENCA",8,"T","Y",1.23,0.9,7,NA,"3:14",33,791.64,0.79164,1.069405993,40.07382091,3.23333333333333,0.244837113402062,0.16685036443997,0.539482845022568,61.1696929836935,60.2105524067098,"DD"
"ENCA1","ENCA",1,"T","Y",0.6,0.98,6,NA,"2:45",9,219.9,0.2199,0.277088472,5.919469385,2.75,0.0799636363636364,0.16685036443997,0.458838502209916,19.6147445270025,17.4425625354292,"DD"
"ENCA9","ENCA",9,"T","Y",1.3,0.81,10,NA,"2:44",29,791.64,0.79164,1.075131546,27.63762427,2.73333333333333,0.289624390243902,0.16685036443997,0.456057662802584,63.588450245059,44.3017969720649,"DD"
"ENCA3","ENCA",3,"T","Y",1.24,0.95,10,NA,"4:00",22,615.72,0.61572,1.147246805,16.78860406,4,0.15393,0.16685036443997,0.667401457759878,32.963667885657,26.168378618358,"DD"
"ERFA11","ERFA",11,"T","Y",1.14,0.71,20,18.28,"2:51",31,651.45,0.65145,0.724699452,18.02261676,2.85,0.228578947368421,0.187846157959359,0.535361550184173,57.9047934789779,30.3714886448538,"DD"
"ERFA8","ERFA",8,"T","Y",1.51,0.66,30,14.982,"3:21",28,1042.32,1.04232,1.181918993,5.908515481,3.35,0.311140298507463,0.187846157959359,0.629284629163853,44.4949688938125,7.06927389158461,"DD"
"ERFA12","ERFA",12,"T","Y",1.2,0.8,14,10.856,"2:44",26,651.45,0.65145,0.904778684,13.72525815,2.73333333333333,0.238335365853659,0.187846157959359,0.513446165088915,50.6382202611203,23.5647752329108,"DD"
"ERFA10","ERFA",10,"T","Y",1.31,0.65,21,4.186,"2:43",30,651.45,0.65145,0.876084162,10.32665189,2.71666666666667,0.23979754601227,0.187846157959359,0.510315395789592,58.7871740643492,17.7775167472285,"DD"
"ERPA5","ERPA",5,"T","Y",1.18,0.72,31,36.256,"2:30",23,813.36,0.81336,0.78738365,14.72375739,2.5,0.325344,0.249828130350752,0.624570325876881,36.8253166170016,20.4790971092721,"DD"
"ERPA11","ERPA",11,"T","Y",1.31,0.7,18,6.26,"2:39",8,508.35,0.50835,0.943475252,0.658,2.65,0.191830188679245,0.249828130350752,0.662044545429494,12.0837790375723,1.12440715409954,"DD"
"ERPA9","ERPA",9,"T","Y",0.96,1.14,16,16.545,"2:55",3,610.02,0.61002,0.82515816,0.123,2.91666666666667,0.209149714285714,0.249828130350752,0.728665380189695,4.1171161435157,0.18376237138344,"DD"
"ERPA1","ERPA",1,"T","Y",1.14,1.12,30,9.669,"2:58",6,542.24,0.54224,1.143187868,2.83929472,2.96666666666667,0.182777528089888,0.249828130350752,0.741156786707232,8.09545309118256,4.42465611478533,"DD"
"ISME3","ISME",3,"T","N",0.49,0.61,14,4.863,"2:08",10,876.96,0.87696,0.1150302,14.7134466,2.13333333333333,0.411075,0.317122166653728,0.676527288861287,14.7813697461217,18.9424744000127,"DD"
"ISME8","ISME",8,"T","N",0.77,0.8,11,7.682,"3:47",27,1364.16,1.36416,0.372530057,23.33973164,3.78333333333333,0.360570925110132,0.317122166653728,1.19977886383994,22.5041470672232,18.2061530164918,"DD"
"ISME6","ISME",6,"T","N",0.66,0.91,14,8.878,"3:18",29,584.64,0.58464,0.31132869,18.22092299,3.3,0.177163636363636,0.317122166653728,1.0465031499573,27.7113356048505,22.3412923512899,"DD"
"ISME1","ISME",1,"T","N",0.64,0.93,17,6.356,"3:44",9,682.08,0.68208,0.299180152,7.670123298,3.73333333333333,0.1827,0.317122166653728,1.18392275550725,7.60184729800547,8.2209131528479,"DD"
"LUAL11","LUAL",11,"T","N",0.98,0.53,5,13.517,"3:09",41,505.52,0.50552,0.39977709,42.01758848,3.15,0.16048253968254,0.195798281157502,0.616764585646133,66.4759309373247,74.8786698443501,"DD"
"LUAL4","LUAL",4,"T","N",0.84,0.56,7,10.151,"2:42",5,505.52,0.50552,0.310339089,4.701206309,2.7,0.18722962962963,0.195798281157502,0.528655359125257,9.45795765368441,9.09170048873811,"DD"
"LUAL7","LUAL",7,"T","N",0.8,0.68,4,NA,"3:02",39,631.9,0.6319,0.341805281,14.36384616,3.03333333333333,0.208318681318681,0.195798281157502,0.593921452844424,65.6652488527232,23.4354621982994,"DD"
"LUAL12","LUAL",12,"T","N",0.81,0.7,11,5.041,"2:31",51,758.28,0.75828,0.360709815,14.97664134,2.51666666666667,0.301303311258278,0.195798281157502,0.492759007579714,103.498869052637,23.9427248059581,"DD"
"SAAP7","SAAP",7,"T","Y",0.91,0.78,8,NA,"2:40",33,860.22,0.86022,0.507302811,16.98531763,2.66666666666667,0.3225825,0.377672155124894,1.00712574699972,32.7665141103867,18.191936503768,"DD"
"SAAP9","SAAP",9,"T","N",0.87,0.8,7,3.5,"2:33",22,955.8,0.9558,0.475574296,13.71490622,2.55,0.374823529411765,0.377672155124894,0.963063995568479,22.8437571139951,14.2948184464078,"DD"
"SAAP15","SAAP",15,"T","Y",1.07,0.65,7,16.134,"4:15",38,764.64,0.76464,0.584481532,26.24188873,4.25,0.179915294117647,0.377672155124894,1.6051066592808,23.6744391908677,22.1474212251568,"DD"
"SAAP10","SAAP",10,"T","N",1.21,0.67,13,NA,"2:45",73,1529.28,1.52928,0.770433972,17.42997327,2.75,0.556101818181818,0.377672155124894,1.03859842659346,70.2870311862841,13.5753882189217,"DD"
"SAME1","SAME",1,"T","N",0.8,0.82,5,NA,"3:20",12,376.5,0.3765,0.412176956,5.154595894,3.33333333333333,0.11295,0.138480438825143,0.461601462750476,25.9964514161142,12.3006488428828,"DD"
