Date,SPECIES,Initials,Sample,plant,treat,10,10,15,15,20,20,25,25,30,30,35,35,40,40,45,45,50,50,55,55,TOTAL TIME,ABUNDANCE,L,S,SAMPLE WT,SAMPLE WT (G),VA,MULTIPLIER,PLANT WT,TOTAL PLANT WT,HEIGHT,DIAMETER,COMPLEXITY,vaccuum,flowering,,,,,,,,
,,,,,,>3mm,<3mm,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,,,,,,,BUG/SAMPLEWT,,FROM SAMPLE,,,,,,,,,,,,,,
4/7/15,ARCA,CN,ARCA1,1,C,1,6,0,0,,,,,,,,,,,,,,,,,15,7,1,6,7827,7.827,0.894340105,,,0,,,,,,,,,,,,,
3/24/15,ARCA,CN,ARCA5,5,C,0,10,0,5,0,1,0,2,0,1,0,0,,,,,,,,,35,19,0,19,8675,8.675,2.190201729,,113,0,,,,,,,,,,,,,
4/2/15,ARCA,CN,ARCA8,8,C,3,7,0,1,0,3,0,0,,,,,,,,,,,,,25,14,3,11,6868,6.868,2.038439138,,,0,,,,,,,,,,,,,
4/7/15,ARCA,CN,ARCA10,10,C,1,11,0,0,,,,,,,,,,,,,,,,,15,12,1,11,4444,4.444,2.700270027,,,0,,,,,,,,,,,,,
4/3/15,ARCA,CN,ARCA14.1,14.1,C,2,9,0,6,0,2,0,4,0,0,,,,,,,,,,,30,23,2,21,11090,11.09,2.073940487,,,0,,,,,,,,,,,,,
4/6/15,ARCA,CN,ARCA2,2,T,4,8,1,6,0,1,0,0,,,,,,,,,,,,,25,20,5,15,4998,4.998,4.00160064,,,0,,,,,,,,,,,,,
3/16/15,ARCA,CN,ARCA3,3,T,1,5,1,3,2,2,1,1,0,5,0,4,0,2,0,3,0,0,,,50,30,5,25,4544,4.544,6.602112676,,113,0,,,,,,,,,,,,,
4/7/15,ARCA,CN,ARCA4,4,T,3,8,2,2,0,3,0,0,,,,,,,,,,,,,25,18,5,13,5932,5.932,3.034389751,,,0,,,,,,,,,,,,,
3/16/15,ARCA,CN,ARCA6,6,T,5,10,0,3,0,2,1,3,0,3,2,3,0,0,,,,,,,40,32,8,24,9910,9.91,3.229061554,,113,0,,,,,,,,,,,,,
3/16/15,ARCA,CN,ARCA7,7,T,5,4,0,1,0,0,,,,,,,,,,,,,,,20,10,5,5,7983,7.983,1.252661907,,113,0,,,,,,,,,,,,,
3/16/15,ARCA,CN,ARCA9,9,T,1,3,0,1,0,0,,,,,,,,,,,,,,,20,5,1,4,3209,3.209,1.558117794,,113,0,,,,,,,,,,,,,
3/24/15,ARCA,CN,ARCA11,11,T,2,7,2,4,0,3,0,2,0,3,0,2,0,1,0,0,,,,,45,26,4,22,6899,6.899,3.768662125,,113,0,,,,,,,,,,,,,
3/25/15,ARDO,CN,ARDO8,8,C,1,12,0,0,,,,,,,,,,,,,,,,,15,13,1,12,3522,3.522,3.691084611,,69.78,0,,,,,,,,,,,,,
,ARDO,CN,ARDO9,9,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/15,ARDO,CN,ARDO10,10,C,1,23,0,0,,,,,,,,,,,,,,,,,15,24,1,23,1098,1.098,21.8579235,,69.78,0,,,,,,,,,,,,,
3/16/15,ARDO,CN,ARDO11,11,C,2,21,0,2,0,0,,,,,,,,,,,,,,,20,25,2,23,3533,3.533,7.076139258,,69.78,0,,,,,,,,,,,,,
3/16/15,ARDO,CN,ARDO13,13,C,4,12,0,0,,,,,,,,,,,,,,,,,15,16,4,12,2379,2.379,6.725514922,,69.78,0,,,,,,,,,,,,,
3/16/15,ARDO,CN,ARDO1,1,T,3,19,1,4,0,2,0,2,0,1,0,0,,,,,,,,,35,32,4,28,8113,8.113,3.944286947,,69.78,0,,,,,,,,,,,,,
3/16/15,ARDO,CN,ARDO3,3,T,2,20,0,5,0,3,0,1,0,0,,,,,,,,,,,30,31,2,29,8000,8,3.875,,,,,,,,,,,,,,,,
4/14/15,ARDO,CN,ARDO5,5,T,2,5,0,0,,,,,,,,,,,,,,,,,15,7,2,5,1611,1.611,4.34512725,,,0,,,,,,,,,,,,,
4/14/15,ARDO,CN,ARDO6,6,T,2,7,0,0,,,,,,,,,,,,,,,,,15,9,2,7,2023,2.023,4.448838359,,,0,,,,,,,,,,,,,
4/14/15,ARDO,CN,ARDO7,7,T,2,6,0,0,,,,,,,,,,,,,,,,,15,8,2,6,1766,1.766,4.530011325,,,0,,,,,,,,,,,,,
3/16/15,ARDO,CN,ARDO12,12,T,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,,,,,,,,,,,,,,
3/30/15,ENCA,CN,ENCA2,2,C,0,10,0,0,,,,,,,,,,,,,,,,,15,10,0,10,6545,6.545,1.527883881,,43.98,0,,,,,,,,,,,,,
3/16/15,ENCA,CN,ENCA4,4,C,1,29,0,2,0,0,,,,,,,,,,,,,,,20,32,1,31,11470,11.47,2.789886661,,43.98,0,,,,,,,,,,,,,
3/16/15,ENCA,CN,ENCA5,5,C,2,24,0,0,,,,,,,,,,,,,,,,,15,26,2,24,4747,4.747,5.477143459,,43.98,0,,,,,,,,,,,,,
2/17/15,ENCA,CN,ENCA7,7,C,5,9,0,2,0,0,,,,,,,,,,,,,,,20,16,5,11,17998,17.998,0.888987665,,43.98,0,,,,,,,,,,,,,
3/16/15,ENCA,AT,ENCA10,10,C,0,8,0,0,,,,,,,,,,,,,,,,,15,8,0,8,22222,22.222,0.3600036,,43.98,0,,,,,,,,,,,,,
4/2/15,ENCA,CN,ENCA11,11,C,1,6,0,0,,,,,,,,,,,,,,,,,15,7,1,6,11491,11.491,0.609172396,,,0,,,,,,,,,,,,,
2/17/15,ENCA,CN,ENCA1,1,T,1,7,0,0,0,0,,,,,,,,,,,,,,,20,8,1,7,,0,#DIV/0!,,43.98,0,,,,,,,,,,,,,
2/18/15,ENCA,AT,ENCA3,3,T,0,12,0,2,0,0,,,,,,,,,,,,,,,20,14,0,14,,0,#DIV/0!,,43.98,0,,,,,,,,,,,,,
4/2/15,ENCA,CN,ENCA6,6,T,1,2,0,3,0,4,0,1,0,0,,,,,,,,,,,30,11,1,10,17766,17.766,0.619160194,,,0,,,,,,,,,,,,,
2/17/15,ENCA,CN,ENCA8,8,T,9,17,0,4,0,3,0,3,0,0,,,,,,,,,,,30,36,9,27,,0,#DIV/0!,,43.98,0,,,,,,,,,,,,,
2/18/15,ENCA,AT,ENCA9,9,T,0,8,0,3,0,5,0,5,0,8,1,6,0,0,,,,,,,40,36,1,35,,0,#DIV/0!,,43.98,0,,,,,,,,,,,,,
3/24/15,ENCA,CN,ENCA12,12,T,2,4,0,1,0,0,,,,,,,,,,,,,,,20,7,2,5,5308,5.308,1.31876413,,43.98,0,,,,,,,,,,,,,
4/2/15,ENCA,CN,ENCA14,14,T,0,4,0,3,0,0,,,,,,,,,,,,,,,20,7,0,7,9761,9.761,0.717139637,,,0,,,,,,,,,,,,,
3/30/15,ERFA,CN,ERFA1,1,C,3,7,2,4,0,5,0,3,0,5,0,1,0,0,,,,,,,40,30,5,25,23456,23.456,1.27899045,,43.43,0,,,,,,,,,,,,,
4/3/15,ERFA,CN,ERFA4,4,C,3,8,1,6,0,6,0,1,0,0,,,,,,,,,,,30,25,4,21,17533,17.533,1.425882621,,,0,,,,,,,,,,,,,
4/2/15,ERFA,CN,ERFA6,6,C,2,9,0,7,0,6,0,5,1,3,1,3,1,3,1,0,1,2,0,0,55,45,7,38,27674,27.674,1.626075016,,,0,,,,,,,,,,,,,
3/16/15,ERFA,CN,ERFA7,7,C,3,11,2,2,2,2,0,2,0,4,0,4,1,3,0,0,,,,,45,36,8,28,10366,10.366,3.472892147,,43.43,0,,,,,,,,,,,,,
4/6/15,ERFA,CN,ERFA9,9,C,1,8,1,5,2,5,0,1,0,0,,,,,,,,,,,30,23,4,19,25013,25.013,0.919521849,,,0,,,,,,,,,,,,,
4/2/15,ERFA,CN,ERFA2,2,T,4,12,0,8,2,5,0,6,0,2,0,3,0,1,0,0,,,,,45,43,6,37,22282,22.282,1.929808814,,,0,,,,,,,,,,,,,
4/3/15,ERFA,CN,ERFA3,3,T,1,5,0,6,1,4,0,0,,,,,,,,,,,,,25,17,2,15,20992,20.992,0.809832317,,,0,,,,,,,,,,,,,
3/16/15,ERFA,CN,ERFA5,5,T,2,14,0,4,0,2,0,0,,,,,,,,,,,,,30,22,2,20,10943,10.943,2.010417619,,43.43,0,,,,,,,,,,,,,
4/6/15,ERFA,CN,ERFA8,8,T,4,7,1,3,2,1,0,0,,,,,,,,,,,,,25,18,7,11,14982,14.982,1.20144173,,,0,,,,,,,,,,,,,
3/16/15,ERFA,CN,ERFA10,10,T,0,10,0,6,1,2,1,4,0,2,0,7,0,3,0,0,,,,,45,36,2,34,4186,4.186,8.600095557,,43.43,0,,,,,,,,,,,,,
3/24/15,ERFA,CN,ERFA11,11,T,2,16,0,2,0,3,0,3,0,0,,,,,,,,,,,30,26,2,24,18280,18.28,1.422319475,,43.43,0,,,,,,,,,,,,,
