"species","iter","p","sum","n","observed"
"SAME","R2",0.308,308,1000,0.00334491575467094
"SAME","Q2",0.817,817,1000,-0.00594674678950741
"SAME","P2",0.486,486,1000,0.000365047781543688
"SAME","O2",0.486,486,1000,0.000737026162302038
"SAME","N2",0.873,873,1000,-0.00644039369944021
"SAME","M2",0.516,516,1000,-0.000436675264265413
"SAME","L2",0.238,238,1000,0.00587511930678569
"SAME","K2",0.164,164,1000,0.00624709768754404
"SAME","J2",0.544,544,1000,-0.000930322174198209
"SAME","I2",0.708,708,1000,-0.00341654323739266
"SAME","H2",0.651,651,1000,-0.00304456485663431
"SAME","G2",0.964,964,1000,-0.0102219847183766
"SAME","F2",0.372,372,1000,0.00326722971441679
"SAME","E2",0.764,764,1000,-0.00391019014732546
"SAME","D2",0.72,720,1000,-0.00353821176656711
"SAME","C2",0.165,165,1000,0.00609472733372651
"SAME","B2",0.043,43,1000,0.0124065219047776
"SAME","A2",0.025,25,1000,0.012778500285536
"SAME","Z1",0.227,227,1000,0.00560108042379371
"SAME","Y1",0.347,347,1000,0.00311485936059926
"SAME","X1",0.287,287,1000,0.00348683774135761
"SAME","W1",0.733,733,1000,-0.00369058212038464
"SAME","V1",0.082,82,1000,0.00979863231240871
"SAME","U1",0.401,401,1000,0.00262121245066646
"SAME","T1",0.367,367,1000,0.00299319083142481
"SAME","S1",0.11,110,1000,0.00862493088584126
"SAME","R1",0.085,85,1000,0.00899690926659961
"SAME","Q1",0.418,418,1000,0.00181948940485736
"SAME","P1",0.011,11,1000,0.0153087038376507
"SAME","O1",0.128,128,1000,0.00813128397590846
"SAME","N1",0.123,123,1000,0.00850326235666681
"SAME","M1",0.175,175,1000,0.00601704129347236
"SAME","L1",0.59,590,1000,-0.00116037856826989
"SAME","K1",0.563,563,1000,-0.000788400187511539
"SAME","J1",0.239,239,1000,0.00552339438353956
"SAME","I1",0.791,791,1000,-0.00552339438353956
"SAME","H1",0.447,447,1000,0.000788400187511539
"SAME","G1",0.431,431,1000,0.00116037856826989
"SAME","F1",0.812,812,1000,-0.00601704129347236
"SAME","E1",0.91,910,1000,-0.00850326235666681
"SAME","D1",0.882,882,1000,-0.00813128397590846
"SAME","C1",1,1000,1000,-0.0153087038376507
