"species","Sample","treat","Order","feed","name","length","Taxa","a","b","biomass"
"ARCA","ARCA14","C","ACAR","pred","ACARINA",0.5,"ACARINA",0.053,2.494,0.0094082112503502
"ARDO","ARDO7","T","ACAR","pred","ACARINA",0.5,"ACARINA",0.053,2.494,0.0094082112503502
"ERFA","ERFA12","T","ACAR","pred","ACARINA",0.5,"ACARINA",0.053,2.494,0.0094082112503502
"ERFA","ERFA4","C","ACAR","pred","ACARINA",0.5,"ACARINA",0.053,2.494,0.0094082112503502
"ERFA","ERFA4","C","ACAR","pred","ACARINA",0.5,"ACARINA",0.053,2.494,0.0094082112503502
"LUAL","LUAL7","T","ACAR","pred","ACARINA",0.5,"ACARINA",0.053,2.494,0.0094082112503502
"SAAP","SAAP6","C","ACAR","pred","ACARINA",0.5,"ACARINA",0.053,2.494,0.0094082112503502
"ENCA","ENCA4","C","ACAR","pred","ACARINA",1,"ACARINA",0.053,2.494,0.053
"ERFA","ERFA10","T","ACAR","pred","ACARINA",1,"ACARINA",0.053,2.494,0.053
"ERFA","ERFA12","T","ACAR","pred","ACARINA",1,"ACARINA",0.053,2.494,0.053
"ERFA","ERFA12","T","ACAR","pred","ACARINA",1,"ACARINA",0.053,2.494,0.053
"ERFA","ERFA4","C","ACAR","pred","ACARINA",1,"ACARINA",0.053,2.494,0.053
"LUAL","LUAL10","T","ACAR","pred","ACARINA",1,"ACARINA",0.053,2.494,0.053
"LUAL","LUAL12","T","ACAR","pred","ACARINA",1,"ACARINA",0.053,2.494,0.053
"LUAL","LUAL12","T","ACAR","pred","ACARINA",1,"ACARINA",0.053,2.494,0.053
"SAAP","SAAP7","T","ACAR","pred","ACARINA",1,"ACARINA",0.053,2.494,0.053
"ARCA","ARCA10","C","ACAR","pred","ACARINA",1.5,"ACARINA",0.053,2.494,0.145695946678408
"ENCA","ENCA4","C","ACAR","pred","ACARINA",1.5,"ACARINA",0.053,2.494,0.145695946678408
"ERFA","ERFA10","T","ACAR","pred","ACARINA",1.5,"ACARINA",0.053,2.494,0.145695946678408
"ERFA","ERFA12","T","ACAR","pred","ACARINA",1.5,"ACARINA",0.053,2.494,0.145695946678408
"ERPA","ERPA11","T","ACAR","pred","ACARINA",1.5,"ACARINA",0.053,2.494,0.145695946678408
"LUAL","LUAL12","T","ACAR","pred","ACARINA",1.5,"ACARINA",0.053,2.494,0.145695946678408
"LUAL","LUAL13","T","ACAR","pred","ACARINA",1.5,"ACARINA",0.053,2.494,0.145695946678408
"LUAL","LUAL7","T","ACAR","pred","ACARINA",1.5,"ACARINA",0.053,2.494,0.145695946678408
"SAAP","SAAP7","T","ACAR","pred","ACARINA",1.5,"ACARINA",0.053,2.494,0.145695946678408
"LUAL","LUAL12","T","ACAR","pred","ACARINA",2,"ACARINA",0.053,2.494,0.298568976105361
"SAAP","SAAP15","T","ACAR","pred","ACARINA",2,"ACARINA",0.053,2.494,0.298568976105361
"SAAP","SAAP7","T","ACAR","pred","ACARINA",2,"ACARINA",0.053,2.494,0.298568976105361
"SAME","SAME10","T","ACAR","pred","ACARINA",2,"ACARINA",0.053,2.494,0.298568976105361
"ARCA","ARCA14","C","ARAN","pred","ARANEAE",1,"ARANEAE",0.1044,2.296,0.1044
"ERPA","ERPA5","T","ARAN","pred","ARANEAE",1,"ARANEAE",0.1044,2.296,0.1044
