species,Sample,treat,Order,feed,name,length
ARCA,ARCA1,C,ARAN,pred,ARANEAE,4.5
ARCA,ARCA1,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA1,C,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA1,C,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA1,C,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA1,C,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA1,C,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA1,C,DERM,omni,DERMAPTERA,2.5
ARCA,ARCA1,C,DIPT,herb,DIPTERA,1.5
ARCA,ARCA1,C,DIPT,herb,DIPTERA,2
ARCA,ARCA1,C,DIPT,herb,DIPTERA,2
ARCA,ARCA1,C,DIPT,herb,DIPTERA,2.5
ARCA,ARCA1,C,DIPT,herb,DIPTERA,3
ARCA,ARCA1,C,HETE,omni,HETEROPTERA,2.5
ARCA,ARCA1,C,HETE,omni,HETEROPTERA,5.5
ARCA,ARCA1,C,HYME,pred,HYMENOPTERA,6
ARCA,ARCA1,C,HETE,herb,STERNORRHYNCHA,2
ARCA,ARCA10,C,ACAR,pred,ACARINA,1.5
ARCA,ARCA10,C,ARCH,herb,ARCHAEOGNATHA,2.5
ARCA,ARCA10,C,ARCH,herb,ARCHAEOGNATHA,2.5
ARCA,ARCA10,C,ARCH,herb,ARCHAEOGNATHA,3
ARCA,ARCA10,C,ARCH,herb,ARCHAEOGNATHA,3
ARCA,ARCA10,C,ARCH,herb,ARCHAEOGNATHA,4
ARCA,ARCA10,C,COLE,herb,COLEOPTERA,1.5
ARCA,ARCA10,C,COLE,herb,COLEOPTERA,2
ARCA,ARCA10,C,COLE,herb,COLEOPTERA,2.5
ARCA,ARCA10,C,COLE,herb,COLEOPTERA,3
ARCA,ARCA10,C,COLE,herb,COLEOPTERA,3
ARCA,ARCA10,C,COLE,herb,COLEOPTERA,3
ARCA,ARCA10,C,HETE,omni,HETEROPTERA,0.5
ARCA,ARCA10,C,HETE,omni,HETEROPTERA,1.5
ARCA,ARCA10,C,HYME,pred,HYMENOPTERA,2
ARCA,ARCA10,C,HYME,pred,HYMENOPTERA,3.5
ARCA,ARCA10,C,PSOC,herb,PSOCOPTERA,1
ARCA,ARCA10,C,PSOC,herb,PSOCOPTERA,1.5
ARCA,ARCA10,C,PSOC,herb,PSOCOPTERA,1.5
ARCA,ARCA10,C,PSOC,herb,PSOCOPTERA,2
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,2
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,2
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA10,C,HETE,herb,STERNORRHYNCHA,2.5
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,3
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,3
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,3
ARCA,ARCA10,C,STER,herb,STERNORRHYNCHA,3.5
ARCA,ARCA11,T,ARAN,pred,ARANEAE,3
ARCA,ARCA11,T,ARAN,pred,ARANEAE,6.5
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,1.5
