"species","Var1","calc","variable","value"
"ARCA","A","DD","A","ARCA11"
"ARCA","B","DD","A","ARCA11"
"ARCA","C","DD","A","ARCA11"
"ARCA","D","DD","A","ARCA11"
"ARCA","E","DD","A","ARCA11"
"ARCA","F","DD","A","ARCA11"
"ARCA","G","DD","A","ARCA11"
"ARCA","H","DD","A","ARCA11"
"ARCA","I","DD","A","ARCA11"
"ARCA","J","DD","A","ARCA11"
"ARCA","K","DD","A","ARCA11"
"ARCA","L","DD","A","ARCA11"
"ARCA","M","DD","A","ARCA11"
"ARCA","N","DD","A","ARCA11"
"ARCA","O","DD","A","ARCA11"
"ARCA","P","DD","A","ARCA11"
"ARCA","R","DD","A","ARCA11"
"ARCA","U","DD","A","ARCA2"
"ARCA","V","DD","A","ARCA2"
"ARCA","W","DD","A","ARCA2"
"ARCA","X","DD","A","ARCA2"
"ARCA","Y","DD","A","ARCA2"
"ARCA","Z","DD","A","ARCA2"
"ARCA","A1","DD","A","ARCA2"
"ARCA","B1","DD","A","ARCA2"
"ARCA","C1","DD","A","ARCA2"
"ARCA","D1","DD","A","ARCA2"
"ARCA","E1","DD","A","ARCA3"
"ARCA","F1","DD","A","ARCA3"
"ARCA","G1","DD","A","ARCA3"
"ARCA","H1","DD","A","ARCA3"
"ARCA","I1","DD","A","ARCA4"
"ARDO","A","DD","A","ARDO1"
"ARDO","B","DD","A","ARDO1"
"ARDO","C","DD","A","ARDO1"
"ARDO","D","DD","A","ARDO1"
"ARDO","E","DD","A","ARDO1"
"ARDO","F","DD","A","ARDO1"
"ARDO","G","DD","A","ARDO1"
"ARDO","H","DD","A","ARDO1"
"ARDO","I","DD","A","ARDO1"
"ARDO","J","DD","A","ARDO1"
"ARDO","K","DD","A","ARDO1"
"ARDO","L","DD","A","ARDO1"
"ARDO","M","DD","A","ARDO1"
"ARDO","N","DD","A","ARDO1"
"ARDO","O","DD","A","ARDO1"
"ARDO","P","DD","A","ARDO1"
"ARDO","Q","DD","A","ARDO1"
"ARDO","R","DD","A","ARDO1"
"ARDO","S","DD","A","ARDO1"
"ARDO","T","DD","A","ARDO1"
"ARDO","U","DD","A","ARDO12"
"ARDO","V","DD","A","ARDO12"
"ARDO","W","DD","A","ARDO12"
"ARDO","X","DD","A","ARDO12"
"ARDO","Y","DD","A","ARDO12"
"ARDO","Z","DD","A","ARDO12"
"ARDO","A1","DD","A","ARDO12"
"ARDO","B1","DD","A","ARDO12"
"ARDO","C1","DD","A","ARDO12"
"ARDO","D1","DD","A","ARDO12"
"ARDO","E1","DD","A","ARDO3"
"ARDO","F1","DD","A","ARDO3"
"ARDO","G1","DD","A","ARDO3"
"ENCA","A","DD","A","ENCA1"
"ENCA","B","DD","A","ENCA1"
"ENCA","C","DD","A","ENCA1"
"ENCA","D","DD","A","ENCA1"
"ENCA","E","DD","A","ENCA1"
"ENCA","F","DD","A","ENCA1"
"ENCA","G","DD","A","ENCA1"
"ENCA","H","DD","A","ENCA1"
"ENCA","I","DD","A","ENCA1"
"ENCA","J","DD","A","ENCA1"
"ENCA","K","DD","A","ENCA1"
"ENCA","L","DD","A","ENCA1"
"ENCA","M","DD","A","ENCA1"
"ENCA","N","DD","A","ENCA1"
"ENCA","O","DD","A","ENCA1"
"ENCA","P","DD","A","ENCA1"
"ENCA","Q","DD","A","ENCA1"
"ENCA","R","DD","A","ENCA1"
"ENCA","S","DD","A","ENCA1"
"ENCA","T","DD","A","ENCA1"
"ENCA","V","DD","A","ENCA12"
"ENCA","W","DD","A","ENCA12"
"ENCA","Y","DD","A","ENCA12"
"ENCA","Z","DD","A","ENCA12"
"ENCA","A1","DD","A","ENCA12"
"ENCA","B1","DD","A","ENCA12"
"ENCA","C1","DD","A","ENCA12"
"ENCA","D1","DD","A","ENCA12"
"ENCA","F1","DD","A","ENCA14"
"ENCA","G1","DD","A","ENCA14"
"ENCA","H1","DD","A","ENCA14"
"ENCA","I1","DD","A","ENCA3"
"ERFA","A","DD","A","ERFA10"
"ERFA","B","DD","A","ERFA10"
"ERFA","C","DD","A","ERFA10"
"ERFA","D","DD","A","ERFA10"
"ERFA","E","DD","A","ERFA10"
"ERFA","F","DD","A","ERFA10"
"ERFA","G","DD","A","ERFA10"
"ERFA","H","DD","A","ERFA10"
"ERFA","I","DD","A","ERFA10"
"ERFA","J","DD","A","ERFA10"
"ERFA","K","DD","A","ERFA10"
"ERFA","L","DD","A","ERFA10"
"ERFA","M","DD","A","ERFA10"
"ERFA","N","DD","A","ERFA10"
"ERFA","O","DD","A","ERFA10"
"ERFA","P","DD","A","ERFA10"
"ERFA","Q","DD","A","ERFA10"
"ERFA","R","DD","A","ERFA10"
"ERFA","S","DD","A","ERFA10"
"ERFA","T","DD","A","ERFA10"
"ERFA","U","DD","A","ERFA10"
"ERFA","V","DD","A","ERFA10"
"ERFA","W","DD","A","ERFA10"
"ERFA","X","DD","A","ERFA10"
