species,Sample,treat,pred_abun,pred_mg,herb_abun,herb_mg,omni_abun,omni_mg,total_abun,total_mg,sample_g,plant_g,vaccum,vac_sec,vac_min,flower,diameter,height,complexity
ARCA,ARCA1,C,2,8.223177955,12,3.248858319,3,3.770392529,17,15.2424288,7.827,791,2:28,148,2.466666667,N,0.87,1.01,11
ARCA,ARCA10,C,3,2.524396184,37,8.569624194,2,0.106703196,42,11.20072357,4.444,904,3:30,210,3.5,N,0.9,1.2,7
ARCA,ARCA11,T,3,10.23933596,33,14.18291836,0,0,36,24.42225432,6.899,1130,3:58,238,3.966666667,N,0.99,1.04,12
ARCA,ARCA14,C,13,12.99178001,29,8.319700453,1,5.222344071,43,26.53382453,8,565,1:32,92,1.533333333,N,0.6,0.73,6
ARCA,ARCA2,T,0,0,19,27.19188683,0,0,19,27.19188683,4.998,678,3:47,227,3.783333333,N,0.91,1.37,9
ARCA,ARCA3,T,1,2.278753154,39,13.59223854,3,0.422570249,43,16.29356194,4.544,678,3:03,183,3.05,N,1.29,1.45,8
ARCA,ARCA4,T,3,10.12549298,16,12.78416992,1,0.653516131,20,23.56317903,5.932,791,3:49,229,3.816666667,N,0.7,1.31,7
ARCA,ARCA5,C,7,8.588510699,17,6.992970056,1,0.400329065,25,15.98180982,8.675,565,3:36,216,3.6,N,0.78,0.92,10
ARCA,ARCA6,T,2,4.533499308,26,11.8457999,0,0,28,16.37929921,9.91,904,3:33,213,3.55,N,0.64,0.95,10
ARCA,ARCA7,T,6,16.09585254,14,11.21422233,0,0,20,27.31007487,7.983,1017,3:23,203,3.383333333,N,0.75,0.9,12
ARCA,ARCA8,C,5,7.101446929,21,8.320519406,0,0,26,15.42196634,6.868,791,3:45,225,3.75,N,0.73,1.06,11
ARCA,ARCA9,T,4,1.545424744,17,12.29060614,0,0,21,13.83603088,3.209,791,2:42,162,2.7,N,1,1.25,6
ARDO,ARDO1,T,5,9.741932945,47,36.94953685,0,0,52,46.69146979,8.113,279.12,1:58,118,1.966666667,N,0.6,1.11,3
ARDO,ARDO10,C,4,4.485837578,20,16.47553039,2,0.439494053,26,21.40086203,1.098,418.68,2:01,121,2.016666667,N,0.72,0.83,3
ARDO,ARDO11,C,4,3.277587596,21,13.98314131,0,0,25,17.2607289,3.533,488.46,2:21,141,2.35,N,0.55,0.74,6
ARDO,ARDO12,T,0,0,38,18.85664885,4,0.94123473,42,19.79788358,NA,348.9,2:57,177,2.95,N,0.48,0.78,8
ARDO,ARDO13,C,3,2.283259389,13,9.112093135,5,3.647998736,21,15.04335126,2.379,488.46,2:40,160,2.666666667,N,0.54,0.73,5
ARDO,ARDO3,T,5,4.580438828,42,32.47827913,0,0,47,37.05871796,8,418.68,2:05,125,2.083333333,N,0.51,1,8
ARDO,ARDO4,T,3,10.66562314,46,20.68175857,0,0,49,31.3473817,NA,558.24,2:12,132,2.2,N,0.74,0.82,2
ARDO,ARDO5,T,0,0,16,6.257983215,0,0,16,6.257983215,1.611,279.12,2:19,139,2.316666667,N,0.56,0.84,3
ARDO,ARDO6,T,6,5.24212527,14,4.212676404,0,0,20,9.454801674,2.023,418.68,1:56,116,1.933333333,N,0.74,0.87,3
ARDO,ARDO7,T,3,11.97215044,10,4.250750178,1,1.943522693,14,18.16642331,1.766,348.9,2:14,134,2.233333333,N,0.6,0.68,2
ARDO,ARDO8,C,1,0.264853691,24,15.58192596,1,0.0341,26,15.88087965,3.522,279.12,2:30,150,2.5,N,0.75,0.79,3
ARDO,ARDO9,C,4,12.00560078,24,6.907197889,0,0,28,18.91279867,NA,279.12,2:51,171,2.85,Y,0.81,0.77,4
ENCA,ENCA1,T,4,7.744622841,17,8.42361428,0,0,21,16.16823712,NA,219.9,2:58,178,2.966666667,Y,0.6,0.98,6
ENCA,ENCA10,C,0,0,6,1.147335091,0,0,6,1.147335091,22.222,703.68,3:42,222,3.7,Y,1.35,0.85,12
ENCA,ENCA11,C,1,0.61057679,16,6.045149414,0,0,17,6.655726204,11.491,527.76,4:26,266,4.433333333,N,1.19,1.54,6
ENCA,ENCA12,T,3,11.47353385,14,4.945702205,0,0,17,16.41923605,5.308,263.88,2:30,150,2.5,N,0.91,1.37,4
ENCA,ENCA14,T,0,0,7,2.035322782,0,0,7,2.035322782,9.761,175.92,2:40,160,2.666666667,N,1.03,1.52,5
ENCA,ENCA2,C,5,4.08171411,12,3.485646843,1,0.653516131,18,8.220877084,6.545,703.68,4:28,268,4.466666667,N,1.64,1.12,8
ENCA,ENCA3,T,1,2.850277047,18,12.0235452,3,0.1023,22,14.97612225,NA,615.72,4:00,240,4,Y,1.24,0.95,10
ENCA,ENCA4,C,3,2.477449101,33,15.86368442,0,0,36,18.34113352,11.47,615.72,3:38,218,3.633333333,Y,1.2,0.94,12
ENCA,ENCA5,C,3,2.344614079,21,9.953955633,0,0,24,12.29856971,4.747,439.8,2:58,178,2.966666667,N,0.81,1,15
ENCA,ENCA6,T,3,10.76359073,14,4.856613531,0,0,17,15.62020426,17.766,527.76,4:45,285,4.75,N,1.19,1.21,8
ENCA,ENCA7,C,2,3.087332684,19,16.2762655,0,0,21,19.36359818,17.998,659.7,3:15,195,3.25,N,1.24,0.91,7
ENCA,ENCA8,T,3,6.471946884,19,21.90703706,4,4.684978996,26,33.06396294,NA,791.64,4:44,284,4.733333333,Y,1.23,0.9,7
ENCA,ENCA9,T,6,7.157706785,21,28.30095902,2,0.0682,29,35.52686581,NA,791.64,4:44,284,4.733333333,Y,1.3,0.81,10
ERFA,ERFA1,C,2,5.106204368,26,7.490764022,2,7.027014963,30,19.62398335,23.456,564.59,3:26,206,3.433333333,Y,1.43,0.9,14
ERFA,ERFA10,T,9,14.69137821,23,9.41523577,1,0.653516131,33,24.76013011,4.186,477.73,2:43,163,2.716666667,Y,1.31,0.65,21
ERFA,ERFA11,T,4,5.241827027,17,4.822251196,10,0.341,31,10.40507822,18.28,651.45,2:51,171,2.85,Y,1.14,0.71,20
ERFA,ERFA12,T,6,3.433336047,26,7.199269105,2,0.321158638,34,10.95376379,10.856,651.45,2:44,164,2.733333333,Y,1.2,0.8,14
ERFA,ERFA13,T,5,4.553655688,15,4.132820551,0,0,20,8.686476239,5.252,304.01,2:13,133,2.216666667,Y,1.09,0.77,14
ERFA,ERFA2,T,8,12.20635872,11,3.060869672,26,0.8866,45,16.15382839,22.282,608.02,3:38,218,3.633333333,Y,1.27,0.85,16
ERFA,ERFA3,T,0,0,14,1.608923314,3,0.974674769,17,2.583598082,20.992,477.73,2:30,150,2.5,Y,1.19,0.55,24
ERFA,ERFA4,C,6,1.81947935,19,5.755642224,3,0.236923223,28,7.812044796,17.533,434.3,2:00,120,2,Y,1.24,0.57,25
ERFA,ERFA5,C,6,6.371842503,19,4.625745547,0,0,25,10.99758805,NA,608.02,NA,NA,NA,Y,0.99,0.63,16
ERFA,ERFA6,T,3,4.787953177,20,7.470166457,5,4.668055192,28,16.92617483,NA,477.73,NA,NA,NA,Y,1.3,0.71,18
ERFA,ERFA7,C,4,3.722013307,24,6.750290548,2,1.816421608,30,12.28872546,10.366,955.46,4:25,265,4.416666667,Y,1.56,0.87,35
ERFA,ERFA8,T,1,2.278753154,27,5.329279831,0,0,28,7.608032986,14.982,1042.32,3:30,210,3.5,Y,1.51,0.66,30
ERFA,ERFA9,C,7,5.006186551,10,4.335743236,11,2.356520368,28,11.69845016,25.013,825.17,4:55,295,4.916666667,Y,1.6,0.79,24
ERPA,ERPA1,T,1,0.932973516,5,7.379068984,1,0.653516131,7,8.965558631,9.669,542.24,2:58,178,2.966666667,Y,1.14,1.12,30
ERPA,ERPA10,C,3,3.957627709,10,4.050507637,1,0.005291585,14,8.013426931,12.456,847.25,3:17,197,3.283333333,N,1.21,1.01,25
ERPA,ERPA11,T,3,1.268975158,13,1.127324633,0,0,16,2.396299791,6.26,508.35,2:39,159,2.65,Y,1.31,0.7,18
ERPA,ERPA12,T,4,3.795733058,11,5.310107626,3,0.540905665,18,9.646746348,9.333,643.91,2:40,160,2.666666667,N,0.87,0.88,11
ERPA,ERPA13,T,2,1.788770514,25,7.521104163,0,0,27,9.309874677,10.743,948.92,4:02,242,4.033333333,N,1.3,0.89,15
ERPA,ERPA2,C,0,0,6,2.36830184,0,0,6,2.36830184,NA,610.02,3:52,232,3.866666667,Y,1.22,1.03,18
ERPA,ERPA3,T,6,8.132833165,17,22.44763875,0,0,23,30.58047191,9.576,542.24,2:28,148,2.466666667,Y,1,0.85,25
ERPA,ERPA4,C,3,2.764885174,17,12.53143167,0,0,20,15.29631684,23.779,847.25,3:29,209,3.483333333,N,1.3,0.8,30
ERPA,ERPA5,T,10,13.54528689,29,6.733350754,0,0,39,20.27863765,36.256,813.36,2:30,150,2.5,Y,1.18,0.72,31
