species,sample,treat,plant_g,comp,arth_mg,arth_abun,herb_mg,herb_abun,herb_mg_dens,herb_abun_dens,pred_herb,var
ARCA,ARCA1,C,791,11,15.26462589,17,7.041447938,15,0.008901957,0.018963338,0.133333333,C
ARCA,ARCA10,C,904,7,10.6080982,42,8.083702011,39,0.008942148,0.043141593,0.076923077,C
ARCA,ARCA14,C,565,6,26.45825226,43,13.46647226,30,0.023834464,0.053097345,0.433333333,C
ARCA,ARCA5,C,565,10,15.98180982,25,7.393299121,18,0.013085485,0.031858407,0.388888889,C
ARCA,ARCA8,C,791,11,15.42196634,26,8.320519406,21,0.010518988,0.026548673,0.238095238,C
ARCA,ARCA3,T,678,8,16.00933729,43,13.73058413,42,0.020251599,0.061946903,0.023809524,DD
ARCA,ARCA4,T,791,7,23.56317903,20,13.43768605,17,0.016988225,0.021491783,0.176470588,DD
ARCA,ARCA7,T,1017,12,27.31007487,20,11.21422233,14,0.011026767,0.013765978,0.428571429,DD
ARCA,ARCA11,T,1130,12,24.36557512,36,14.12623916,33,0.012501097,0.02920354,0.090909091,ID
ARCA,ARCA2,T,678,9,27.19188683,19,27.19188683,19,0.040106028,0.028023599,0,ID
ARCA,ARCA6,T,904,10,16.37929921,28,11.8457999,26,0.013103761,0.028761062,0.076923077,ID
ARCA,ARCA9,T,791,6,13.83603088,21,12.29060614,17,0.015538061,0.021491783,0.235294118,ID
ARDO,ARDO10,C,418.68,3,21.40086203,26,16.91502445,22,0.040400842,0.052546097,0.181818182,C
ARDO,ARDO11,C,348.9,6,17.2607289,25,13.98314131,21,0.040077791,0.060189166,0.19047619,C
ARDO,ARDO13,C,279.12,5,15.04335126,21,12.76009187,18,0.045715434,0.064488392,0.166666667,C
ARDO,ARDO8,C,628.02,3,15.88087965,26,15.61602596,25,0.024865491,0.039807649,0.04,C
ARDO,ARDO9,C,628.02,4,18.91279867,28,6.907197889,24,0.010998372,0.038215343,0.166666667,C
ARDO,ARDO12,T,279.12,8,19.79788358,42,19.79788358,42,0.070929649,0.150472915,0,DD
ARDO,ARDO5,T,279.12,3,5.721497093,16,5.721497093,16,0.020498342,0.057323015,0,DD
ARDO,ARDO7,T,418.68,2,18.16642331,14,6.194272871,11,0.014794767,0.026273049,0.272727273,DD
ARDO,ARDO1,T,279.12,3,46.69146979,52,36.94953685,47,0.132378679,0.168386357,0.106382979,ID
ARDO,ARDO3,T,488.46,8,37.05871796,47,32.47827913,42,0.066491175,0.085984523,0.119047619,ID
ARDO,ARDO4,T,558.24,2,31.3473817,49,20.68175857,46,0.037048149,0.082401834,0.065217391,ID
