"species","Sample","treat","metric","herb","omni","pred","total","pred_herb","sample_g","plant_g","vaccum","vac_sec","vac_min","flower","diameter","height","complexity","herb_mg"
"ARCA","ARCA1","C","abun",12,3,2,17,0.133333333333333,7.827,791,"2:28",148,2.46666666666667,"N",0.87,1.01,11,0.0189633375474083
"ARCA","ARCA1","C","mg",3.2710554084779,3.77039252946035,8.22317795530077,15.264625893239,1.16782486042332,7.827,791,"2:28",148,2.46666666666667,"N",0.87,1.01,11,0.00890195693797503
"ARCA","ARCA10","C","abun",37,2,3,42,0.0769230769230769,4.444,904,"3:30",210,3.5,"N",0.9,1.2,7,0.043141592920354
"ARCA","ARCA10","C","mg",7.97699881512387,0.10670319602532,2.52439618437615,10.6080981955253,0.312282192106347,4.444,904,"3:30",210,3.5,"N",0.9,1.2,7,0.00894214824242167
"ARCA","ARCA11","T","abun",33,0,3,36,0.0909090909090909,6.899,1130,"3:58",238,3.96666666666667,"N",0.99,1.04,12,0.0292035398230088
"ARCA","ARCA11","T","mg",14.1262391631463,0,10.2393359589796,24.3655751221259,0.724845150979241,6.899,1130,"3:58",238,3.96666666666667,"N",0.99,1.04,12,0.0125010966045542
"ARCA","ARCA14","C","abun",29,1,13,43,0.433333333333333,8,565,"1:32",92,1.53333333333333,"N",0.6,0.73,6,0.0530973451327434
"ARCA","ARCA14","C","mg",8.24412818657919,5.22234407085637,12.9917800074608,26.4582522648963,0.964750066617283,8,565,"1:32",92,1.53333333333333,"N",0.6,0.73,6,0.0238344641724523
"ARCA","ARCA2","T","abun",19,0,0,19,0,4.998,678,"3:47",227,3.78333333333333,"N",0.91,1.37,9,0.028023598820059
"ARCA","ARCA2","T","mg",27.1918868338727,0,0,27.1918868338727,0,4.998,678,"3:47",227,3.78333333333333,"N",0.91,1.37,9,0.0401060277785733
"ARCA","ARCA3","T","abun",39,3,1,43,0.0238095238095238,4.544,678,"3:03",183,3.05,"N",1.29,1.45,8,0.0619469026548673
"ARCA","ARCA3","T","mg",13.3080138844387,0.422570249283479,2.27875315448393,16.0093372882061,0.165961850733454,4.544,678,"3:03",183,3.05,"N",1.29,1.45,8,0.0202515990172894
"ARCA","ARCA4","T","abun",16,1,3,20,0.176470588235294,5.932,791,"3:49",229,3.81666666666667,"N",0.7,1.31,7,0.0214917825537295
"ARCA","ARCA4","T","mg",12.7841699201084,0.653516130647452,10.1254929787215,23.5631790294773,0.753514625991128,5.932,791,"3:49",229,3.81666666666667,"N",0.7,1.31,7,0.0169882250957722
"ARCA","ARCA5","C","abun",17,1,7,25,0.388888888888889,8.675,565,"3:36",216,3.6,"N",0.78,0.92,10,0.031858407079646
"ARCA","ARCA5","C","mg",6.99297005592607,0.400329065064269,8.58851069890388,15.9818098198942,1.16166146646498,8.675,565,"3:36",216,3.6,"N",0.78,0.92,10,0.0130854851698944
"ARCA","ARCA6","T","abun",26,0,2,28,0.0769230769230769,9.91,904,"3:33",213,3.55,"N",0.64,0.95,10,0.0287610619469027
"ARCA","ARCA6","T","mg",11.8457998965911,0,4.53349930844509,16.3792992050362,0.382709428491164,9.91,904,"3:33",213,3.55,"N",0.64,0.95,10,0.0131037609475566
"ARCA","ARCA7","T","abun",14,0,6,20,0.428571428571429,7.983,1017,"3:23",203,3.38333333333333,"N",0.75,0.9,12,0.0137659783677483
"ARCA","ARCA7","T","mg",11.214222329973,0,16.0958525410664,27.3100748710394,1.43530706521181,7.983,1017,"3:23",203,3.38333333333333,"N",0.75,0.9,12,0.0110267672861092
"ARCA","ARCA8","C","abun",21,0,5,26,0.238095238095238,6.868,791,"3:45",225,3.75,"N",0.73,1.06,11,0.0265486725663717
"ARCA","ARCA8","C","mg",8.32051940591107,0,7.10144692942565,15.4219663353367,0.853486012469442,6.868,791,"3:45",225,3.75,"N",0.73,1.06,11,0.0105189878709369
"ARCA","ARCA9","T","abun",17,0,4,21,0.235294117647059,3.209,791,"2:42",162,2.7,"N",1,1.25,6,0.0214917825537295
"ARCA","ARCA9","T","mg",12.2906061369464,0,1.54542474433204,13.8360308812785,0.125740319648385,3.209,791,"2:42",162,2.7,"N",1,1.25,6,0.0155380608558109
"ARDO","ARDO1","T","abun",47,0,5,52,0.106382978723404,8.113,279.12,"1:58",118,1.96666666666667,"N",0.6,1.11,3,0.168386357122385
"ARDO","ARDO1","T","mg",15.337595575639,0,9.7419329445523,25.0795285201913,0.635166894087726,8.113,279.12,"1:58",118,1.96666666666667,"N",0.6,1.11,3,0.0549498265106013
"ARDO","ARDO10","C","abun",20,2,4,26,0.181818181818182,1.098,418.68,"2:01",121,2.01666666666667,"N",0.72,0.83,3,0.0525460972580491
"ARDO","ARDO10","C","mg",4.81742299199016,0.439494053196198,4.09960185766841,9.35651890285477,0.779849067890908,1.098,418.68,"2:01",121,2.01666666666667,"N",0.72,0.83,3,0.012555930651539
"ARDO","ARDO11","C","abun",21,0,4,25,0.19047619047619,3.533,488.46,"2:21",141,2.35,"N",0.55,0.74,6,0.0429922613929493
"ARDO","ARDO11","C","mg",7.9384455635845,0,3.27758759560338,11.2160331591879,0.412875237267915,3.533,488.46,"2:21",141,2.35,"N",0.55,0.74,6,0.0162519869868249
"ARDO","ARDO12","T","abun",33,9,0,42,0,NA,348.9,"2:57",177,2.95,"N",0.48,0.78,8,0.120378331900258
"ARDO","ARDO12","T","mg",15.0245466524653,2.03996986259365,0,17.064516515059,0,NA,348.9,"2:57",177,2.95,"N",0.48,0.78,8,0.0489094769706477
"ARDO","ARDO13","C","abun",13,6,2,21,0.105263157894737,2.379,488.46,"2:40",160,2.66666666666667,"N",0.54,0.73,5,0.0388977603079065
"ARDO","ARDO13","C","mg",5.88003868425034,1.90211768978535,0.964050152403302,8.74620652643898,0.123879565774308,2.379,488.46,"2:40",160,2.66666666666667,"N",0.54,0.73,5,0.0159320238587309
"ARDO","ARDO3","T","abun",35,7,5,47,0.119047619047619,8,418.68,"2:05",125,2.08333333333333,"N",0.51,1,8,0.100315276583548
"ARDO","ARDO3","T","mg",28.4323375896843,4.86070504926804,4.5804388275631,37.8734814665155,0.137579459986155,8,418.68,"2:05",125,2.08333333333333,"N",0.51,1,8,0.0795190662055803
"ARDO","ARDO4","T","abun",46,0,3,49,0.0652173913043478,NA,558.24,"2:12",132,2.2,"N",0.74,0.82,2,0.0824018343364861
"ARDO","ARDO4","T","mg",20.6817585687297,0,14.1784118636428,34.8601704323725,0.68555156064341,NA,558.24,"2:12",132,2.2,"N",0.74,0.82,2,0.0370481487688622
"ARDO","ARDO5","T","abun",16,0,0,16,0,1.611,279.12,"2:19",139,2.31666666666667,"N",0.56,0.84,3,0.057323015190599
"ARDO","ARDO5","T","mg",6.02958208405667,0,0,6.02958208405667,0,1.611,279.12,"2:19",139,2.31666666666667,"N",0.56,0.84,3,0.021602114087334
"ARDO","ARDO6","T","abun",14,0,6,20,0.428571428571429,2.023,418.68,"1:56",116,1.93333333333333,"N",0.74,0.87,3,0.0334384255278494
"ARDO","ARDO6","T","mg",4.55253701492098,0,5.49922869711506,10.051765712036,1.20794815705865,2.023,418.68,"1:56",116,1.93333333333333,"N",0.74,0.87,3,0.0108735478525866
"ARDO","ARDO7","T","abun",10,1,3,14,0.272727272727273,1.766,348.9,"2:14",134,2.23333333333333,"N",0.6,0.68,2,0.0315276583548295
"ARDO","ARDO7","T","mg",4.2507501776253,1.94352269347208,11.9721504351764,18.1664233062738,1.9327773710194,1.766,348.9,"2:14",134,2.23333333333333,"N",0.6,0.68,2,0.0177537198942315
"ARDO","ARDO8","C","abun",24,1,1,26,0.04,3.522,279.12,"2:30",150,2.5,"N",0.75,0.79,3,0.089567211235311
"ARDO","ARDO8","C","mg",15.5819259586911,0.0341,0.264853690889069,15.8808796495802,0.016960377216949,3.522,279.12,"2:30",150,2.5,"N",0.75,0.79,3,0.0559473558279275
"ARDO","ARDO9","C","abun",24,0,4,28,0.166666666666667,NA,279.12,"2:51",171,2.85,"Y",0.81,0.77,4,0.0859845227858985
"ARDO","ARDO9","C","mg",6.90719788881107,0,12.0056007788536,18.9127986676647,1.7381289738783,NA,279.12,"2:51",171,2.85,"Y",0.81,0.77,4,0.0247463380940494
"ENCA","ENCA1","T","abun",17,0,4,21,0.235294117647059,NA,219.9,"2:58",178,2.96666666666667,"Y",0.6,0.98,6,0.0773078672123693
"ENCA","ENCA1","T","mg",8.42361428011232,0,7.74462284053024,16.1682371206426,0.919394286466186,NA,219.9,"2:58",178,2.96666666666667,"Y",0.6,0.98,6,0.0383065678950083
"ENCA","ENCA10","C","abun",6,0,0,6,0,22.222,703.68,"3:42",222,3.7,"Y",1.35,0.85,12,0.00852660300136426
"ENCA","ENCA10","C","mg",1.14733509148598,0,0,1.14733509148598,0,22.222,703.68,"3:42",222,3.7,"Y",1.35,0.85,12,0.00163047847243915
"ENCA","ENCA11","C","abun",16,0,1,17,0.0625,11.491,527.76,"4:26",266,4.43333333333333,"N",1.19,1.54,6,0.0303168106715174
"ENCA","ENCA11","C","mg",6.04514941402347,0,0.610576789661687,6.65572620368515,0.101002762354439,11.491,527.76,"4:26",266,4.43333333333333,"N",1.19,1.54,6,0.011454353141624
"ENCA","ENCA12","T","abun",14,0,3,17,0.214285714285714,5.308,263.88,"2:30",150,2.5,"N",0.91,1.37,4,0.0530544186751554
"ENCA","ENCA12","T","mg",4.94570220472436,0,11.4735338485831,16.4192360533075,2.31989985924002,5.308,263.88,"2:30",150,2.5,"N",0.91,1.37,4,0.0187422396722918
"ENCA","ENCA14","T","abun",7,0,0,7,0,9.761,175.92,"2:40",160,2.66666666666667,"N",1.03,1.52,5,0.0397908140063665
"ENCA","ENCA14","T","mg",2.03532278241925,0,0,2.03532278241925,0,9.761,175.92,"2:40",160,2.66666666666667,"N",1.03,1.52,5,0.0115695928968807
"ENCA","ENCA2","C","abun",12,1,5,18,0.384615384615385,6.545,703.68,"4:28",268,4.46666666666667,"N",1.64,1.12,8,0.0184743065029559
"ENCA","ENCA2","C","mg",3.48564684315879,0.653516130647452,4.08171411018179,8.22087708398803,0.986120656763698,6.545,703.68,"4:28",268,4.46666666666667,"N",1.64,1.12,8,0.00588216657259868
"ENCA","ENCA3","T","abun",18,3,1,22,0.0476190476190476,NA,615.72,"4:00",240,4,"Y",1.24,0.95,10,0.034106412005457
"ENCA","ENCA3","T","mg",12.023545201859,0.1023,2.85027704709042,14.9761222489495,0.235058010360666,NA,615.72,"4:00",240,4,"Y",1.24,0.95,10,0.0196937653509047
"ENCA","ENCA4","C","abun",33,0,3,36,0.0909090909090909,11.47,615.72,"3:38",218,3.63333333333333,"Y",1.2,0.94,12,0.0535957902942896
"ENCA","ENCA4","C","mg",15.863684417667,0,2.47744910116234,18.3411335188293,0.156171103505014,11.47,615.72,"3:38",218,3.63333333333333,"Y",1.2,0.94,12,0.0257644455558809
"ENCA","ENCA5","C","abun",21,0,3,24,0.142857142857143,4.747,439.8,"2:58",178,2.96666666666667,"N",0.81,1,15,0.0477489768076398
"ENCA","ENCA5","C","mg",9.95395563304507,0,2.3446140794754,12.2985697125205,0.235545964429635,4.747,439.8,"2:58",178,2.96666666666667,"N",0.81,1,15,0.0226329141269783
"ENCA","ENCA6","T","abun",15,0,3,18,0.2,17.766,527.76,"4:45",285,4.75,"N",1.19,1.21,8,0.0284220100045475
"ENCA","ENCA6","T","mg",4.65374813093248,0,10.7635907287971,15.4173388597296,2.31288639306751,17.766,527.76,"4:45",285,4.75,"N",1.19,1.21,8,0.00881792506240048
"ENCA","ENCA7","C","abun",15,0,2,17,0.133333333333333,17.998,659.7,"3:15",195,3.25,"N",1.24,0.91,7,0.022737608003638
"ENCA","ENCA7","C","mg",11.2698770496149,0,3.0873326843056,14.3572097339205,0.273945551554273,17.998,659.7,"3:15",195,3.25,"N",1.24,0.91,7,0.0170833364402227
