"species","treat","comp_mean","arth_mg_mean","arth_abun_mean","herb_mg_mean","herb_abun_mean","herb_mg_dens_mean","herb_abun_dens_mean","pred_herb_mean","comp_se","arth_mg_se","arth_abun_se","herb_mg_se","herb_abun_se","herb_mg_dens_se","herb_abun_dens_se","pred_herb_se","comp_length","arth_mg_length","arth_abun_length","herb_mg_length","herb_abun_length","herb_mg_dens_length","herb_abun_dens_length","pred_herb_length"
"ARCA","C",9,16.7469505017783,30.6,8.86108814668489,24.6,0.0130566084787361,0.0347218710493047,0.254114774114774,1.04880884817015,2.61278777478963,5.10489960724009,1.17412950069438,4.38862165149834,0.00279993248158193,0.00604930467762327,0.0694712291192255,5,5,5,5,5,5,5,5
"ARCA","T",9.14285714285714,21.2364833187194,26.7142857142857,14.8338606492868,24,0.0185022196550951,0.0292406638171493,0.147425403727925,0.884484553381272,2.14499452343995,3.57047606345819,2.09810852495722,3.87912606750787,0.00378563227689867,0.00583700615059789,0.0562281551330635,7,7,7,7,7,7,7,7
"ARDO","C",4.2,17.6997241014243,25.2,13.2362962950585,22,0.0324115861230918,0.0510493296391835,0.149125541125541,0.58309518948453,1.13417812613035,1.15758369027902,1.73260192859181,1.22474487139159,0.00638380971463906,0.00527954494072177,0.0276608485531624,5,5,5,5,5,5,5,5
"ARDO","T",4.14285714285714,24.0340250157521,34.2857142857143,18.0051292138698,31.1428571428571,0.0501093090316754,0.085643314362145,0.141706670053439,1.01015254455221,5.64160499911208,6.36476268855585,5.02222835751205,6.24281900391532,0.0165368411472951,0.0210632301736753,0.0592072940738699,7,7,7,7,7,7,7,7
"ENCA","C",10,11.0045399655108,20.3333333333333,8.90425883804631,18,0.0153394301411685,0.0312439095692847,0.131024129379393,1.43759057685652,2.88212549073421,4.00555170287995,2.5490682040155,3.68781778291716,0.00424831688447434,0.00697134626427205,0.0543397545357815,6,6,6,6,6,6,6,6
"ENCA","T",7.14285714285714,19.0696434431641,19.8571428571429,12.4322608526615,17,0.0237614983096435,0.0412705630986668,0.157541277380517,0.884484553381272,4.37328493367138,2.71177829045788,4.07422591576489,2.21466970556828,0.00456301564313343,0.00691261030801767,0.0380472808018501,7,7,7,7,7,7,7,7
"ERFA","C",22.8,12.5152342880567,28.2,8.11008907226068,23.2,0.0128942751852644,0.0368320071411556,0.229424961003908,3.73363094051889,1.97369260100251,0.916515138991168,1.75950520801571,1.65529453572468,0.00345365608001783,0.00551019697392848,0.0504013314811596,5,5,5,5,5,5,5,5
"ERFA","T",19.625,12.2679592397114,29.5,6.36880148650233,25,0.0120876671057369,0.0448347367959387,0.180502556127556,1.92666903525971,2.4203293664908,3.06477685041785,1.16896984849276,2.41276367915065,0.00268997183515838,0.00382925090636087,0.0465744726939829,8,8,8,8,8,8,8,8
"ERPA","C",37,10.6438083153449,16.2,7.77796844207437,14,0.00981952258631522,0.021329317636844,0.13150623885918,13.3940285202026,4.33952027491138,3.90384425918863,3.0886049820478,3.04959013639538,0.00277829857959141,0.00518363605729149,0.0558817310418647,5,5,5,5,5,5,5,5
"ERPA","T",21.4285714285714,14.7288561127063,22.2857142857143,8.12261257421937,17.5714285714286,0.0125939840476768,0.024031626596687,0.261334285494178,2.85237697749942,3.69882900871377,3.80297055392408,2.53655242790235,2.91022125535191,0.00502564791964976,0.00318724688770387,0.040884045545046,7,7,7,7,7,7,7,7
"ISME","C",17.8,28.9695394740704,27.8,28.2501348632228,26.4,0.0304121917476425,0.0271482417418378,0.0490445301542777,3.15277655408689,3.72289742225812,2.65329983228432,3.6960170668677,2.18174242292714,0.00560328667852827,0.00214528705913794,0.0205985441087539,5,5,5,5,5,5,5,5
"ISME","T",15.375,20.026566407604,19.125,15.9738247763285,16.25,0.0208974665469988,0.0211009250225691,0.209265259197324,1.0511473323401,3.04857693297628,2.58040348450725,3.38643288979846,2.71075898702085,0.00590118131270095,0.00548653113227924,0.0382500491494968,8,8,8,8,8,8,8,8
"LUAL","C",7.2,9.07180511808208,19,7.06285404610999,17.6,0.0134544805996267,0.0355866109941122,0.0765099715099715,1.42828568570857,2.26782009672899,3.67423461417477,1.30197694388938,3.4,0.0013490068178113,0.00584078786074845,0.0281433357190459,5,5,5,5,5,5,5,5
"LUAL","T",6.375,23.3004467411513,31.25,17.0603111252103,26.625,0.0349474974662728,0.0551082713509521,0.188312784904479,1.03401954941453,4.50330825497108,4.95965868641324,3.24774701695052,4.33810977599362,0.00735185836035936,0.0114028601362081,0.0345216498497833,8,8,8,8,8,8,8,8
"SAAP","C",9,13.0148494131802,26.6,11.2405097918114,24.6,0.0113747878467149,0.0249645439538723,0.066218487394958,1.04880884817015,2.96097001487672,5.97159945073345,2.27261254058988,5.36283507111677,0.00223394799670317,0.00575705669213795,0.0189572642750629,5,5,5,5,5,5,5,5
"SAAP","T",11.375,38.0621792348869,40,26.0071992478081,34.375,0.0243068040607881,0.0315126508335077,0.176315845074611,1.22383326362003,6.0907579187664,6.11788945867539,4.23926284753218,5.77846216566311,0.00349558207127246,0.00288305569259851,0.0629113335791109,8,8,8,8,8,8,8,8
"SAME","C",6,7.02414214994315,12,6.73500696239697,11.6,NA,NA,0.0363636363636364,0.632455532033676,1.96206841545093,1.22474487139159,1.97017294332249,1.20830459735946,0.0054009843924964,0.00448491907801848,0.0363636363636364,5,5,5,5,5,5,5,5
"SAME","T",6.375,13.6341824505386,22.375,7.97920160766564,18.625,0.0182109703119192,0.0410145133750712,0.218426365301365,1.2091540726593,2.19808944167309,3.35376920153174,1.41009823162118,3.02924731339557,0.0032297496510304,0.00571197284984792,0.0356323212095326,8,8,8,8,8,8,8,8
