plant,sample,method,wt
ARCA,4,2,0
ARCA,4,2,0
ARCA,4,2,0
ARCA,5,2,0
ARCA,5,2,0
ARCA,5,2,0
ARCA,6,2,0
ARCA,6,2,0
ARCA,6,2,0
ARDO,4,2,2.53
ARDO,4,2,5.01
ARDO,4,2,6.1
ARDO,5,2,4.06
ARDO,5,2,4.66
ARDO,5,2,4.99
ARDO,5,2,5.4
ARDO,6,2,2.83
ARDO,6,2,3.31
ARDO,6,2,4.63
ENCA,4,2,0.24
ENCA,4,2,0.34
ENCA,4,2,0.45
ENCA,5,2,0.17
ENCA,5,2,0.23
ENCA,5,2,0.25
ENCA,6,2,0.33
ENCA,6,2,0.39
ENCA,6,2,0.65
ERFA,4,2,0.41
ERFA,4,2,0.55
ERFA,4,2,0.78
ERFA,4,2,0.79
ERFA,5,2,0.26
ERFA,5,2,0.28
ERFA,5,2,0.39
ERFA,5,2,0.84
ERFA,5,2,0.84
ERFA,5,2,1.09
ERFA,6,2,0.52
ERFA,6,2,0.74
ERFA,6,2,1.01
ERFA,6,2,1.06
ISME,4,2,0.5
ISME,4,2,0.65
ISME,4,2,0.8
ISME,5,2,0.63
ISME,5,2,0.76
ISME,5,2,0.81
ISME,6,2,0.44
ISME,6,2,0.61
ISME,6,2,0.68
LUAL,4,2,0.45
LUAL,4,2,0.48
LUAL,4,2,0.58
LUAL,5,2,0.43
LUAL,5,2,0.45
LUAL,5,2,0.55
LUAL,6,2,0.5
LUAL,6,2,0.71
LUAL,6,2,0.81
SAAP,4,2,0.47
SAAP,4,2,0.68
SAAP,4,2,0.74
SAAP,5,2,0.58
SAAP,5,2,0.61
SAAP,5,2,0.86
SAAP,6,2,0
SAAP,6,2,0
SAAP,6,2,0.99
SAME,4,2,0.61
SAME,4,2,0.67
SAME,4,2,1.27
SAME,5,2,0
SAME,5,2,1.39
SAME,6,2,0.39
SAME,6,2,0
SAME,6,2,1.28
