"species","sample","treat","stem_count","diameter_total","stem_density","plant_g","plant_total_mg","plant_total_abun","herb_mg","herb_abun","omni_mg","omni_abun","pred_mg","pred_abun","iph_mg","iph_abun","iph_mg_omni","iph_abun_omni","plant_total_mg_dens","plant_total_abun_dens","herb_mg_dens","herb_abun_dens","omni_mg_dens","omni_abun_dens","pred_mg_dens","pred_abun_dens"
"ARCA","ARCA1","C",11,2.61,4.214559387,791,15.264625893239,17,3.2710554084779,12,3.77039252946035,3,8.22317795530078,2,2.51392193907447,0.166666666666667,1.16782486042332,0.133333333333333,0.0192978835565601,0.0214917825537295,0.00413534185648281,0.0151706700379267,0.00476661508149222,0.00379266750948167,0.0103959266185851,0.00252844500632111
"ARCA","ARCA10","C",7,2.7,2.592592593,904,10.6080981955253,42,7.97699881512387,37,0.10670319602532,2,2.52439618437616,3,0.316459390665831,0.0810810810810811,0.312282192106347,0.0769230769230769,0.011734621897705,0.0464601769911504,0.0088241137335441,0.040929203539823,0.000118034508877566,0.00221238938053097,0.00279247365528336,0.00331858407079646
"ARCA","ARCA11","T",12,2.97,4.04040404,1130,24.3655751221259,36,14.1262391631463,33,0,0,10.2393359589796,3,0.724845150979241,0.0909090909090909,0.724845150979241,0.0909090909090909,0.0215624558602884,0.031858407079646,0.0125010966045542,0.0292035398230088,0,0,0.00906135925573419,0.00265486725663717
"ARCA","ARCA14","C",6,1.8,3.333333333,565,26.4582522648963,43,8.24412818657919,29,5.22234407085637,1,12.9917800074608,13,1.57588282392435,0.448275862068966,0.964750066617283,0.433333333333333,0.0468287650706129,0.0761061946902655,0.0145913773213791,0.0513274336283186,0.00924308685107322,0.00176991150442478,0.0229943008981606,0.0230088495575221
"ARCA","ARCA2","T",9,2.73,3.296703297,678,27.1918868338727,19,27.1918868338727,19,0,0,0,0,0,0,0,0,0.0401060277785733,0.028023598820059,0.0401060277785733,0.028023598820059,0,0,0,0
"ARCA","ARCA3","T",8,3.87,2.067183463,678,16.0093372882061,43,13.3080138844387,39,0.422570249283479,3,2.27875315448393,1,0.171231648409122,0.0256410256410256,0.165961850733453,0.0238095238095238,0.0236125918705105,0.0634218289085546,0.019628339062594,0.0575221238938053,0.000623259954695397,0.00442477876106195,0.00336099285322114,0.00147492625368732
"ARCA","ARCA4","T",7,2.1,3.333333333,791,23.5631790294773,20,12.7841699201084,16,0.653516130647452,1,10.1254929787215,3,0.792033666792473,0.1875,0.753514625991128,0.176470588235294,0.0297891011750662,0.0252844500632111,0.0161620352972293,0.0202275600505689,0.000826189798542923,0.00126422250316056,0.0128008760792939,0.00379266750948167
"ARCA","ARCA5","C",10,2.34,4.273504274,565,15.9818098198942,25,6.99297005592606,17,0.400329065064269,1,8.58851069890389,7,1.22816351710611,0.411764705882353,1.16166146646498,0.388888888888889,0.0282863890617597,0.0442477876106195,0.0123769381520815,0.0300884955752212,0.000708547017812866,0.00176991150442478,0.0152009038918653,0.0123893805309735
"ARCA","ARCA6","T",10,1.92,5.208333333,904,16.3792992050362,28,11.8457998965911,26,0,0,4.53349930844508,2,0.382709428491164,0.0769230769230769,0.382709428491164,0.0769230769230769,0.0181186938108808,0.0309734513274336,0.0131037609475566,0.0287610619469027,0,0,0.00501493286332421,0.00221238938053097
"ARCA","ARCA7","T",12,2.25,5.333333333,1017,27.3100748710394,20,11.214222329973,14,0,0,16.0958525410664,6,1.43530706521181,0.428571428571429,1.43530706521181,0.428571428571429,0.0268535642783082,0.0196656833824975,0.0110267672861092,0.0137659783677483,0,0,0.015826796992199,0.00589970501474926
"ARCA","ARCA8","C",11,2.19,5.02283105,791,15.4219663353367,26,8.32051940591107,21,0,0,7.10144692942564,5,0.853486012469441,0.238095238095238,0.853486012469441,0.238095238095238,0.0194967968841172,0.0328697850821745,0.0105189878709369,0.0265486725663717,0,0,0.00897780901318033,0.00632111251580278
"ARCA","ARCA9","T",6,3,2,791,13.8360308812785,21,12.2906061369464,17,0,0,1.54542474433204,4,0.125740319648385,0.235294117647059,0.125740319648385,0.235294117647059,0.0174918215945366,0.0265486725663717,0.0155380608558109,0.0214917825537295,0,0,0.00195376073872572,0.00505689001264223
"ARDO","ARDO1","T",3,1.8,1.666666667,279.12,46.6914697942155,52,36.9495368496632,47,0,0,9.7419329445523,5,0.263655075953708,0.106382978723404,0.263655075953708,0.106382978723404,0.167280989517826,0.186299799369447,0.132378678882428,0.168386357122385,0,0,0.034902310635398,0.0179134422470622
"ARDO","ARDO10","C",3,2.16,1.388888889,418.68,21.4008620258664,26,16.4755303948603,20,0.439494053196198,2,4.48583757780997,4,0.272272726297745,0.2,0.265198409354081,0.181818181818182,0.051115080791694,0.0620999331231489,0.0393511282957396,0.0477691793254992,0.00104971351198098,0.00477691793254992,0.0107142389839734,0.00955383586509984
"ARDO","ARDO11","C",6,1.65,3.636363636,488.46,17.2607289041983,25,13.9831413085949,21,0,0,3.27758759560338,4,0.234395657118102,0.19047619047619,0.234395657118102,0.19047619047619,0.0353370366134346,0.0511812635630348,0.0286269936301742,0.0429922613929493,0,0,0.0067100429832604,0.00818900217008557
"ARDO","ARDO12","T",8,1.44,5.555555556,348.9,19.7978835766484,42,18.8566488470452,38,0.941234729603157,4,0,0,0,0,0,0,0.0567437190502962,0.120378331900258,0.0540459984151482,0.108913728862138,0.00269772063514806,0.0114646030381198,0,0
"ARDO","ARDO13","C",5,1.62,3.086419753,488.46,15.0433512598118,21,9.11209313527095,13,3.64799873586804,5,2.28325938867284,3,0.250574632499621,0.230769230769231,0.178937535225523,0.166666666666667,0.0307975090279897,0.0429922613929493,0.0186547376146889,0.0266142570527781,0.0074683673911232,0.010236252712607,0.00467440402217754,0.00614175162756418
"ARDO","ARDO3","T",8,1.53,5.22875817,418.68,37.0587179618379,47,32.4782791342748,42,0,0,4.5804388275631,5,0.141030835058293,0.119047619047619,0.141030835058293,0.119047619047619,0.0885132271946066,0.112257571414923,0.0775730370074396,0.100315276583548,0,0,0.010940190187167,0.0119422948313748
"ARDO","ARDO4","T",2,2.22,0.900900901,558.24,31.3473817044188,49,20.6817585687296,46,0,0,10.6656231356892,3,0.515701945762743,0.0652173913043478,0.515701945762743,0.0652173913043478,0.0561539511758721,0.0877758670106048,0.0370481487688622,0.0824018343364861,0,0,0.0191058024070098,0.00537403267411866
"ARDO","ARDO5","T",3,1.68,1.785714286,279.12,5.72149709293964,16,5.72149709293964,16,0,0,0,0,0,0,0,0,0.0204983415482217,0.057323015190599,0.0204983415482217,0.057323015190599,0,0,0,0
"ARDO","ARDO6","T",3,2.22,1.351351351,418.68,9.45480167393035,20,4.21267640373536,14,0,0,5.24212527019499,6,1.24436931959616,0.428571428571429,1.24436931959616,0.428571428571429,0.0225824058324504,0.0477691793254992,0.0100618047285167,0.0334384255278494,0,0,0.0125206011039338,0.0143307537976498
"ARDO","ARDO7","T",2,1.8,1.111111111,348.9,18.1664233062738,14,4.2507501776253,10,1.94352269347208,1,11.9721504351764,3,2.81647942948854,0.3,1.9327773710194,0.272727272727273,0.0520677079572193,0.0401261106334193,0.0121832908501728,0.0286615075952995,0.0055704290440587,0.00286615075952995,0.0343139880629877,0.00859845227858985
"ARDO","ARDO8","C",3,2.25,1.333333333,279.12,15.8808796495802,26,15.5819259586911,24,0.0341,1,0.264853690889069,1,0.0169974938650855,0.0416666666666667,0.016960377216949,0.04,0.0568962440870601,0.0931498996847234,0.0558251861518026,0.0859845227858985,0.000122169676124964,0.00358268844941244,0.00094888825913252,0.00358268844941244
"ARDO","ARDO9","C",4,2.43,1.646090535,279.12,18.9127986676647,28,6.90719788881107,24,0,0,12.0056007788536,4,1.7381289738783,0.166666666666667,1.7381289738783,0.166666666666667,0.0677586653327051,0.100315276583548,0.0247463380940494,0.0859845227858985,0,0,0.0430123272386557,0.0143307537976498
"ENCA","ENCA1","T",6,1.8,3.333333333,219.9,16.1682371206425,21,8.42361428011231,17,0,0,7.74462284053024,4,0.919394286466187,0.235294117647059,0.919394286466187,0.235294117647059,0.0735254075518079,0.0954979536152797,0.0383065678950082,0.0773078672123693,0,0,0.0352188396567996,0.0181900864029104
"ENCA","ENCA10","C",12,4.05,2.962962963,703.68,1.14733509148598,6,1.14733509148598,6,0,0,0,0,0,0,0,0,0.00163047847243915,0.00852660300136426,0.00163047847243915,0.00852660300136426,0,0,0,0
"ENCA","ENCA11","C",6,3.57,1.680672269,527.76,6.65572620368515,17,6.04514941402346,16,0,0,0.610576789661687,1,0.101002762354439,0.0625,0.101002762354439,0.0625,0.0126112744499112,0.0322116113384872,0.011454353141624,0.0303168106715174,0,0,0.00115692130828727,0.00189480066696983
"ENCA","ENCA12","T",4,2.73,1.465201465,263.88,16.4192360533075,17,4.94570220472436,14,0,0,11.4735338485831,3,2.31989985924002,0.214285714285714,2.31989985924002,0.214285714285714,0.0622223588498843,0.0644232226769744,0.0187422396722918,0.0530544186751554,0,0,0.0434801191775925,0.011368804001819
"ENCA","ENCA14","T",5,3.09,1.618122977,175.92,2.03532278241925,7,2.03532278241925,7,0,0,0,0,0,0,0,0,0.0115695928968807,0.0397908140063665,0.0115695928968807,0.0397908140063665,0,0,0,0
"ENCA","ENCA2","C",8,4.92,1.62601626,703.68,8.22087708398803,18,3.48564684315879,12,0.653516130647452,1,4.08171411018179,5,1.1710062131489,0.416666666666667,0.986120656763697,0.384615384615385,0.0116826925363632,0.0255798090040928,0.00495345447242893,0.0170532060027285,0.000928712100169753,0.00142110050022738,0.00580052596376448,0.00710550250113688
"ENCA","ENCA3","T",10,3.72,2.688172043,615.72,14.9761222489495,22,12.023545201859,18,0.1023,3,2.85027704709042,1,0.237057955805724,0.0555555555555556,0.235058010360666,0.0476190476190476,0.0243229426507982,0.0357305268628597,0.0195276184009924,0.0292340674332489,0.000166146949912298,0.00487234457220815,0.00462917729989349,0.00162411485740272
"ENCA","ENCA4","C",12,3.6,3.333333333,615.72,18.3411335188293,36,15.863684417667,33,0,0,2.47744910116234,3,0.156171103505013,0.0909090909090909,0.156171103505013,0.0909090909090909,0.0297881074495376,0.0584681348664978,0.0257644455558809,0.0535957902942896,0,0,0.00402366189365676,0.00487234457220815
"ENCA","ENCA5","C",15,2.43,6.172839506,439.8,12.2985697125205,24,9.95395563304507,21,0,0,2.3446140794754,3,0.235545964429635,0.142857142857143,0.235545964429635,0.142857142857143,0.0279640057128705,0.0545702592087312,0.0226329141269783,0.0477489768076398,0,0,0.00533109158589222,0.00682128240109141
"ENCA","ENCA6","T",8,3.57,2.240896359,527.76,15.2977571439048,17,4.53416641510775,14,0,0,10.7635907287971,3,2.37388524005934,0.214285714285714,2.37388524005934,0.214285714285714,0.0289862004394134,0.0322116113384872,0.00859134154749839,0.0265272093375777,0,0,0.020394858891915,0.0056844020009095
"ENCA","ENCA7","C",7,3.72,1.88172043,659.7,19.3635981825557,21,16.2762654982501,19,0,0,3.0873326843056,2,0.189683111561281,0.105263157894737,0.189683111561281,0.105263157894737,0.029352127000994,0.0318326512050932,0.0246722229774899,0.0288009701379415,0,0,0.00467990402350402,0.00303168106715174
"ENCA","ENCA8","T",7,3.69,1.89701897,791.64,33.0639629435975,26,21.9070370641737,19,4.68497899582589,4,6.47194688359785,3,0.295427759794223,0.157894736842105,0.24337932366599,0.130434782608696,0.0417664126921296,0.0328432115608105,0.0276729789603529,0.0240008084482846,0.00591806755068704,0.00505280177858623,0.0081753661810897,0.00378960133393967
"ENCA","ENCA9","T",10,3.9,2.564102564,791.64,35.5268658093274,29,28.3009590244079,21,0.0682,2,7.15770678491957,6,0.25291393054018,0.285714285714286,0.252305920621803,0.260869565217391,0.044877552687241,0.0366328128947501,0.035749784023556,0.0265272093375777,0.0000861502703248952,0.00252640088929311,0.00904161839336007,0.00757920266787934
"ERFA","ERFA1","C",14,4.29,3.263403263,564.59,19.779362976229,30,7.64614364567967,26,7.02701496255822,2,5.10620436799116,2,0.667814339438462,0.0769230769230769,0.347996263403328,0.0714285714285714,0.0350331443635719,0.0531359039302857,0.0135428251398,0.0460511167395809,0.0124462263989058,0.00354239359535238,0.00904409282486611,0.00354239359535238
"ERFA","ERFA10","T",21,3.93,5.34351145,477.73,24.8267213789322,33,9.48182703727689,23,0.653516130647452,1,14.6913782110078,9,1.54942482638105,0.391304347826087,1.44951956412311,0.375,0.0519681020219207,0.0690766751093714,0.0198476692635524,0.0481443493186528,0.00136796125562023,0.00209323257907186,0.0307524715027481,0.0188390932116467
