species,sample,treat,stem_count,diameter_total,stem_density,plant_g
ARCA,ARCA1,C,11,2.61,4.214559387,791
ARCA,ARCA10,C,7,2.7,2.592592593,904
ARCA,ARCA11,T,12,2.97,4.04040404,1130
ARCA,ARCA14,C,6,1.8,3.333333333,565
ARCA,ARCA2,T,9,2.73,3.296703297,678
ARCA,ARCA3,T,8,3.87,2.067183463,678
ARCA,ARCA4,T,7,2.1,3.333333333,791
ARCA,ARCA5,C,10,2.34,4.273504274,565
ARCA,ARCA6,T,10,1.92,5.208333333,904
ARCA,ARCA7,T,12,2.25,5.333333333,1017
ARCA,ARCA8,C,11,2.19,5.02283105,791
ARCA,ARCA9,T,6,3,2,791
ARDO,ARDO1,T,3,1.8,1.666666667,279.12
ARDO,ARDO10,C,3,2.16,1.388888889,418.68
ARDO,ARDO11,C,6,1.65,3.636363636,488.46
ARDO,ARDO12,T,8,1.44,5.555555556,348.9
ARDO,ARDO13,C,5,1.62,3.086419753,488.46
ARDO,ARDO3,T,8,1.53,5.22875817,418.68
ARDO,ARDO4,T,2,2.22,0.900900901,558.24
ARDO,ARDO5,T,3,1.68,1.785714286,279.12
ARDO,ARDO6,T,3,2.22,1.351351351,418.68
ARDO,ARDO7,T,2,1.8,1.111111111,348.9
ARDO,ARDO8,C,3,2.25,1.333333333,279.12
ARDO,ARDO9,C,4,2.43,1.646090535,279.12
ENCA,ENCA1,T,6,1.8,3.333333333,219.9
ENCA,ENCA10,C,12,4.05,2.962962963,703.68
ENCA,ENCA11,C,6,3.57,1.680672269,527.76
ENCA,ENCA12,T,4,2.73,1.465201465,263.88
ENCA,ENCA14,T,5,3.09,1.618122977,175.92
ENCA,ENCA2,C,8,4.92,1.62601626,703.68
ENCA,ENCA3,T,10,3.72,2.688172043,615.72
ENCA,ENCA4,C,12,3.6,3.333333333,615.72
ENCA,ENCA5,C,15,2.43,6.172839506,439.8
ENCA,ENCA6,T,8,3.57,2.240896359,527.76
ENCA,ENCA7,C,7,3.72,1.88172043,659.7
ENCA,ENCA8,T,7,3.69,1.89701897,791.64
ENCA,ENCA9,T,10,3.9,2.564102564,791.64
ERFA,ERFA1,C,14,4.29,3.263403263,564.59
ERFA,ERFA10,T,21,3.93,5.34351145,477.73
ERFA,ERFA11,T,20,3.42,5.847953216,651.45
ERFA,ERFA12,T,14,3.6,3.888888889,651.45
ERFA,ERFA13,T,14,3.27,4.281345566,304.01
ERFA,ERFA2,T,16,3.81,4.199475066,608.02
ERFA,ERFA3,T,24,3.57,6.722689076,477.73
ERFA,ERFA4,C,25,3.72,6.720430108,434.3
ERFA,ERFA5,C,16,2.97,5.387205387,608.02
ERFA,ERFA6,T,18,3.9,4.615384615,477.73
ERFA,ERFA7,C,35,4.68,7.478632479,955.46
