"species","variable","C_mean","C_se","C_sd","C_n","T_mean","T_se","T_sd","T_n"
"ARCA","omni_mg_dens",0.00296725669185117,0.00179789020127275,0.00402020470612665,5,0.000207064250462617,0.000135480918319552,0.00035844881726819,7
"ARCA","herb_mg_dens",0.0100893517868849,0.00177111453665678,0.0039603324999026,5,0.0182951554046325,0.00378906466581056,0.0100249228072768,7
"ARCA","pred_mg_dens",0.0120722828154149,0.00337327396678406,0.00754286989645952,5,0.00685981696892831,0.00222176220636243,0.00587823027035716,7
"ARCA","plant_total_mg_dens",0.025128891294151,0.00602487305015957,0.0134720256959633,5,0.0253620366240234,0.0029725430073898,0.00786460955899746,7
"ARCA","iph_mg_omni",0.892000919616274,0.156787323520861,0.350587113402897,5,0.512582634436454,0.18922932211291,0.500653727072095,7
"ARCA","iph_abun_omni",0.254114774114774,0.0694712291192255,0.155342390791051,5,0.147425403727925,0.0562281551330635,0.148765715162046,7
"ARCA","iph_mg",1.29758273664804,0.368888597169705,0.824859979395998,5,0.518838182790314,0.190242338328169,0.503333916051747,7
"ARCA","iph_abun",0.269176710758861,0.0704493347519835,0.157529501475073,5,0.149262677098812,0.056289366866409,0.148927666185797,7
"ARCA","herb_omni_mg_dens",0.0130566084787361,0.00279993248158194,0.00626083936122689,5,0.0185022196550951,0.00378563227689867,0.0100158415598131,7
"ARDO","omni_mg_dens",0.00172805011584583,0.00144849144563263,0.00323892533726151,5,0.00118116423988668,0.000824351601319064,0.00218102932996811,7
"ARDO","herb_mg_dens",0.0334408767572909,0.00653217714238326,0.0146063921314393,5,0.0491127571715413,0.0166337580173368,0.0440087870823,7
"ARDO","pred_mg_dens",0.0132119802974399,0.00761527482537324,0.0170282721768774,5,0.0159689846280709,0.00545991163600797,0.0144455683692649,7
"ARDO","plant_total_mg_dens",0.0483809071705767,0.00683667546741025,0.0152872710852345,5,0.0662629060394989,0.0189588658620253,0.0501604442107512,7
"ARDO","iph_mg_omni",0.486724190558591,0.315766365986653,0.706075059354234,5,0.585362078198615,0.277784355541126,0.734948322866166,7
"ARDO","iph_abun_omni",0.149125541125541,0.0276608485531624,0.0618515376801977,5,0.141706670053439,0.0592072940738699,0.156647775920528,7
"ARDO","iph_mg",0.502473896731771,0.312317352076588,0.698362829795986,5,0.711605229408492,0.387042804173074,1.02401900657903,7
"ARDO","iph_abun",0.165915750915751,0.0327179796804035,0.073159626651839,5,0.145602773949543,0.0607522832819317,0.160735433143338,7
"ARDO","herb_omni_mg_dens",0.0351689268731368,0.00588374958840328,0.0131564640422561,5,0.050293921411428,0.0163767928471142,0.0433289211462856,7
"ENCA","omni_mg_dens",0.000154785350028292,0.000154785350028292,0.000379145127227406,6,0.000881480681560605,0.000839777363760993,0.00222184206117301,7
"ENCA","herb_mg_dens",0.0151846447911402,0.00431945519668875,0.0105804611987006,6,0.0228800176280829,0.00432884449904399,0.0114530460087404,7
"ENCA","pred_mg_dens",0.00349868412918412,0.000966983604753999,0.00236861642128442,6,0.0172771399429501,0.00622467728226795,0.0164689480805144,7
"ENCA","plant_total_mg_dens",0.0188381142703526,0.00482978616862494,0.0118305116798829,6,0.0410386382525936,0.00818318177784016,0.0216506639174005,7
"ENCA","iph_mg_omni",0.278087266435677,0.14542940313865,0.356227831287202,6,0.906274662916287,0.387032668497966,1.02399219010332,7
"ENCA","iph_abun_omni",0.131024129379393,0.0543397545357815,0.133104671360752,6,0.157541277380517,0.0380472808018502,0.100663643063938,7
"ENCA","iph_mg",0.308901525833211,0.175574029116369,0.430066783419661,6,0.914082718843668,0.384867364833059,1.01826333509304,7
"ENCA","iph_abun",0.136366009721273,0.059356602539929,0.145393389088014,6,0.166147160618633,0.0389186344027347,0.102969027995879,7
"ENCA","herb_omni_mg_dens",0.0153394301411685,0.00424831688447434,0.0104062086326125,6,0.0237614983096435,0.00456301564313343,0.0120726046202285,7
"ERFA","omni_mg_dens",0.00354973032959224,0.00228005467972102,0.00509835725627272,5,0.00195676516495189,0.00114583477211261,0.00324091014992067,8
"ERFA","herb_mg_dens",0.00934454485567215,0.00170060576810626,0.00380267010041384,5,0.0101309019407851,0.00207843456717976,0.00587870070682135,8
"ERFA","pred_mg_dens",0.00673511590813209,0.00131040566660555,0.00293015614863093,5,0.0114164908127158,0.0036059472254688,0.0101991589429192,8
"ERFA","plant_total_mg_dens",0.0196293910933965,0.00398672668404629,0.00891459187323983,5,0.0235041579184528,0.00547570252333054,0.0154876255440293,8
"ERFA","iph_mg_omni",0.642324482679285,0.199521072321044,0.446142680653507,5,0.992167768161584,0.342760979841924,0.969474452689479,8
"ERFA","iph_abun_omni",0.229424961003908,0.0504013314811596,0.112700803348373,5,0.180502556127556,0.0465744726939829,0.131732501888412,8
"ERFA","iph_mg",0.81348526017612,0.196437166180486,0.439246856886989,5,1.15894607315326,0.438652280429142,1.24069600829756,8
"ERFA","iph_abun",0.315033738191633,0.106515172610671,0.238175166592584,5,0.263126349235684,0.0814775955245893,0.230453441240847,8
"ERFA","herb_omni_mg_dens",0.0128942751852644,0.00345365608001783,0.00772260976582533,5,0.012087667105737,0.00268997183515839,0.00760838930336527,8
"ERPA","omni_mg_dens",0.00000124912001950547,0.00000124912001950547,0.00000279311727567009,5,0.000564620645630521,0.000291287760779022,0.000770674974978167,7
"ERPA","herb_mg_dens",0.00981827346629571,0.00277886445514802,0.00621372982196888,5,0.0120293634020463,0.00510754400887647,0.013513291257805,7
"ERPA","pred_mg_dens",0.00313484832828362,0.00147031000673581,0.00328771312305945,5,0.00831582091932414,0.00257168799254056,0.00680404687791326,7
"ERPA","plant_total_mg_dens",0.0129543709145988,0.00392247054927429,0.00877091078791825,5,0.020909804967001,0.00639533126979811,0.0169204560917607,7
"ERPA","iph_mg_omni",0.325892244942799,0.181292895492382,0.405383238158732,5,1.10551048581256,0.430897284286323,1.14004705483471,7
"ERPA","iph_abun_omni",0.13150623885918,0.0558817310418647,0.12495534930997,5,0.261334285494178,0.040884045545046,0.10816901710243,7
"ERPA","iph_mg",0.326147200675406,0.181521423382728,0.4058942420563,5,1.44985861793837,0.726661942977569,1.92256678833365,7
"ERPA","iph_abun",0.136960784313725,0.0594783002828486,0.132997522618595,5,0.335707447837265,0.083295403600005,0.220378923280368,7
"ERPA","herb_omni_mg_dens",0.00981952258631522,0.00277829857959141,0.0062124644857575,5,0.0125939840476768,0.00502564791964976,0.0132966145723624,7
"ISME","omni_mg_dens",0.000219640258528992,0.000137785024503929,0.000308096681072259,5,0.0000139272487953517,0.0000139272487953517,0.0000393922082658616,8
"ISME","herb_mg_dens",0.0301925514891135,0.00558411571738316,0.0124864623382938,5,0.0208835392982035,0.00590570477143192,0.016703855566261,8
"ISME","pred_mg_dens",0.000653141756928694,0.000288508451473128,0.000645124509577113,5,0.00470672811994912,0.00117369590233025,0.00331971332635433,8
"ISME","plant_total_mg_dens",0.0310653335045712,0.00554796120869313,0.0124056183991697,5,0.0256041946669479,0.00558073472440414,0.0157847014705176,8
"ISME","iph_mg_omni",0.0274678317373252,0.011748272458714,0.0262699358358731,5,0.404737768424953,0.147567583812638,0.417384156788921,8
"ISME","iph_abun_omni",0.0490445301542777,0.0205985441087539,0.0460597448647014,5,0.209265259197324,0.0382500491494968,0.108187476537312,8
"ISME","iph_mg",0.0278558974635602,0.0120072218122896,0.0268489641931978,5,0.406942216999958,0.149215158423575,0.42204420150854,8
"ISME","iph_abun",0.0502945301542777,0.0213026626986829,0.047634201896004,5,0.218006517938583,0.0444681148744753,0.125774822297296,8
"ISME","herb_omni_mg_dens",0.0304121917476425,0.00560328667852827,0.0125293299106082,5,0.0208974665469988,0.00590118131270095,0.0166910612928887,8
"LUAL","omni_mg_dens",0.00233860573109128,0.00128238710104294,0.0028675047314009,5,0.0026882489681338,0.00120774470778508,0.00341601789126797,8
"LUAL","herb_mg_dens",0.0122252249076285,0.00147776599906769,0.00330438522875325,5,0.032259248498139,0.0072276577457675,0.0204429032165107,8
"LUAL","pred_mg_dens",0.00517139374208434,0.00414093824385999,0.00925941940389955,5,0.0119524318757077,0.00328954911722684,0.00930424995134927,8
"LUAL","plant_total_mg_dens",0.0197352243808041,0.00613704938332428,0.0137228596023863,5,0.0468999293419805,0.00907885624861332,0.0256788832752494,8
"LUAL","iph_mg_omni",0.265917047277387,0.180003329881149,0.402499681790569,5,0.910319144094742,0.594513568462619,1.68153830306932,8
"LUAL","iph_abun_omni",0.0765099715099715,0.0281433357190459,0.0629304117813846,5,0.188312784904479,0.0345216498497833,0.0976419708261173,8
"LUAL","iph_mg",0.352345608266093,0.246093704913686,0.550282253021775,5,1.00153697611144,0.62056084977678,1.75521114006419,8
"LUAL","iph_abun",0.0961253561253562,0.0379909589260666,0.0849503666890873,5,0.208276574918711,0.0379167698191371,0.107244820239205,8
"LUAL","herb_omni_mg_dens",0.0145638306387197,0.00219489041489968,0.00490792417087841,5,0.0349474974662728,0.00735185836035935,0.0207941956037325,8
"SAAP","omni_mg_dens",0.0000383181674335808,0.0000383181674335808,0.0000856820271547053,5,0.000507603454056981,0.000351911093296183,0.000995354881778012,8
"SAAP","herb_mg_dens",0.0113364696792813,0.00223497119385294,0.00499754751720903,5,0.0237992006067311,0.00368156071846897,0.0104130261975177,8
"SAAP","pred_mg_dens",0.00155038805162637,0.000592239916709752,0.00132428871275182,5,0.0115094824141837,0.00444085077853377,0.0125606227989551,8
"SAAP","plant_total_mg_dens",0.0129251758983412,0.00268735825519583,0.00600911573851311,5,0.0358162864749718,0.00563296248238234,0.0159324238778479,8
"SAAP","iph_mg_omni",0.123229532602358,0.0486928484849251,0.10888051923039,5,0.494800779000204,0.18931322833644,0.535458670100056,8
"SAAP","iph_abun_omni",0.066218487394958,0.0189572642750629,0.0423897315864689,5,0.176315845074611,0.0629113335791109,0.177940122349113,8
"SAAP","iph_mg",0.123652266108252,0.0486911199968019,0.108876654213448,5,0.501622023513742,0.192425942997636,0.544262756679379,8
"SAAP","iph_abun",0.0670121381886088,0.0193971023516885,0.0433732394248964,5,0.183094920530157,0.0667902383244202,0.188911321745053,8
"SAAP","herb_omni_mg_dens",0.0113747878467149,0.00223394799670317,0.00499525957882777,5,0.0243068040607881,0.00349558207127246,0.0098869991471635,8
"SAME","omni_mg_dens",0.000895582414741305,0.000352198389898314,0.000704396779796628,5,0.00175235933228777,0.00113836719091413,0.00321978864070266,8
"SAME","herb_mg_dens",0.0141974583956494,0.00582488414151398,0.011649768283028,5,0.0164586109796315,0.00328235183080139,0.00928389295119898,8
"SAME","pred_mg_dens",0.000479972090880115,0.000479972090880115,0.00095994418176023,5,0.0123182412492583,0.00301497723312922,0.0085276433866749,8
"SAME","plant_total_mg_dens",0.0155730129012708,0.00586402185807254,0.0117280437161451,5,0.0305292115611775,0.00493202769163094,0.0139498809030083,8
"SAME","iph_mg_omni",0.048706351642202,0.048706351642202,0.108910713207972,5,0.956555421543882,0.366400028656877,1.03633577956089,8
"SAME","iph_abun_omni",0.0363636363636364,0.0363636363636364,0.0813115628181743,5,0.218426365301365,0.0356323212095326,0.100783423826711,8
"SAME","iph_mg",0.0547910418596416,0.0547910418596416,0.122516494156195,5,1.18680444029754,0.510397675651188,1.44362263021923,8
"SAME","iph_abun",0.05,0.05,0.11180339887499,5,0.246106442577031,0.0377267014125398,0.106707225602428,8
"SAME","herb_omni_mg_dens",0.0150930408103907,0.00603848412351869,0.0120769682470374,5,0.0182109703119192,0.0032297496510304,0.00913511151911391,8
