SP,TREAT,PLANT,DENS
ARCA,C,1,0.008849558
ARCA,C,5,0.033628319
ARCA,C,8,0.017699115
ARCA,C,10,0.013274336
ARCA,C,14.1,0.040707965
ARDO,C,8,0.020699978
ARDO,C,9,0.027069202
ARDO,C,10,0.057323015
ARDO,C,11,0.071653769
ARDO,C,13,0.057323015
ENCA,C,2,0.014211005
ENCA,C,4,0.064964594
ENCA,C,5,0.059117781
ENCA,C,7,0.031832651
ENCA,C,10,0.011368804
ENCA,C,11,0.032211611
ENCA,C,14,0.032211611
ERFA,T,1,0.053135904
ERFA,T,4,0.057563896
ERFA,T,6,0.115127792
ERFA,T,7,0.031398489
ERFA,T,9,0.027873044
ERPA,C,2,0.028064391
ERPA,C,4,0.021425494
ERPA,C,6,0.038457296
ERPA,C,8,0.018314832
ERPA,C,10,0.019064916
ISME,C,9,0.014869888
ISME,C,10,0.020525452
ISME,C,11,0.036945813
ISME,C,12,0.026683087
ISME,C,13,0.025656814
LUAL,C,2,0.021759772
LUAL,C,3,0.052750963
LUAL,C,5,0.063301155
LUAL,C,8,0.015825289
LUAL,C,9,0.040171887
SAAP,C,2,0.041849759
SAAP,C,4,0.019078567
SAAP,C,6,0.02789984
SAAP,C,8,0.0087187
SAAP,C,12,0.018599893
SAAP,C,14,0.035310734
SAME,C,2,0.027091633
SAME,C,4,0.047808765
SAME,C,6,0.020489471
SAME,C,9,0.011383039
SAME,C,11,0.017264276
ARCA,T,2,0.029498525
ARCA,T,3,0.044247788
ARCA,T,4,0.022756005
ARCA,T,6,0.03539823
ARCA,T,7,0.009832842
ARCA,T,9,0.017699115
ARCA,T,11,0.025663717
ARDO,T,1,0.11464603
ARDO,T,3,0.07370102
ARDO,T,5,0.025078819
ARDO,T,6,0.018425255
ARDO,T,7,0.040603802
ARDO,T,12,0.078819146
ENCA,T,1,0.040927694
ENCA,T,3,0.022737608
ENCA,T,6,0.02842201
ENCA,T,8,0.045475216
ENCA,T,9,0.045475216
ENCA,T,12,0.061391542
ERFA,C,2,0.075655406
ERFA,C,3,0.035584954
ERFA,C,5,0.052330814
ERFA,C,8,0.017269169
ERFA,C,10,0.075356373
ERFA,C,11,0.047586154
ERFA,C,12,0.039910968
ERFA,C,13,0.06578731
ERPA,T,1,0.018442018
ERPA,T,3,0.035039835
ERPA,T,5,0.013524147
ERPA,T,7,0.025167931
ERPA,T,9,0.004917872
ERPA,T,11,0.031474378
ERPA,T,12,0.021742169
ERPA,T,13,0.029507229
ISME,T,1,0.013061651
ISME,T,2,0.026939655
ISME,T,3,0.010262726
ISME,T,4,0.016793551
ISME,T,5,0.019385149
ISME,T,6,0.024898561
ISME,T,7,0.007183908
ISME,T,8,0.018326296
LUAL,T,1,0.087039088
LUAL,T,4,0.047475866
LUAL,T,6,0.060663607
LUAL,T,7,0.053805982
LUAL,T,10,0.029672417
LUAL,T,11,0.083082766
LUAL,T,12,0.054069737
LUAL,T,13,0.060136097
SAAP,T,1,0.023714864
SAAP,T,3,0.040106019
SAAP,T,5,0.026504848
SAAP,T,7,0.025574853
SAAP,T,9,0.012554928
SAAP,T,10,0.045773174
SAAP,T,11,0.041849759
SAAP,T,15,0.048388784
SAME,T,1,0.023904382
SAME,T,3,0.047808765
SAME,T,5,0.079681275
SAME,T,7,0.018212863
SAME,T,8,0.007968127
SAME,T,10,0.023904382
SAME,T,12,0.049800797
SAME,T,14,0.056501268
