sp,plant,treat,l,s,dens,group,,,
ARCA,9,T,4,10,17.69911504,3,,,
ARCA,2,T,5,15,29.49852507,3,,,
ARCA,3,T,5,25,44.24778761,3,,,
ARDO,1,T,4,28,94.64603038,3,,,
ARDO,7,T,5,12,40.60380243,3,,,
ARDO,6,T,2,7,38.42525488,3,,,
ENCA,9,T,1,35,45.47521601,3,,,
ENCA,8,T,9,27,45.47521601,3,,,
ENCA,3,T,0,14,22.737608,3,,,
ERFA,2,T,9,37,75.65540607,3,,,
ERFA,13,T,8,12,65.78730963,3,,,
ERFA,3,T,2,15,35.58495384,3,,,
ERPA,13,T,7,21,29.50722927,3,,,
ERPA,7,T,4,25,25.16793085,3,,,
ERPA,3,T,1,18,35.03983476,3,,,
ISME,8,T,1,24,18.32629604,3,,,
ISME,1,T,3,11,13.06165099,3,,,
ISME,4,T,4,14,16.79355128,3,,,
LUAL,1,T,4,18,87.03908846,3,,,
LUAL,4,T,0,6,47.47586643,3,,,
LUAL,12,T,3,38,54.06973677,3,,,
SAAP,1,T,10,24,23.71486364,3,,,
SAAP,9,T,2,10,12.55492781,3,,,
SAAP,11,T,4,44,41.84975936,3,,,
SAME,14,T,,,56.50126766,3,,,
SAME,8,T,0,3,7.96812749,3,,,
SAME,1,T,,,23.90438247,3,,,
ARCA,2,T,,,33.11234,5,,?,33
ARCA,4,T,5,13,22.75600506,5,,,
ARCA,6,T,8,24,35.39823009,5,,,
ARCA,11,T,4,25,25.66371681,5,,,
ARCA,7,T,5,5,9.832841691,5,,,
ARDO,2,T,,,50.0876,5,,?,50
ARDO,,T,,,,5,,?,
ARDO,12,T,6,16,78.81914589,5,,,
ARDO,3,T,2,34,73.70101953,5,,,
ARDO,5,T,2,5,25.07881915,5,,,
ENCA,2,T,,,41.45,5,,?,40
ENCA,,T,,,,5,,?,
ENCA,1,T,1,8,40.92769441,5,,,
ENCA,12,T,6,21,61.39154161,5,,,
ENCA,6,T,4,10,28.42201,5,,,
ERFA,11,T,5,26,47.58615396,5,,,
ERFA,12,T,7,19,39.91096784,5,,,
ERFA,8,T,7,11,17.26916878,5,,,
ERFA,10,T,2,34,75.35637285,5,,,
ERFA,5,T,5,20,52.33081448,5,,,
ERPA,11,T,3,13,31.47437789,5,,,
ERPA,5,T,0,11,13.52414675,5,,,
ERPA,9,T,1,2,4.917871545,5,,,
ERPA,12,T,1,13,21.74216894,5,,,
ERPA,1,T,4,6,18.44201829,5,,,
ISME,7,T,3,4,7.183908046,5,,,
ISME,3,T,0,7,10.26272578,5,,,
ISME,2,T,7,14,26.93965517,5,,,
ISME,5,T,4,13,19.3851487,5,,,
ISME,6,T,0,13,46.18226601,5,,,
LUAL,6,T,9,14,60.66360711,5,,,
LUAL,11,T,4,38,83.08276626,5,,,
LUAL,7,T,10,24,53.80598196,5,,,
LUAL,10,T,1,14,29.67241652,5,,,
LUAL,13,T,4,34,60.13609748,5,,,
SAAP,10,T,20,50,45.7731743,5,,,
SAAP,15,T,3,34,48.38878426,5,,,
SAAP,5,T,3,16,26.5048476,5,,,
SAAP,3,T,9,37,40.10601939,5,,,
SAAP,7,T,1,21,25.57485294,5,,,
SAME,12,T,2,23,49.80079681,5,,,
SAME,3,T,1,23,47.80876494,5,,,
SAME,5,T,1,24,79.6812749,5,,,
SAME,10,T,1,11,23.90438247,5,,,
SAME,7,T,0,8,18.21286283,5,,,
ARCA,1,C,1,6,8.849557522,,,,
ARCA,5,C,0,19,33.62831858,,,,
ARCA,8,C,3,11,17.69911504,,,,
ARCA,10,C,1,11,13.27433628,,,,
ARCA,14.1,C,2,21,40.7079646,,,,
ARDO,8,C,1,12,20.69997771,,,,
ARDO,9,C,3,14,27.06920162,,,,
ARDO,10,C,1,23,57.32301519,,,,
ARDO,11,C,2,23,71.65376899,,,,
ARDO,13,C,4,12,57.32301519,,,,
ENCA,2,C,0,10,14.211005,,,,
ENCA,4,C,9,31,64.9645943,,,,
ENCA,5,C,2,24,59.11778081,,,,
ENCA,7,C,5,16,31.83265121,,,,
ENCA,10,C,0,8,11.368804,,,,
ENCA,11,C,1,16,32.21161134,,,,
ENCA,14,C,7,10,32.21161134,,,,
ERFA,1,C,5,25,53.13590393,,,,
ERFA,4,C,4,21,57.56389592,,,,
ERFA,6,C,7,38,115.1277918,,,,
ERFA,7,C,2,28,31.39848869,,,,
ERFA,9,C,4,19,27.87304434,,,,
ERPA,2,C,1,21,36.06439133,,,,
ERPA,4,C,6,13,22.42549425,,,,
ERPA,6,C,1,15,52.45729648,,,,
ERPA,8,C,2,16,18.31483196,,,,
ERPA,10,C,0,17,20.0649159,,,,
ISME,9,C,1,15,14.92760113,,,,
ISME,10,C,2,16,20.52545156,,,,
ISME,11,C,8,28,36.94581281,,,,
ISME,12,C,6,20,26.68308703,,,,
ISME,13,C,2,21,18.15713023,,,,
LUAL,2,C,3,30,21.75977212,,,,
LUAL,3,C,1,19,52.75096271,,,,
LUAL,5,C,3,17,63.30115525,,,,
LUAL,8,C,0,9,15.82528881,,,,
LUAL,9,C,5,28,40.17188698,,,,
SAAP,2,C,8,24,41.84975936,,,,
SAAP,4,C,3,28,19.07856677,,,,
SAAP,6,C,6,26,27.89983958,,,,
SAAP,8,C,0,5,8.718699867,,,,
SAAP,12,C,2,14,18.59989305,,,,
SAAP,14,C,,,35.31073446,,,,
SAME,2,C,0,7,27.09163347,,,,
SAME,4,C,8,35,47.80876494,,,,
SAME,6,C,1,8,20.48947069,,,,
SAME,9,C,2,3,11.38303927,,,,
SAME,11,C,1,12,17.26427623,,,,
