Appendix S4. List of the species of PhytoPhylo (a megaphylogeny of plants in the world),,
SPECIES,AUTHOR,ID in The Plant List
Aa paleacea,(Kunth) Rchb.f.,kew-27
Abarema jupunba,(Willd.) Britton & Killip,ild-17547
Abarema macradenia,(Pittier) Barneby & J.W.Grimes,ild-40625
Abatia canescens,Sleumer,kew-4609419
Abatia mexicana,Standl.,kew-4609423
Abatia parviflora,Ruiz & Pav.,kew-4609425
Abatia spicata,(Turcz.) Sleumer,kew-4609427
Abatia stellata,Lillo,kew-4609428
Abdominea minimiflora,(Hook.f.) J.J.Sm.,kew-99
Abelia biflora,Turcz.,kew-2609445
Abelia chinensis,R.Br.,kew-2609453
Abelia mosanensis,I.C.Chung ex Nakai,kew-2609486
Abelia triflora,R.Br. ex Wall.,kew-2609524
Abeliophyllum distichum,Nakai,kew-360127
Abies alba,Mill.,kew-2609691
Abies amabilis,(Douglas ex Loudon) J.Forbes,kew-2609703
Abies bracteata,(D.Don) Poit.,kew-2609740
Abies cephalonica,Loudon,kew-2609753
Abies cilicica,(Antoine & Kotschy) Carrière,kew-2609771
Abies concolor,(Gordon) Lindl. ex Hildebr.,kew-2609785
Abies fabri,(Mast.) Craib,kew-2609840
Abies fargesii,Franch.,kew-2609844
Abies firma,Siebold & Zucc.,kew-2609854
Abies fraseri,(Pursh) Poir.,kew-2609865
Abies grandis,(Douglas ex D.Don) Lindl.,kew-2609877
Abies holophylla,Maxim.,kew-2609900
Abies homolepis,Siebold & Zucc.,kew-2609902
Abies kawakamii,(Hayata) Ito,kew-2609915
Abies koreana,E.H.Wilson,kew-2609917
Abies lasiocarpa,(Hook.) Nutt.,kew-2609926
Abies magnifica,A.Murray bis,kew-2609941
Abies nebrodensis,(Lojac.) Mattei,kew-2609975
Abies nephrolepis,(Trautv. ex Maxim.) Maxim.,kew-2609978
Abies nordmanniana,(Steven) Spach,kew-2609993
Abies numidica,de Lannoy ex Carrière,kew-2610003
Abies pinsapo,Boiss.,kew-2610038
Abies procera,Rehder,kew-2610049
Abies recurvata,Mast.,kew-2610053
Abies sibirica,Ledeb.,kew-2610076
Abies veitchii,Lindl.,kew-2610120
Abobra tenuifolia,(Gillies ex Hook. & Arn.) Cogn.,kew-2610155
Abolboda poarchon,Seub.,kew-217329
Abrahamia ditimena,(H. Perrier) Randrian. & Lowry,tro-50296416
Abrahamia sericea,(Engl.) Randrian. & Lowry,tro-50297901
Abrodictyum rigidum,(Sw.) Ebihara & Dubuisson,tro-50305706
Abroma augusta,(L.) L.f.,kew-2610167
Abronia ameliae,Lundell,kew-2610186
Abronia bigelovii,Heimerl,kew-2610197
Abronia carnea,Greene,kew-2610202
Abronia fragrans,Nutt. ex Hook.,kew-2610213
Abronia umbellata,Lam.,kew-2610268
Abronia villosa,S.Watson,kew-2610285
Abrophyllum ornans,(F.Muell.) Hook.f.,kew-2610292
Abrotanella emarginata,(Gaudich.) Cass.,gcc-75555
Abrotanella forsterioides,(Hook.f.) Benth.,gcc-99065
Abrotanella inconspicua,Hook.f.,gcc-17134
Abrotanella linearis,Berggr.,gcc-118832
Abrotanella nivigena,(F.Muell.) F.Muell. ex Benth.,gcc-31570
Abrus precatorius,L.,ild-2477
Abuta grandifolia,(Mart.) Sandwith,kew-2610381
Abuta rufescens,Aubl.,kew-2610404
Abutilon grandifolium,(Willd.) Sweet,kew-2610654
Abutilon incanum,(Link) Sweet,kew-2610695
Abutilon indicum,(L.) Sweet,kew-2610698
Abutilon menziesii,Seem.,kew-2610790
Abutilon theophrasti,Medik.,kew-2611008
Acacia acradenia,F.Muell.,ild-48945
Acacia acuminata,Benth.,ild-31486
Acacia adoxa,Pedley,ild-49457
Acacia alata,R.Br.,ild-47958
Acacia alexandri,Maslin,ild-47826
Acacia alpina,F.Muell.,ild-49372
Acacia ampliceps,Maslin,ild-47878
Acacia anegadensis,Britton,ild-10220
Acacia aneura,Benth.,ild-33174
Acacia angustissima,(Mill.) Kuntze,ild-28172
Acacia anthochaera,Maslin,ild-47855
Acacia aphanoclada,Maslin,ild-47827
Acacia aphylla,Maslin,ild-47952
Acacia arenaria,Schinz,ild-355
Acacia aulacocarpa,Benth.,ild-48895
Acacia auriculiformis,Benth.,ild-19892
Acacia axillaris,Benth.,ild-49448
